timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
19503.02,0,0,0,0,0,52,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
20529.30,2,253952,62,15743,1036475186,139,0,558,721249,0,24,6017,69,18020,99123250,1118,1,0,4,12009,19061681,7,75665184,68,70,366,6,22085,558,0,0,9106729,35636488,352714703,0,558,326,0,3,1,8,8,12652,3,359304406,329177808,47683966,19710335,19808639,3,1,1016417772,73389,73389,8,8,8,19546499,10,3,178239,773306,591078,3011,359304406,721249,8516019,16624
21575.21,5,253952,62,32497,2139834700,252,2,558,1429461,0,24,12553,69,18020,104492620,1118,1,0,4,12009,39716754,7,158414884,68,70,366,6,22085,558,0,0,21351524,84276906,701337966,0,558,326,0,3,1,8,8,12652,3,706062403,676568496,113249077,40890912,41021984,3,1,2122919584,73389,73389,8,8,8,40825380,10,3,208662,1488887,866224,5895,706062403,1429461,20486090,16624
22597.88,6,253952,62,49526,3261120086,367,3,558,2366376,0,24,19285,69,18020,109765462,1118,1,0,4,12009,61134004,7,243760668,68,70,366,6,22085,558,0,0,34195200,134958717,1053845982,0,558,326,0,3,1,8,8,12652,3,1060065292,1029731070,180613021,62401328,62563009,3,1,3238905312,73389,73389,8,8,8,62286644,10,3,234182,2429987,1123148,8840,1060065292,2366376,33073261,16624
23611.27,6,253952,62,65096,4288429424,463,3,558,3020007,0,24,25465,69,18020,113831704,1118,1,0,4,12009,80694385,7,322261184,68,70,366,6,22085,558,0,0,45926150,180241411,1378081650,0,558,326,0,3,1,8,8,12652,3,1382851012,1353202914,243525423,82225463,82323767,3,1,4267204428,73389,73389,8,8,8,82061627,10,3,256950,3087350,1348404,11509,1382851012,3020007,44578368,16624
24644.96,6,253952,62,81368,5360647028,565,3,558,4116953,0,24,31823,69,18020,113831704,1118,1,0,4,12009,100977693,7,402747736,68,70,366,6,22085,558,0,0,56949898,224295248,1715660909,0,558,326,0,3,1,8,8,12652,3,1718685490,1690780772,302674469,102814057,102959354,3,1,5342923124,73389,73389,8,8,8,102748525,10,3,292621,4188373,1640820,14288,1718685490,4116953,55311117,16624
25686.80,11,253952,62,97633,6431766382,675,12016,558,5020754,0,24,38284,69,18020,113831704,1118,1,0,4,12009,121311685,7,484859184,68,70,366,6,22085,558,0,0,69105750,273272283,2048596827,0,558,326,0,3,1,8,8,12652,3,2054207262,2027703560,368841436,123404810,123601418,3,1,6404270632,73389,73389,8,8,8,123159054,10,3,352593,5108151,1981769,17075,2054207262,5020754,67126439,16624
26719.93,13,253952,62,115019,7578402812,788,12016,558,5972097,0,24,45104,69,18020,113831704,1118,1,0,4,12009,142975835,7,571265896,68,70,366,6,22085,558,0,0,80738825,317731995,2406325569,0,558,326,0,3,1,8,8,12652,3,2413792614,2388573103,428139078,145440785,145621009,3,1,7552697236,73389,73389,8,8,8,145244181,10,3,375296,6072750,2244987,20058,2413792614,5972097,78496749,16624
27747.22,13,253952,62,133105,8768404714,898,12016,558,6925578,0,24,52166,69,18020,113831704,1118,1,0,4,12009,165525250,7,661067012,68,70,366,6,22085,558,0,0,94553724,365799497,2787221659,0,558,326,0,3,1,8,8,12652,3,2790149830,2763526822,497667334,168346000,168491297,3,1,8751436128,73389,73389,8,8,8,168296852,10,3,405268,7045672,2547810,23169,2790149830,6925578,92008284,16624
28767.94,17,253952,62,153320,10101081986,1029,12016,558,7789269,0,24,60151,69,18020,113831704,1118,1,0,4,12009,190769030,7,762171656,68,70,366,6,22085,558,0,0,109730847,411843180,3206223350,0,558,326,0,3,1,8,8,12652,3,3207058041,3183164150,563134597,193932985,194113209,3,1,10083663284,73389,73389,8,8,8,193916605,10,3,429757,7926243,2871601,26624,3207058041,7789269,106863093,16624
29794.77,17,253952,62,173307,11419058370,1158,12016,558,8750048,0,24,68045,69,18020,113831704,1118,1,0,4,12009,215801253,7,862299644,68,70,366,6,22085,558,0,0,124311515,454978666,3621489881,0,558,326,0,3,1,8,8,12652,3,3623731293,3597735975,627137551,219321203,219468659,3,1,11402146684,73389,73389,8,8,8,219272055,10,3,463146,8891990,3227831,30079,3623731293,8750048,121088005,16624
30827.31,18,253952,62,192705,12696008784,1284,12017,558,9662365,0,24,75693,69,18020,113831704,1118,1,0,4,12009,240090063,7,959657532,68,70,366,6,22085,558,0,0,138773263,498297482,4026487350,0,558,326,0,3,1,8,8,12652,3,4030569576,4000179139,690848329,243858341,243989413,3,1,12676373924,73389,73389,8,8,8,243776425,10,3,498007,9821155,3555271,33450,4030569576,9662365,135222785,16624
31844.48,28,253952,62,213757,14084758354,1422,12017,576,10722017,0,24,83966,69,18020,117083050,1154,1,0,4,12009,266215443,7,1064280000,68,70,366,6,22085,576,0,0,153188836,540287950,4466631643,0,576,356,0,3,1,8,8,12652,3,4467467311,4436887294,749742003,270616338,270731026,3,1,14071197640,73389,73389,8,8,8,270599958,10,3,526877,10906778,3901441,37080,4467467311,10722017,149292689,16719
