timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
68584.26,3,184320,45,20788,1368543346,110,621,1330327,10,2031,9,71,11726,754,129986165,1244,1,0,70,70,8,66236,621,0,0,0,3052331,19816374,445970862,0,621,538,2,1,8,8,15303,0,1,451926382,403378568,36595936,30788905,30788905,2,1,0,1353270028,73389,73389,8,8,8,30756137,10,3,150621,1358174,653209,3459,451926382,1330327,2399597,52479
69625.94,3,253952,62,22464,1478912586,110,621,1368256,10,2478,9,71,11726,754,130251617,1244,1,0,70,70,8,66236,621,0,0,0,3332087,20981213,478506868,0,621,538,2,1,8,8,15303,0,1,483776878,435569963,40093209,33291339,33307723,2,1,0,1464818916,73389,73389,8,8,8,33291339,10,3,155250,1396440,684367,3702,483776878,1368256,2648225,52479
70652.06,3,253952,62,23792,1566475298,111,621,1415355,10,2899,9,71,11726,754,130251617,1244,1,0,70,70,8,66236,621,0,0,0,3651896,22446092,504224719,0,621,538,2,1,8,8,15303,0,1,509598062,461177715,42979549,35285869,35302253,2,1,0,1552578236,73389,73389,8,8,8,35285869,10,3,161760,1456899,711475,3899,509598062,1415355,2940953,52479
71691.10,3,253952,62,25011,1646629134,111,621,1487724,10,3229,9,71,11726,754,130251617,1244,1,0,70,70,8,66236,621,0,0,0,3910129,23780214,527320384,0,621,538,2,1,8,8,15303,0,1,532797806,484642397,52380863,37110526,37110526,2,1,0,1632142248,73389,73389,8,8,8,37094142,10,3,163454,1529553,726247,4076,532797806,1487724,3184441,52479
72724.09,3,253952,62,26248,1728228070,111,621,1594232,10,3566,9,71,11726,754,130251617,1244,1,0,70,70,8,66236,621,0,0,0,4182953,25118062,551596467,0,621,538,2,1,8,8,15303,0,1,556783982,508458628,56001305,38957600,38973984,2,1,0,1714134400,73389,73389,8,8,8,38957600,10,3,164718,1636348,747765,4259,556783982,1594232,3435777,52479
73769.78,3,253952,62,27546,1813824702,111,621,1660464,10,3918,9,71,11726,754,130251617,1244,1,0,70,70,8,66236,621,0,0,0,4353214,25973123,576395319,0,621,538,2,1,8,8,15303,0,1,581949806,533485476,57033852,40902978,40919362,2,1,0,1799731032,73389,73389,8,8,8,40902978,10,3,165133,1702888,762722,4451,581949806,1660464,3591106,52479
74851.13,3,253952,62,28992,1909120662,111,621,1772931,10,4315,9,71,11726,754,130251617,1244,1,0,70,70,8,66236,621,0,0,0,4540455,26828817,604604473,0,621,538,2,1,8,8,15303,0,1,609737070,561361373,58076287,43077732,43077732,2,1,0,1895420208,73389,73389,8,8,8,43077732,10,3,165202,1815682,783468,4663,609737070,1772931,3757632,52479
75873.50,3,253952,62,30278,1993930862,112,621,1805479,10,4723,9,71,11726,754,130517069,1244,1,0,70,70,8,66236,621,0,0,0,4944408,28946706,628617535,0,621,538,2,1,8,8,15303,0,1,634509678,586158522,68643160,44998534,45014918,2,1,0,1979935496,73389,73389,8,8,8,44998534,10,3,169152,1848552,814840,4852,634509678,1805479,4130236,52479
76910.48,3,253952,62,31653,2084573766,112,621,2017091,10,5098,9,71,11726,754,130517069,1244,1,0,70,70,8,66236,621,0,0,0,5181675,30143027,655252776,0,621,538,2,1,8,8,15303,0,1,661117294,612634126,71246565,47058600,47074984,2,1,0,2070578400,73389,73389,8,8,8,47058600,10,3,169423,2060474,840026,5055,661117294,2017091,4342344,52479
77960.16,3,253952,62,33009,2173706034,112,621,2089647,10,5467,9,71,11726,754,130517069,1244,1,0,70,70,8,66236,621,0,0,0,5429262,31408109,681232222,0,621,538,2,1,8,8,15303,0,1,686938478,638692583,81493520,49079865,49096249,2,1,0,2159514060,73389,73389,8,8,8,49079865,10,3,169811,2133292,855380,5252,686938478,2089647,4574604,52479
