timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
37194.11,0,0,0,0,0,35,0,0,0,0,1,0,2097278,2,1,590,0,1,1,0,0,5397,0,0,590,5,0,0,0,0,0,0,0,0,2,1,8,8,460,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0
38215.72,1,253952,62,22929,1509652278,110,621,567503,20,2608,67,6744,130251617,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,3403009,7831945,475669893,0,621,3122,2,1,8,8,460,1,493214062,444604852,14943715,33985500,34001884,2,1,1495362000,73389,73389,8,8,8,33985500,10,3,272387,576536,1060755,3774,493214062,567503,2342677,20938
39235.68,1,253952,62,26268,1729538790,111,621,651858,20,3574,67,6744,130251617,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,3942574,8582033,539670256,0,621,3122,2,1,8,8,460,1,557177198,508883230,17013082,38990368,39006752,2,1,1715576192,73389,73389,8,8,8,38990368,10,3,278475,662139,1108758,4262,557177198,651858,2834277,20938
40238.46,1,253952,62,31837,2096632390,112,621,713583,20,5093,67,6744,130517069,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,5725794,10653299,646674342,0,621,3122,2,1,8,8,460,1,664394094,616170321,26924789,47337128,47337128,2,1,2082833632,73389,73389,8,8,8,47337128,10,3,289778,731010,1183620,5080,664394094,713583,4542686,20938
41241.20,1,253952,62,43127,2840515610,114,621,753650,20,8281,67,6744,130770455,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,7750898,10879565,863684143,0,621,3122,2,1,8,8,460,1,881711470,833650766,31929218,64245799,64245799,2,1,2826815156,73389,73389,8,8,8,64245799,10,3,295981,771961,1241441,6738,881711470,753650,6510056,20938
42244.04,1,253952,62,54462,3587613402,116,621,793869,20,11485,67,6744,131301359,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,9762591,10883720,1082659565,0,621,3122,2,1,8,8,460,1,1099815278,1052048072,37115538,81217847,81234231,2,1,3573585268,73389,73389,8,8,8,81217847,10,3,296995,813109,1284487,8402,1099815278,793869,8478787,20938
43247.16,1,253952,62,65862,4338705582,117,621,839045,20,14647,67,6744,131301359,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,11889226,10927437,1300717438,0,621,3122,2,1,8,8,460,1,1319229806,1271592168,42891082,98298550,98298550,2,1,4325136200,73389,73389,8,8,8,98298550,10,3,302824,859198,1346751,10076,1319229806,839045,10543245,20938
44261.71,1,253952,62,77089,5078713420,119,621,880255,20,17823,67,6744,131820197,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,14023953,11059604,1519693826,0,621,3122,2,1,8,8,460,1,1535760750,1487897227,54632728,115106758,115123142,2,1,5064697352,73389,73389,8,8,8,115106758,10,3,311833,901324,1401814,11728,1535760750,880255,12622996,20938
45271.56,1,253952,62,82256,5418942710,120,621,946585,20,19328,67,6744,131820197,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,14945361,12006096,1616465538,0,621,3122,2,1,8,8,460,1,1634982254,1587444941,63590970,122843436,122843436,2,1,5404390288,73389,73389,8,8,8,122827052,10,3,315850,971212,1465461,12485,1634982254,946585,13480799,20938
46282.60,1,253952,62,88381,5822474326,121,621,1011511,20,21009,67,6744,131820197,1244,1,590,0,66,70,199,4,117305,621,0,590,5,0,0,17200436,14279571,1737229369,0,621,3122,2,1,8,8,460,1,1753078126,1705459385,89216591,132009396,132009396,2,1,5807692528,73389,73389,8,8,8,131993012,10,3,334476,1037978,1608284,13386,1753078126,1011511,15592098,20938
