timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
13070.88,0,0,0,0,12,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
14091.68,253952,62,22108,1455581770,110,0,621,604188,2,2383,71,130251617,1244,1,0,70,70,8,327,621,0,0,0,3221578,9953400,467988363,0,621,564,2,1,8,8,6601,1,477092206,428822079,19837406,32767051,32767051,2,1,1441029348,73389,73389,8,8,8,32750667,11,3,231402,617684,870548,3651,477092206,604188,2350494,2019254
15122.91,253952,62,24040,1582728226,111,0,621,678630,2,2965,71,130251617,1244,1,0,70,70,8,327,621,0,0,0,3747710,11282576,505381797,0,621,564,2,1,8,8,6601,1,514054510,465950959,24232102,35646317,35662701,2,1,1568437948,73389,73389,8,8,8,35646317,11,3,239034,692560,914473,3933,514054510,678630,2832739,2019254
16145.72,253952,62,25883,1704041978,111,0,621,770799,2,3465,71,130251617,1244,1,0,70,70,8,327,621,0,0,0,4058796,12293201,540806307,0,621,564,2,1,8,8,6601,1,549706094,501415983,27909466,38410895,38427279,2,1,1690079380,73389,73389,8,8,8,38410895,11,3,239622,785134,930903,4205,549706094,770799,3127435,2019254
17169.32,253952,62,28148,1853277374,111,0,621,819679,2,4085,71,130251617,1244,1,0,70,70,8,327,621,0,0,0,4364609,13012336,584490523,0,621,564,2,1,8,8,6601,1,593615214,545038906,28934046,41804098,41820482,2,1,1839380312,73389,73389,8,8,8,41804098,11,3,239634,834485,959497,4540,593615214,819679,3404693,2019254
18188.80,253952,62,30318,1996552302,112,1,621,899101,2,4730,71,130517069,1244,1,0,70,70,8,327,621,0,0,0,4984848,14657943,626210186,0,621,564,2,1,8,8,6601,1,635033966,586903283,41699608,45064070,45064070,2,1,1982098184,73389,73389,8,8,8,45047686,11,3,249527,914349,1008540,4856,635033966,899101,3975926,2019254
19218.85,253952,62,32832,2162106162,112,1,621,978261,2,5417,71,130517069,1244,1,0,70,70,8,327,621,0,0,0,5600135,16126155,673956789,0,621,564,2,1,8,8,6601,1,683530606,635290164,48069697,48817721,48834105,2,1,2147979724,73389,73389,8,8,8,48817721,11,3,249762,994026,1038190,5226,683530606,978261,4561607,2019254
20248.55,253952,62,34498,2271820042,112,1,621,1044627,2,5870,71,130517069,1244,1,0,70,70,8,327,621,0,0,0,6358504,18217236,706625747,0,621,564,2,1,8,8,6601,1,715643246,667377966,53880104,51303771,51320155,2,1,2257365924,73389,73389,8,8,8,51303771,11,3,252854,1066771,1068137,5471,715643246,1044627,5290061,2019254
21285.79,253952,62,35884,2363449294,113,1,621,1103589,2,6307,71,130770455,1244,1,0,70,70,8,327,621,0,0,0,6810712,20005585,733264973,0,621,564,2,1,8,8,6601,1,742381934,694146447,58891143,53394446,53410830,2,1,2349355624,73389,73389,8,8,8,53394446,11,3,257633,1126003,1100431,5675,742381934,1103589,5710003,2019254
22326.51,253952,62,37352,2460187046,113,1,621,1167054,2,6706,71,130770455,1244,1,0,70,70,8,327,621,0,0,0,7457866,22192285,761215934,0,621,564,2,1,8,8,6601,1,770300270,722440553,69385756,55601968,55601968,2,1,2445765696,73389,73389,8,8,8,55585584,11,3,260317,1189801,1126719,5888,770300270,1167054,6330904,2019254
