timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
203.56,0,0,0,0,9,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
1206.59,253952,62,31462,2071790938,112,0,621,316511,72,17,4990,71,209,130517069,1244,1,0,70,70,89,8,392,621,0,0,0,5118917,38475,606024843,0,549,256,72,6,1,2,1,8,8,334,1,657578350,608905579,6131083,46774039,46774039,2,1,2057336820,73389,73389,8,8,8,46757655,6,3,397161,320465,2129436,5028,657578350,316511,2989695,2626
2209.67,253952,62,43149,2841957402,114,0,621,350243,72,17,8290,71,209,130770455,1244,1,0,70,70,89,8,392,621,0,0,0,7098857,38613,829587794,0,549,256,72,6,1,2,1,8,8,334,1,882104686,834108060,10418832,64278567,64294951,2,1,2828256948,73389,73389,8,8,8,64278567,6,3,399259,355025,2181610,6741,882104686,350243,4917550,2626
3212.71,253952,62,54871,3614417626,116,0,621,383778,72,17,11596,71,209,131301359,1244,1,0,70,70,89,8,392,621,0,0,0,9061746,38632,1056428119,0,549,256,72,6,1,2,1,8,8,334,1,1107548526,1059886468,13426719,81824055,81840439,2,1,3600258420,73389,73389,8,8,8,81824055,6,3,400347,389359,2230247,8461,1107548526,383778,6831889,2626
4215.63,253952,62,66615,4388307576,118,0,621,418176,72,17,14908,71,209,131554745,1244,1,0,70,70,89,8,392,621,0,0,0,11033358,38641,1283136913,0,549,256,72,6,1,2,1,8,8,334,1,1333778798,1286079765,16464053,99410503,99426887,2,1,4374062132,73389,73389,8,8,8,99410503,6,3,400518,424605,2267445,10187,1333778798,418176,8766396,2626
5218.83,253952,62,78503,5171658842,120,0,621,453377,72,17,18227,71,209,131820197,1244,1,0,70,70,89,8,392,621,0,0,0,12978559,39087,1512075492,0,549,256,72,6,1,2,1,8,8,334,1,1562892654,1515112723,22978977,117226327,117226327,2,1,5157958388,73389,73389,8,8,8,117226327,6,3,401551,460644,2314036,11935,1562892654,453377,10665093,2626
6234.76,253952,62,86354,5688836498,121,0,621,495012,72,17,20483,71,209,131820197,1244,1,0,70,70,89,8,392,621,0,0,0,14481833,545778,1664442607,0,549,256,72,6,1,2,1,8,8,334,1,1713756526,1666402557,37455597,128960257,128976641,2,1,5674251308,73389,73389,8,8,8,128960257,6,3,423143,503118,2397431,13086,1713756526,495012,12085036,2626
7249.25,253952,62,92117,6068644082,122,0,621,582475,72,17,22126,71,209,132085649,1244,1,0,70,70,89,8,392,621,0,0,0,15743703,1576535,1773403548,0,549,256,72,6,1,2,1,8,8,334,1,1824905582,1777308676,48161218,137601929,137618313,2,1,6054484876,73389,73389,8,8,8,137601929,6,3,440469,591476,2495627,13934,1824905582,582475,13248747,2626
8270.66,253952,62,97221,6404997990,123,0,621,648828,72,17,23548,71,209,132085649,1244,1,0,70,70,89,8,392,621,0,0,0,17215688,2994543,1875813158,0,549,256,72,6,1,2,1,8,8,334,1,1923340654,1875674274,66915151,145238144,145254528,2,1,6390478336,73389,73389,8,8,8,145238144,6,3,451869,658706,2570761,14685,1923340654,648828,14645644,2626
9282.95,253952,62,101645,6696521966,123,0,621,716820,72,17,24788,71,209,132351101,1244,1,0,70,70,89,8,392,621,0,0,0,18266807,4127738,1958299332,0,549,256,72,6,1,2,1,8,8,334,1,2008668526,1960894449,72257074,151877094,151877094,2,1,6681871240,73389,73389,8,8,8,151860710,6,3,463254,730572,2642450,15336,2008668526,716820,15625113,2626
10304.34,253952,62,104837,6906774686,124,0,621,775945,72,17,25717,71,209,132351101,1244,1,0,70,70,89,8,392,621,0,0,0,19133809,5402301,2019547898,0,549,256,72,6,1,2,1,8,8,334,1,2069617006,2022300960,77276963,156652586,156668970,2,1,6892713784,73389,73389,8,8,8,156652586,6,3,469400,790313,2701953,15801,2069617006,775945,16432649,2626
11319.84,253952,62,107616,7089961038,124,0,621,858912,72,17,26467,71,209,132351101,1244,1,0,70,70,89,8,392,621,0,0,0,19728888,6517988,2073977355,0,549,256,72,6,1,2,1,8,8,334,1,2123225454,2075873106,88774685,160821870,160821870,2,1,7075441384,73389,73389,8,8,8,160805486,6,3,473531,873873,2747234,16210,2123225454,858912,16982482,2626
12348.81,253952,62,110149,7256760082,125,0,621,902598,72,17,27220,71,209,132616553,1244,1,0,70,70,89,8,392,621,0,0,0,21585795,10029173,2125526275,0,549,256,72,6,1,2,1,8,8,334,1,2171853166,2124618808,111813414,164616481,164616481,2,1,7242404268,73389,73389,8,8,8,164600097,6,3,484650,918078,2814685,16581,2171853166,902598,18771974,2626
13384.87,253952,62,112498,7411765954,125,0,621,1008800,72,17,27862,71,209,132616553,1244,1,0,70,70,89,8,392,621,0,0,0,22113679,11255523,2170781930,0,549,256,72,6,1,2,1,8,8,334,1,2217204078,2169885414,116331403,168130405,168146789,2,1,7397737820,73389,73389,8,8,8,168130405,6,3,485863,1024765,2846759,16927,2217204078,1008800,19267819,2626
14401.96,253952,62,114352,7533800602,125,0,621,1061782,72,17,28364,71,209,132616553,1244,1,0,70,70,89,8,392,621,0,0,0,22532695,12290147,2206860333,0,549,256,72,6,1,2,1,8,8,334,1,2252986734,2205614247,122451047,170894983,170911367,2,1,7519379252,73389,73389,8,8,8,170894983,6,3,486713,1087117,2876666,17200,2252986734,1061782,19656959,2626
15427.83,253952,62,116570,7680221258,126,0,621,1105630,72,17,29026,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,23257523,14034310,2249234136,0,549,256,72,6,1,2,1,8,8,334,1,2295585134,2248453199,131582439,174236875,174236875,2,1,7665701604,73389,73389,8,8,8,174220491,6,3,495093,1131411,2929633,17525,2295585134,1105630,20328861,2626
16446.45,253952,62,118666,7818115618,126,0,621,1191311,72,17,29599,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,23574371,14933328,2289381128,0,549,256,72,6,1,2,1,8,8,334,1,2335955310,2288725696,136674522,177361901,177378285,2,1,7803923644,73389,73389,8,8,8,177361901,6,3,499254,1217559,2966810,17833,2335955310,1191311,20608575,2626
17467.33,253952,62,121426,8000056786,126,0,621,1298759,72,17,30352,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,24232609,16356197,2342763480,0,549,256,72,6,1,2,1,8,8,334,1,2389301614,2341904162,143010637,181498417,181514801,2,1,7985930348,73389,73389,8,8,8,181498417,6,3,501683,1325639,3010086,18240,2389301614,1298759,21223577,2626
18487.95,253952,62,124068,8173999254,127,0,621,1345022,72,17,31126,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,24821082,17668605,2393131598,0,549,256,72,6,1,2,1,8,8,334,1,2440026478,2392799497,163627174,185448676,185465060,2,1,8159741744,73389,73389,8,8,8,185448676,6,3,504239,1372438,3046157,18627,2440026478,1345022,21776015,2626
19524.04,253952,62,126536,8336538458,127,0,621,1437107,72,17,31799,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,25766847,20006311,2441929441,0,549,256,72,6,1,2,1,8,8,334,1,2487474542,2440357328,173898361,189153175,189169559,2,1,8322739700,73389,73389,8,8,8,189153175,6,3,506424,1465026,3089865,18989,2487474542,1437107,22678112,2626
20545.97,253952,62,128035,8435307826,128,0,621,1558602,72,17,32239,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,26708631,22780060,2471319805,0,549,256,72,6,1,2,1,8,8,334,1,2516179310,2469169208,203421200,191401657,191401657,2,1,8420952012,73389,73389,8,8,8,191385273,6,3,511516,1586825,3130184,19208,2516179310,1558602,23579609,2626
21586.81,253952,62,129185,8510939678,128,0,621,1692398,72,17,32578,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,26893663,23623161,2493631205,0,549,256,72,6,1,2,1,8,8,334,1,2538068334,2491253939,204455329,193111626,193128010,2,1,8496911544,73389,73389,8,8,8,193111626,6,3,511851,1720874,3146104,19375,2538068334,1692398,23748750,2626
22618.81,253952,62,130620,8605514742,128,0,621,1724711,72,17,32968,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,27247143,25083208,2521841865,0,549,256,72,6,1,2,1,8,8,334,1,2565986670,2518918399,211803998,195269996,195269996,2,1,8591158928,73389,73389,8,8,8,195253612,6,3,514627,1753472,3162343,19588,2565986670,1724711,24086023,2626
23632.08,253952,62,132649,8739283642,128,0,621,1791713,72,17,33521,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,27575866,25943068,2561066911,0,549,256,72,6,1,2,1,8,8,334,1,2604783982,2557988035,213483066,198302751,198319135,2,1,8725321044,73389,73389,8,8,8,198302751,6,3,515237,1820917,3188907,19884,2604783982,1791713,24388219,2626
24671.80,253952,62,133974,8826649746,128,0,621,1840114,72,17,33883,71,209,132882005,1244,1,0,70,70,89,8,392,621,0,0,0,28341544,28673285,2586393077,0,549,256,72,6,1,2,1,8,8,334,1,2630343022,2583570850,230380247,200280897,200297281,2,1,8812359468,73389,73389,8,8,8,200280897,6,3,515389,1869614,3214115,20079,2630343022,1840114,25128721,2626
25702.86,253952,62,135510,8927843946,129,0,621,1967647,72,17,34349,71,209,133147457,1244,1,0,70,70,89,8,392,621,0,0,0,28753980,30358746,2616177569,0,549,256,72,6,1,2,1,8,8,334,1,2660096366,2613118742,237450385,202594915,202594915,2,1,8913455364,73389,73389,8,8,8,202578531,6,3,517551,1997452,3240898,20306,2660096366,1967647,25514410,2626
26727.84,253952,62,137347,9049029934,129,0,621,2020558,72,17,34858,71,209,133147457,1244,1,0,70,70,89,8,392,621,0,0,0,29234014,31992180,2652122496,0,549,256,72,6,1,2,1,8,8,334,1,2695616878,2648562983,254760437,205332758,205349142,2,1,9034641352,73389,73389,8,8,8,205332758,6,3,519898,2050703,3265463,20577,2695616878,2020558,25969911,2626
27748.40,253952,62,139774,9208882162,129,0,621,2085222,72,17,35521,71,209,133147457,1244,1,0,70,70,89,8,392,621,0,0,0,30030343,34767862,2698951328,0,549,256,72,6,1,2,1,8,8,334,1,2742278510,2695255126,301250360,208971721,208988105,2,1,9194755724,73389,73389,8,8,8,208971721,6,3,523541,2119792,3297682,20933,2742278510,2085222,26734059,2626
28775.01,253952,62,141288,9308634570,130,0,621,2130285,72,17,35985,71,209,133412909,1244,1,0,70,70,89,8,392,621,0,0,0,30389875,36067136,2728470293,0,549,256,72,6,1,2,1,8,8,334,1,2771245422,2724449855,315041015,211236587,211252971,2,1,9294409828,73389,73389,8,8,8,211236587,6,3,526063,2165149,3327738,21154,2771245422,2130285,27063564,2626
29803.73,253952,62,143020,9422939278,130,0,621,2212331,72,17,36463,71,209,133412909,1244,1,0,70,70,89,8,392,621,0,0,0,31002864,38026313,2761667617,0,549,256,72,6,1,2,1,8,8,334,1,2804668782,2757839787,347349442,213843358,213859742,2,1,9409107752,73389,73389,8,8,8,213843358,6,3,528778,2247602,3357830,21409,2804668782,2212331,27646501,2626
30838.68,253952,62,144690,9532915302,130,0,621,2299788,72,17,36916,71,209,133412909,1244,1,0,70,70,89,8,392,621,0,0,0,31915512,40928373,2794472227,0,549,256,72,6,1,2,1,8,8,334,1,2836650350,2790035099,366691394,216345792,216345792,2,1,9519214848,73389,73389,8,8,8,216345792,6,3,532460,2335436,3403882,21653,2836650350,2299788,28513124,2626
31865.75,253952,62,146926,9679984702,131,0,621,2388782,72,17,37579,71,209,133412909,1244,1,0,70,70,89,8,392,621,0,0,0,32256753,41722049,2837761550,0,549,256,72,6,1,2,1,8,8,334,1,2880035182,2833087402,368140396,219683810,219683810,2,1,9666087640,73389,73389,8,8,8,219683810,6,3,536562,2424942,3443999,21984,2880035182,2388782,28814282,2626
32884.69,253952,62,148949,9813360386,131,0,621,2422178,72,17,38131,71,209,133412909,1244,1,0,70,70,89,8,392,621,0,0,0,33013211,43937385,2875807452,0,549,256,72,6,1,2,1,8,8,334,1,2918963566,2872065031,382905773,222700181,222716565,2,1,9798807964,73389,73389,8,8,8,222700181,6,3,538830,2458800,3470801,22281,2918963566,2422178,29543972,2626
33911.72,253952,62,151228,9963513286,131,0,621,2507403,72,17,38753,71,209,133412909,1244,1,0,70,70,89,8,392,621,0,0,0,33457925,45162766,2919751673,0,549,256,72,6,1,2,1,8,8,334,1,2962872686,2915919503,387838977,226126152,226142536,2,1,9949550688,73389,73389,8,8,8,226126152,6,3,539788,2544544,3506168,22616,2962872686,2507403,29953349,2626
34939.84,253952,62,153914,10140604790,132,0,621,2582195,72,17,39539,71,209,133678361,1244,1,0,70,70,89,8,392,621,0,0,0,34684869,48475582,2971694710,0,549,256,72,6,1,2,1,8,8,334,1,3014252910,2967713099,417198062,230139788,230156172,2,1,10126150672,73389,73389,8,8,8,230139788,6,3,544775,2627042,3556846,23008,3014252910,2582195,31129652,2626
35950.84,253952,62,156910,10338012454,132,0,621,2682995,72,17,40353,71,209,133678361,1244,1,0,70,70,89,8,392,621,0,0,0,35611212,50794077,3028749233,0,549,256,72,6,1,2,1,8,8,334,1,3071924590,3025416046,431507736,234636752,234636752,2,1,10323296192,73389,73389,8,8,8,234620368,6,3,546094,2728403,3616937,23448,3071924590,2682995,31995937,2626
36965.29,253952,62,159510,10509041878,133,0,621,2725519,72,17,41119,71,209,133943813,1244,1,0,70,70,89,8,392,621,0,0,0,36789818,53852663,3078346746,0,549,256,72,6,1,2,1,8,8,334,1,3121458463,3075372523,457351827,238527508,238527508,2,1,10494489456,73389,73389,8,8,8,238511124,6,3,547954,2771437,3650376,23830,3121458463,2725519,33141140,2626
37979.95,253952,62,162507,10706780530,134,0,621,2779248,72,17,41992,71,209,134209265,1244,1,0,70,70,89,8,392,621,0,0,0,38516627,58183424,3135791470,0,549,256,72,6,1,2,1,8,8,334,1,3178736927,3133132597,499755488,243014121,243030505,2,1,10692621324,73389,73389,8,8,8,243014121,6,3,554404,2825709,3710281,24267,3178736927,2779248,34807088,2626
38997.40,253952,62,166052,10940167458,134,0,621,2837531,72,17,42958,71,209,134209265,1244,1,0,70,70,89,8,392,621,0,0,0,39498554,59768816,3202938528,0,549,256,72,6,1,2,1,8,8,334,1,3247025439,3201416054,508756216,248313901,248330285,2,1,10925811644,73389,73389,8,8,8,248313901,6,3,557963,2884641,3756507,24788,3247025439,2837531,35742825,2626
40002.42,253952,62,169093,11140524242,135,0,621,2880640,72,17,43840,71,209,134209265,1244,1,0,70,70,89,8,392,621,0,0,0,40599731,61997450,3261826458,0,549,256,72,6,1,2,1,8,8,334,1,3305483551,3260038891,524569688,252876401,252876401,2,1,11126561644,73389,73389,8,8,8,252876401,6,3,565187,2929507,3815797,25234,3305483551,2880640,36784752,2626
41005.45,253952,62,180554,11895879570,137,0,621,2922846,72,17,46991,71,209,134474717,1244,1,0,70,70,89,8,392,621,0,0,0,43206003,62858695,3482607096,0,549,256,72,6,1,2,1,8,8,334,1,3526339871,3480821621,532831300,270045057,270045057,2,1,11881982508,73389,73389,8,8,8,270045057,6,3,566724,2972776,3871319,26919,3526339871,2922846,39335590,2626
42008.91,253952,62,191740,12632947046,138,0,621,2964043,72,17,50128,71,209,134740169,1244,1,0,70,70,89,8,392,621,0,0,0,45305676,62858781,3698961906,0,549,256,72,6,1,2,1,8,8,334,1,3741691167,3696256806,535820792,286798080,286798080,2,1,12618394624,73389,73389,8,8,8,286781696,6,3,567675,3015043,3922791,28562,3741691167,2964043,41383882,2626
43013.05,253952,62,202561,13345828430,140,0,621,3008679,72,17,53195,71,209,135005621,1244,1,0,70,70,89,8,392,621,0,0,0,47307126,62952147,3906400867,0,549,256,72,6,1,2,1,8,8,334,1,3949702431,3904650950,541624315,302988014,303004398,2,1,13331472616,73389,73389,8,8,8,302988014,6,3,575813,3060676,3979030,30149,3949702431,3008679,43329184,2626
44016.38,253952,62,213609,14073851938,142,0,621,3048058,72,17,56311,71,209,135271073,1244,1,0,70,70,89,8,392,621,0,0,0,49907360,64091358,4119477430,0,549,256,72,6,1,2,1,8,8,334,1,4162825503,4117578095,564295632,319536237,319536237,2,1,14059594428,73389,73389,8,8,8,319536237,6,3,592159,3101086,4047515,31775,4162825503,3048058,45861022,2626
45029.95,253952,62,220953,14557802842,143,0,621,3111584,72,17,58386,71,209,135536525,1244,1,0,70,70,89,8,392,621,0,0,0,51936848,65786078,4258469947,0,549,256,72,6,1,2,1,8,8,334,1,4303858975,4258946135,588394679,330532887,330549271,2,1,14543447028,73389,73389,8,8,8,330532887,6,3,613401,3165597,4148044,32851,4303858975,3111584,47789700,2626
46039.10,253952,62,227041,14959175078,144,0,621,3179132,72,17,60121,71,209,135801977,1244,1,0,70,70,89,8,392,621,0,0,0,53201299,66857642,4377525362,0,549,256,72,6,1,2,1,8,8,334,1,4421037343,4376310070,601822487,339655728,339655728,2,1,14944852032,73389,73389,8,8,8,339655728,6,3,615902,3234072,4230246,33745,4421037343,3179132,48972990,2626
47050.94,253952,62,232603,15325279022,145,0,621,3253095,72,17,61694,71,209,135801977,1244,1,0,70,70,89,8,392,621,0,0,0,54482568,68266402,4483735216,0,549,256,72,6,1,2,1,8,8,334,1,4528123167,4483326394,615952331,347982230,347982230,2,1,15310497224,73389,73389,8,8,8,347965846,6,3,622470,3308928,4294641,34562,4528123167,3253095,50188909,2626
48061.32,253952,62,236687,15594520758,146,0,621,3321679,72,17,62877,71,209,136067429,1244,1,0,70,70,89,8,392,621,0,0,0,55262410,69046897,4563334975,0,549,256,72,6,1,2,1,8,8,334,1,4606504223,4562030473,618483558,354105084,354105084,2,1,15579902800,73389,73389,8,8,8,354088700,6,3,622496,3378241,4339681,35160,4606504223,3321679,50924754,2626
49080.14,253952,62,240487,15844884818,146,0,621,3387793,72,17,63919,71,209,136067429,1244,1,0,70,70,89,8,392,621,0,0,0,56472096,70635775,4635595185,0,549,256,72,6,1,2,1,8,8,334,1,4679511327,4635180024,629636615,359787729,359804113,2,1,15830660076,73389,73389,8,8,8,359787729,6,3,623952,3450057,4379906,35717,4679511327,3387793,52094598,2626
50091.21,253952,62,244008,16077229786,147,0,621,3429147,72,17,64933,71,209,136332881,1244,1,0,70,70,89,8,392,621,0,0,0,57839559,72583954,4705235444,0,549,256,72,6,1,2,1,8,8,334,1,4747537695,4703134019,645571745,365074999,365074999,2,1,16062579060,73389,73389,8,8,8,365058615,6,3,628563,3492064,4436920,36236,4747537695,3429147,53404930,2626
51110.80,253952,62,247792,16326545270,147,0,621,3488881,72,17,65963,71,209,136332881,1244,1,0,70,70,89,8,392,621,0,0,0,58518258,73629740,4775790200,0,549,256,72,6,1,2,1,8,8,334,1,4820675871,4776016055,648672624,370741260,370741260,2,1,16311894544,73389,73389,8,8,8,370724876,6,3,631367,3552468,4479853,36794,4820675871,3488881,54040738,2626
52123.75,253952,62,251610,16577823526,148,0,621,3574610,72,17,67058,71,209,136332881,1244,1,0,70,70,89,8,392,621,0,0,0,59679914,75462339,4850934166,0,549,256,72,6,1,2,1,8,8,334,1,4893682975,4849503676,661412973,376450640,376450640,2,1,16563107264,73389,73389,8,8,8,376434256,6,3,635667,3638919,4545851,37351,4893682975,3574610,55136434,2626
53140.08,253952,62,256024,16868692142,149,0,621,3639586,72,17,68318,71,209,136332881,1244,1,0,70,70,89,8,392,621,0,0,0,61706404,78316134,4932629699,0,549,256,72,6,1,2,1,8,8,334,1,4978748703,4934486633,679018630,383065014,383065014,2,1,16854139720,73389,73389,8,8,8,383048630,6,3,639164,3704625,4619181,38000,4978748703,3639586,57089629,2626
54150.83,253952,62,261607,17236449860,150,0,621,3699708,72,17,69866,71,209,136598333,1244,1,0,70,70,89,8,392,621,0,0,0,63584888,80575161,5039889693,0,549,256,72,6,1,2,1,8,8,334,1,5086227743,5041999399,692320398,391405741,391422125,2,1,17221852604,73389,73389,8,8,8,391405741,6,3,648635,3765602,4685468,38820,5086227743,3699708,58901869,2626
55162.08,253952,62,266530,17560929686,150,0,621,3749349,72,17,71238,71,209,136598333,1244,1,0,70,70,89,8,392,621,0,0,0,65099021,82314285,5133515813,0,549,256,72,6,1,2,1,8,8,334,1,5180992799,5136801732,702746308,398788004,398804388,2,1,17546672176,73389,73389,8,8,8,398788004,6,3,657587,3816798,4749257,39543,5180992799,3749349,60352417,2626
56183.70,253952,62,270191,17802184242,151,0,621,3805052,72,17,72295,71,209,136863785,1244,1,0,70,70,89,8,392,621,0,0,0,66379627,84182286,5207739201,0,549,256,72,6,1,2,1,8,8,334,1,5251509535,5207356415,718324942,404265849,404282233,2,1,17787697356,73389,73389,8,8,8,404265849,6,3,661702,3873151,4807664,40081,5251509535,3805052,61574653,2626
57195.47,253952,62,273636,18029017570,152,0,621,3876268,72,17,73288,71,209,136863785,1244,1,0,70,70,89,8,392,621,0,0,0,67380206,86129697,5275016701,0,549,256,72,6,1,2,1,8,8,334,1,5318094111,5273713738,749719093,409418173,409434557,2,1,18014399612,73389,73389,8,8,8,409418173,6,3,663781,3948994,4860892,40589,5318094111,3876268,62522040,2626
58213.97,253952,62,279093,18388771138,152,0,621,3935095,72,17,74778,71,209,136863785,1244,1,0,70,70,89,8,392,621,0,0,0,68737403,87721389,5379260962,0,549,256,72,6,1,2,1,8,8,334,1,5423082783,5378862419,759436804,417609285,417609285,2,1,18374808540,73389,73389,8,8,8,417609285,6,3,670396,4008652,4944146,41390,5423082783,3935095,63796028,2626
59236.72,253952,62,281682,18559505650,153,0,621,4001297,72,17,75536,71,209,137129237,1244,1,0,70,70,89,8,392,621,0,0,0,69575039,89011039,5429498754,0,549,256,72,6,1,2,1,8,8,334,1,5472890143,5428803748,766316735,421475465,421491849,2,1,18544920460,73389,73389,8,8,8,421475465,6,3,672665,4075410,4985557,41770,5472890143,4001297,64592289,2626
60260.75,253952,62,283559,18683047626,153,0,621,4127962,72,17,76048,71,209,137129237,1244,1,0,70,70,89,8,392,621,0,0,0,70226680,90568696,5465317067,0,549,256,72,6,1,2,1,8,8,334,1,5508934943,5464992960,772503541,424272811,424289195,2,1,18668003684,73389,73389,8,8,8,424272811,6,3,673731,4202529,5026937,42045,5508934943,4127962,65202589,2626
61290.01,253952,62,285871,18835628666,154,0,621,4209783,72,17,76737,71,209,137394689,1244,1,0,70,70,89,8,392,621,0,0,0,70693719,91644771,5510311819,0,549,256,72,6,1,2,1,8,8,334,1,5553630495,5509523654,778774600,427762159,427762159,2,1,18821534996,73389,73389,8,8,8,427762159,6,3,678921,4284869,5072866,42386,5553630495,4209783,65623739,2626
62312.59,253952,62,287432,18938461266,154,0,621,4248660,72,17,77161,71,209,137394689,1244,1,0,70,70,89,8,392,621,0,0,0,71508934,93688684,5539966976,0,549,256,72,6,1,2,1,8,8,334,1,5583645983,5539575729,789384724,430100753,430100753,2,1,18924433132,73389,73389,8,8,8,430100753,6,3,680704,4324051,5104388,42615,5583645983,4248660,66407470,2626
63338.79,253952,62,289138,19050796586,154,0,621,4309673,72,17,77626,71,209,137394689,1244,1,0,70,70,89,8,392,621,0,0,0,72168012,95654118,5572638102,0,549,256,72,6,1,2,1,8,8,334,1,5616413983,5572452791,795623992,432652339,432652339,2,1,19035982020,73389,73389,8,8,8,432635955,6,3,682621,4389412,5132601,42865,5616413983,4309673,67038365,2626
64365.97,253952,62,291175,19185089774,154,0,621,4382146,72,17,78184,71,209,137394689,1244,1,0,70,70,89,8,392,621,0,0,0,72428577,96415890,5611993792,0,549,256,72,6,1,2,1,8,8,334,1,5655997727,5611683752,796647807,435701478,435717862,2,1,19170865032,73389,73389,8,8,8,435701478,6,3,682713,4478209,5158865,43167,5655997727,4382146,67272698,2626
