timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
59860.91,0,253952,62,18598,1224859462,156,8,558,793299,57,7094,68,9594,100402246,1118,1,0,4,9081,22428840,10,89069600,67,70,3448,5,13585,558,0,0,10779468,36315030,414663884,0,558,422,3,1,8,8,9728,3,418069034,388599101,49422011,23306179,23437251,3,1,1211069372,73389,73389,8,8,8,23289799,9,3,171600,832721,639969,3498,418069034,793299,10139917,40889
60890.85,5,253952,62,39289,2586511726,296,8,558,1764693,57,15308,68,9594,106049134,1118,1,0,4,9081,48525971,10,193586880,67,70,3448,5,13585,558,0,0,25265208,80280339,841883134,0,558,422,3,1,8,8,9728,3,848085550,817269155,110408426,49465333,49596405,3,1,2568789476,73389,73389,8,8,8,49399801,9,3,202346,1817975,939517,7073,848085550,1764693,24326578,40889
61908.76,11,253952,62,59919,3947315520,428,6512,558,2688196,57,23338,68,9594,112902622,1118,1,0,4,9081,73977015,10,295132496,67,70,3448,5,13585,558,0,0,39881071,125625787,1266879944,0,558,422,3,1,8,8,9728,3,1273258186,1245397320,174655043,75635665,75750353,3,1,3932202644,73389,73389,8,8,8,75619285,9,3,227643,2766304,1255904,10599,1273258186,2688196,38626536,40889
62940.20,14,253952,62,79862,5261503370,559,6513,558,3632114,57,31230,68,9594,113831704,1118,1,0,4,9081,98914993,10,395207892,67,70,3448,5,13585,558,0,0,54980277,172723101,1681994581,0,558,422,3,1,8,8,9728,3,1686722883,1659285406,240880874,100899288,101046744,3,1,5246763008,73389,73389,8,8,8,100899292,9,3,263079,3730656,1588754,14025,1686722883,3632114,53393377,40889
63978.26,16,253952,62,98076,6460569576,676,6513,558,4553770,57,38383,68,9594,113831704,1118,1,0,4,9081,121733040,10,486156680,67,70,3448,5,13585,558,0,0,67624476,216229342,2059553537,0,558,422,3,1,8,8,9728,3,2064020782,2036896243,301526722,123980409,124092938,3,1,6445277364,73389,73389,8,8,8,123947645,9,3,314441,4667228,1946017,17152,2064020782,4553770,65680742,40889
65019.14,17,253952,62,113443,7474164862,773,6514,558,5338061,57,44440,68,9594,113831704,1118,1,0,4,9081,140880584,10,562875840,67,70,3448,5,13585,558,0,0,79978370,265423050,2379962739,0,558,422,3,1,8,8,9728,3,2380856881,2355696218,370429035,143497566,143628638,3,1,7459317560,73389,73389,8,8,8,143448418,9,3,345914,5465233,2184959,19776,2380856881,5338061,77795075,40889
66044.52,18,253952,62,128858,8490350840,876,6516,558,6366802,57,50557,68,9594,113831704,1118,1,0,4,9081,160112388,10,640449552,67,70,3448,5,13585,558,0,0,91290267,310261651,2700885463,0,558,422,3,1,8,8,9728,3,2702260364,2675828526,433086457,163084577,163100961,3,1,8476990164,73389,73389,8,8,8,163019045,9,3,396408,6507957,2532646,22450,2702260364,6366802,88760691,40889
67090.31,20,253952,62,142220,9369819530,959,6516,558,7187215,57,55815,68,9594,113831704,1118,1,0,4,9081,176934890,10,707222552,67,70,3448,5,13585,558,0,0,100685999,355568827,2975376306,0,558,422,3,1,8,8,9728,3,2976801031,2952719477,497261390,179950573,180098029,3,1,9355725892,73389,73389,8,8,8,179917809,9,3,427885,7357919,2789600,24719,2976801031,7187215,97899818,40889
68161.71,22,253952,62,155320,10232117788,1048,6526,558,8157066,57,60960,68,9594,113831704,1118,1,0,4,9081,193261361,10,772463588,67,70,3448,5,13585,558,0,0,110745716,407016697,3247237921,0,558,422,3,1,8,8,9728,3,3249162134,3224136786,563877145,196521657,196652729,3,1,10217422260,73389,73389,8,8,8,196488893,9,3,463711,8331010,3028553,26983,3249162134,8157066,107719937,40889
69206.82,26,253952,62,169261,11152982698,1131,6526,558,8987413,57,66500,68,9594,113831704,1118,1,0,4,9081,210979293,10,843141636,67,70,3448,5,13585,558,0,0,120103290,453850697,3536857896,0,558,422,3,1,8,8,9728,3,3540123224,3514111095,625379830,214265024,214297792,3,1,11135817504,73389,73389,8,8,8,214150340,9,3,513340,9167046,3317407,29385,3540123224,8987413,116790026,40889
70254.10,26,253952,62,182926,12051958882,1222,6526,558,9939073,57,71861,68,9594,113831704,1118,1,0,4,9081,227948477,10,910889524,67,70,3448,5,13585,558,0,0,129819407,500765257,3823906687,0,558,422,3,1,8,8,9728,3,3824965819,3797490696,687970495,231526395,231706619,3,1,12035964700,73389,73389,8,8,8,231460863,9,3,543276,10125693,3555151,31745,3824965819,9939073,126268763,40889
71305.77,31,253952,62,195958,12910717708,1309,6527,558,10867352,57,76974,68,9594,113831704,1118,1,0,4,9081,244085042,10,975823792,67,70,3448,5,13585,558,0,0,140717514,554276143,4097801140,0,558,422,3,1,8,8,9728,3,4098708711,4067475646,762335746,248009082,248172922,3,1,12890508520,73389,73389,8,8,8,247894398,9,3,586831,11057139,3818227,34021,4098708711,10867352,136904135,40889
72362.75,31,253952,62,209711,13816715924,1393,6527,576,11812548,57,82366,68,9594,117083050,1154,1,0,4,9081,261259864,10,1044006032,67,70,3448,5,13585,576,0,0,149518026,596483090,4380779377,0,576,448,3,1,8,8,9728,3,4383326080,4352850857,817638085,265460584,265556729,3,1,13799690560,73389,73389,8,8,8,265378668,9,3,614925,12017647,4062002,36374,4383326080,11812548,145461244,40987
73417.55,33,253952,62,222730,14674900300,1482,6529,576,12520218,57,87498,68,9594,117083050,1154,1,0,4,9081,277395350,10,1109000240,67,70,3448,5,13585,576,0,0,160168736,650117996,4651513916,0,576,448,3,1,8,8,9728,3,4652791502,4623017071,889535410,281924728,282053641,3,1,14658381952,73389,73389,8,8,8,281891964,9,3,655367,12758638,4306285,38613,4652922574,12520277,155868022,40987
74468.29,36,253952,62,236553,15585920412,1565,6529,576,13234751,57,92948,68,9594,117083050,1154,1,0,4,9081,294772232,10,1178257560,67,70,3448,5,13585,576,0,0,170434075,699470277,4940541088,0,576,448,3,1,8,8,9728,3,4940720291,4909806530,954753211,299468057,299615513,3,1,15570635060,73389,73389,8,8,8,299435293,9,3,685459,13491623,4538492,40993,4940720291,13234751,165904517,40987
75500.79,38,253952,62,249989,16471155782,1657,6529,576,14005660,57,98198,68,9594,117396766,1154,1,0,4,9081,311362490,10,1244803320,67,70,3448,5,13585,576,0,0,179826057,747061456,5219930577,0,576,448,3,1,8,8,9728,3,5218864333,5188534375,1016295185,316491416,316573336,3,1,16453293824,73389,73389,8,8,8,316409500,9,3,745625,14302788,4846165,43307,5218864333,14005660,174986191,40987
76547.81,40,253952,62,263907,17387701986,1746,6531,576,15010347,57,103705,68,9594,117396766,1154,1,0,4,9081,328987584,10,1314722388,67,70,3448,5,13585,576,0,0,190174570,798551048,5507583094,0,576,448,3,1,8,8,9728,3,5505487131,5476606851,1082322215,334123142,334270598,3,1,17371847512,73389,73389,8,8,8,334073994,9,3,818708,15328619,5200458,45683,5505487131,15010347,184980766,40987
77599.44,43,253952,62,277810,18304483816,1834,6531,576,15763865,57,109201,68,9594,117396766,1154,1,0,4,9081,346347277,10,1384355284,67,70,3448,5,13585,576,0,0,200826869,849328797,5795399509,0,576,448,3,1,8,8,9728,3,5793182950,5765760953,1149066678,351746232,351893688,3,1,18287396224,73389,73389,8,8,8,351680700,9,3,849163,16097596,5427507,48063,5793182950,15763865,195404371,40987
78634.73,46,253952,62,291646,19216874734,1924,6531,594,16687352,57,114637,68,9594,120394185,1190,1,0,4,9081,363563190,10,1453219948,67,70,3448,5,13585,594,0,0,210594066,897176085,6082824379,0,594,473,3,1,8,8,9728,3,6082215870,6053033908,1213502447,369254634,369385706,3,1,19198685096,73389,73389,8,8,8,369205486,9,3,876505,17024483,5663657,50458,6082215870,16687352,204937779,41082
79737.79,49,253952,62,305574,20134076298,2014,6532,594,17551649,57,120120,68,9594,120394185,1190,1,0,4,9081,380914308,10,1522817092,67,70,3448,5,13585,594,0,0,220372708,945534320,6371211494,0,594,473,3,1,8,8,9728,3,6369280782,6341583003,1273872990,386935512,387033816,3,1,20118090752,73389,73389,8,8,8,386886364,9,3,905749,17892172,5897369,52837,6369280782,17551649,214483065,41082
80780.74,52,253952,62,323178,21294022230,2129,6532,594,18454368,57,127054,68,9594,121021617,1190,1,0,4,9081,402933650,10,1610700792,67,70,3448,5,13585,594,0,0,232775644,998700073,6733552324,0,594,473,3,1,8,8,9728,3,6733761973,6706797002,1343766257,409272876,409371180,3,1,21277929744,73389,73389,8,8,8,409190960,9,3,958541,18809162,6223530,55856,6733761973,18454368,226560266,41082
81812.33,15066,253952,62,338297,22290845750,2224,6533,594,19422609,57,133059,68,9594,121021617,1190,1,0,4,9081,421908412,10,1686987756,67,70,3448,5,13585,594,0,0,244336116,1046057789,7049372809,0,594,473,3,1,8,8,9728,3,7047205973,7020534600,1411026282,428351983,428548591,3,1,22270895276,73389,73389,8,8,8,428286451,9,3,1001469,19781093,6517861,58432,7047205973,19422609,237826791,41082
82833.07,15069,253952,62,354915,23385038982,2334,6533,594,20390058,57,139572,68,9594,121021617,1190,1,0,4,9081,442516325,10,1769547816,67,70,3448,5,13585,594,0,0,255059366,1089798985,7394871630,0,594,473,3,1,8,8,9728,3,7393365531,7365271326,1468000446,449420031,449614480,3,1,23365581804,73389,73389,8,8,8,449338115,9,3,1040169,20752613,6821108,61311,7393365531,20390058,248247161,41082
83868.83,15079,253952,62,370903,24438704692,2441,33704,594,21174003,57,145891,68,9594,121021617,1190,1,0,4,9081,462649230,10,1849692496,67,70,3448,5,13585,594,0,0,268278307,1143570705,7731924712,0,594,473,3,1,8,8,9728,3,7727572460,7696834131,1540615480,469678786,469859010,3,1,24419037064,73389,73389,8,8,8,469596870,9,3,1079488,21540553,7100294,64081,7727572460,21174003,261187413,41082
84911.74,15082,253952,62,387428,25527659762,2542,33704,603,22220646,57,152360,68,9594,122463765,1208,1,0,4,9081,483116869,10,1931691852,67,70,3448,5,13585,603,0,0,278471813,1185649545,8071211617,0,603,481,3,1,8,8,9728,3,8069384580,8039578722,1597627571,490633861,490781317,3,1,25508700964,73389,73389,8,8,8,490551945,9,3,1130998,22591251,7413210,66907,8069384580,22220646,271067407,41119
85959.94,15084,253952,62,403787,26605398008,2654,33704,603,23260394,57,158871,68,9594,122463765,1208,1,0,4,9081,503757000,10,2014446740,67,70,3448,5,13585,603,0,0,291140664,1238046808,8414783317,0,603,481,3,1,8,8,9728,3,8410762420,8379185230,1668042949,511402679,511550135,3,1,26589531468,73389,73389,8,8,8,511337147,9,3,1174508,23643971,7720052,69738,8410762420,23260394,283443070,41119
87002.78,15092,253952,62,419604,27647603676,2751,33705,603,24118448,57,165066,68,9594,122463765,1208,1,0,4,9081,523526204,10,2093329984,67,70,3448,5,13585,603,0,0,302391285,1283392795,8741814252,0,603,481,3,1,8,8,9728,3,8736774406,8707189582,1732683116,531450601,531499753,3,1,27632875380,73389,73389,8,8,8,531401453,9,3,1214999,24505765,7994305,72437,8736774406,24118448,294407584,41119
88039.69,15096,253952,62,434438,28625407270,2848,33706,603,25002184,57,170928,68,9594,122463765,1208,1,0,4,9081,542085253,10,2167565568,67,70,3448,5,13585,603,0,0,312240710,1325511553,9049307984,0,603,481,3,1,8,8,9728,3,9045586306,9015098270,1792151892,550236955,550318875,3,1,28606470184,73389,73389,8,8,8,550124430,9,3,1247645,25393151,8234201,74999,9045586306,25002184,304016482,41119
89101.64,15102,253952,62,448229,29534729052,2933,33706,612,25771321,57,176344,68,9594,123905369,1226,1,0,4,9081,559147968,10,2236204428,67,70,3448,5,13585,612,0,0,322779101,1371581571,9337685023,0,612,497,3,1,8,8,9728,3,9333018132,9301261017,1857957102,567710430,567841502,3,1,29520090424,73389,73389,8,8,8,567694050,9,3,1287607,26165612,8512649,77381,9333018132,25771321,314277768,41183
90138.56,15104,253952,62,462379,30465321142,3021,33708,684,26650857,57,181823,68,9594,135637823,1370,1,0,4,9081,576621487,10,2305451900,67,70,3448,5,13585,684,0,0,332662684,1419803570,9639876381,0,684,591,3,1,8,8,9728,3,9636480143,9595759608,1922833328,585562255,585627791,3,1,30445829420,73389,73389,8,8,8,585496723,9,3,1326403,27048637,8763263,79927,9636480143,26650857,323911070,41534
91186.71,15104,253952,62,473868,31220947006,3118,33709,810,27295559,57,186567,72,9594,163892288,1629,1,0,4,9081,591599349,10,2366397396,71,77,3448,5,13810,810,0,0,343541536,1471246846,9897842014,8,810,737,3,1,8,8,9728,3,9886139340,9835019576,2032019229,600037902,600037902,3,1,31201970936,73389,73389,8,8,8,600037906,9,3,1371475,27702345,9023113,81997,9886139340,27295559,334530358,42120
91211.85,15104,253952,62,473868,31220947006,3118,33709,810,27295559,57,186567,72,9594,163892288,1629,1,1228,4,9081,591599349,10,2366397396,71,77,3448,67,13810,810,1228,127,343615093,1471509178,9897847861,8,810,737,3,1,8,8,9728,3,9886139340,9835019576,2032748071,600037902,600037902,3,1,31201970936,73389,73389,8,8,8,600037906,9,3,1372010,27702345,9024194,81997,9886139340,27295559,334602839,42120
