timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
80374.89,1,253952,62,21440,1411538270,110,2,621,1590776,15,2201,49,67,1,75091,130251617,1244,1,0,66,70,4,106788,621,0,0,0,3036661,15739353,455392428,0,621,3657,2,1,8,8,509,1,464509294,415939391,22093599,31761594,31777978,2,1,1397510136,73389,73389,8,8,8,31761594,8,3,121282,1609310,570817,3555,464509294,1590776,2466443,19561
81402.82,1,253952,62,22829,1503098678,110,2,621,1681886,15,2579,49,67,1,75091,130251617,1244,1,0,66,70,4,106788,621,0,0,0,3274802,16726280,482816443,0,621,3657,2,1,8,8,509,1,491116910,442671693,23860895,33838044,33854428,2,1,1488873936,73389,73389,8,8,8,33838044,8,3,122639,1700697,594920,3758,491116910,1681886,2680511,19561
82436.79,1,253952,62,24203,1593410594,111,2,621,1748489,15,3010,49,67,1,75091,130251617,1244,1,0,66,70,4,106788,621,0,0,0,3562241,18017964,508535563,0,621,3657,2,1,8,8,509,1,517200238,469060134,30518065,35892077,35908461,2,1,1579251388,73389,73389,8,8,8,35892077,8,3,123584,1767570,617647,3957,517200238,1748489,2945253,19561
83475.80,1,253952,62,25625,1687133690,111,2,621,1789269,15,3395,49,67,1,75091,130251617,1244,1,0,66,70,4,106788,621,0,0,0,3825950,19164185,536484824,0,621,3657,2,1,8,8,509,1,544987502,496482215,34775566,38017679,38034063,2,1,1672777876,73389,73389,8,8,8,38017679,8,3,126045,1808672,638528,4169,544987502,1789269,3188111,19561
84506.22,1,253952,62,27172,1789048786,111,2,621,1891840,15,3814,49,67,1,75091,130251617,1244,1,0,66,70,4,106788,621,0,0,0,4031921,20001047,565742968,0,621,3657,2,1,8,8,509,1,574216558,526242309,35818706,40339889,40356273,2,1,1774955116,73389,73389,8,8,8,40339889,8,3,126859,1911557,659117,4392,574216558,1891840,3373523,19561
85532.97,1,253952,62,28801,1896337834,111,2,621,1914989,15,4264,49,67,1,75091,130251617,1244,1,0,66,70,4,106788,621,0,0,0,4371535,21285970,596838991,0,621,3657,2,1,8,8,509,1,606067054,557638408,39361819,42776787,42793171,2,1,1882178628,73389,73389,8,8,8,42776787,8,3,126970,1938706,669498,4635,606067054,1914989,3702790,19561
86562.26,1,253952,62,30323,1996879982,112,2,621,1972043,15,4733,49,67,1,75091,130517069,1244,1,0,66,70,4,106788,621,0,0,0,4864765,23231762,626099991,0,621,3657,2,1,8,8,509,1,635165038,587003595,48953142,45064070,45080454,2,1,1982819080,73389,73389,8,8,8,45064070,8,3,129001,1996081,701172,4857,635165038,1972043,4164380,19561
87608.72,1,253952,62,31666,2085425734,112,2,621,1987016,15,5099,49,67,1,75091,130517069,1244,1,0,66,70,4,106788,621,0,0,0,5094296,24238585,652867778,0,621,3657,2,1,8,8,509,1,661248366,612863709,52250039,47074984,47091368,2,1,2071299296,73389,73389,8,8,8,47074984,8,3,129353,2011364,712816,5056,661248366,1987016,4382303,19561
88641.30,1,253952,62,33101,2180000798,112,2,621,2068041,15,5491,49,67,1,75091,130517069,1244,1,0,66,70,4,106788,621,0,0,0,5339788,25358665,679766143,0,621,3657,2,1,8,8,509,1,688642414,640572223,61343600,49216970,49233354,2,1,2165546680,73389,73389,8,8,8,49216970,8,3,130374,2092680,729708,5265,688642414,2068041,4610938,19561
89692.51,1,253952,62,34555,2275567660,112,2,621,2175118,15,5885,49,67,1,75091,130517069,1244,1,0,66,70,4,106788,621,0,0,0,5829282,27588516,707581537,0,621,3657,2,1,8,8,509,1,716953966,668509015,81421593,51402075,51402075,2,1,2260970404,73389,73389,8,8,8,51385691,8,3,135321,2200084,768923,5481,716953966,2175118,5061248,19561
