timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
97832.78,5,253952,62,22141,1457680942,186,1,558,826513,0,31,8455,67,24041,101029678,1118,1,0,4,9942,26786431,9,106112184,66,70,4,28935,558,0,0,12599279,33529376,483868618,0,558,4098,0,3,1,8,8,10644,3,492999109,461868833,50619854,27791077,27872997,3,1,1440876196,73389,73389,8,8,8,27709161,11,3,137426,840930,625487,4134,492999109,826513,11974377,17699
98858.16,10,253952,62,47154,3105186054,349,3,558,1668974,0,31,18335,67,24041,109282822,1118,1,0,4,9942,58098912,9,231555748,66,70,4,28935,558,0,0,30815618,77285060,1000658297,0,558,4098,0,3,1,8,8,10644,3,1010833160,980310669,116879735,59437983,59616048,3,1,3084811372,73389,73389,8,8,8,59323299,11,3,202970,1694264,1041728,8423,1010833160,1668974,29773977,17699
99880.17,22,253952,62,71995,4743120280,506,6019,558,2559749,0,31,28189,67,24041,113831704,1118,1,0,4,9942,89288604,9,356896332,66,70,4,28935,558,0,0,48259589,120483099,1520998661,0,558,4098,0,3,1,8,8,10644,3,1525056245,1496244857,182032936,90973631,91071935,3,1,4728072940,73389,73389,8,8,8,90924483,11,3,247064,2590904,1437959,12683,1525056245,2559749,46823240,17699
100900.69,26,253952,62,91797,6047500452,639,9034,558,3472960,0,31,35959,67,24041,113831704,1118,1,0,4,9942,113941961,9,455250884,66,70,4,28935,558,0,0,61688715,163441188,1930630952,0,558,4098,0,3,1,8,8,10644,3,1935114497,1906939724,242878240,116061348,116143268,3,1,6031782256,73389,73389,8,8,8,115995816,11,3,311769,3509015,1822178,16095,1935114497,3472960,59866639,17699
101942.64,28,253952,62,110761,7296852862,759,9036,558,4369788,0,31,43386,67,24041,113831704,1118,1,0,4,9942,137584021,9,549366992,66,70,4,28935,558,0,0,74413339,206583267,2319529850,0,558,4098,0,3,1,8,8,10644,3,2325093849,2300264250,305025311,140037112,140215177,3,1,7279373952,73389,73389,8,8,8,139987964,11,3,352957,4418349,2132495,19319,2325093849,4369788,72282402,17699
102978.41,33,253952,62,131514,8665681386,890,9039,558,5275000,0,31,51573,67,24041,113831704,1118,1,0,4,9942,163578995,9,653346252,66,70,4,28935,558,0,0,88635281,253469224,2752994443,0,558,4098,0,3,1,8,8,10644,3,2756695965,2730896331,368990049,166401893,166516581,3,1,8651194532,73389,73389,8,8,8,166369129,11,3,400002,5349426,2479087,22894,2756695965,5275000,86159223,17699
104012.54,39,253952,62,151252,9965203624,1016,9039,558,6110113,0,31,59353,67,24041,113831704,1118,1,0,4,9942,188219143,9,752294508,66,70,4,28935,558,0,0,102246347,298331407,3159997548,0,558,4098,0,3,1,8,8,10644,3,3164900207,3140060548,431800587,191428392,191510312,3,1,9951720512,73389,73389,8,8,8,191379244,11,3,450798,6214266,2807866,26277,3164900207,6110113,99441955,17699
105060.89,13057,253952,62,172051,11334790462,1157,9043,558,7116813,0,31,67523,67,24041,113831704,1118,1,0,4,9942,214070791,9,855895436,66,70,4,28935,558,0,0,116684309,345231454,3592175410,0,558,4098,0,3,1,8,8,10644,3,3596372114,3571602038,496309058,217714300,217826829,3,1,11316883792,73389,73389,8,8,8,217632384,11,3,494446,7234852,3163631,29862,3596372114,7116813,113524610,17699
106089.10,13059,253952,62,192388,12675837172,1281,9046,567,7930537,0,31,75541,67,24041,115270445,1136,1,0,4,9942,239529222,9,957341572,66,70,4,28935,567,0,0,131272957,394256123,4021912256,0,567,4109,0,3,1,8,8,10644,3,4023096674,3993312432,564959980,243534535,243665607,3,1,12661239948,73389,73389,8,8,8,243485387,11,3,533449,8053168,3491252,33385,4023096674,7930537,127785093,17738
107135.90,38093,253952,62,210223,13850318620,1397,9046,567,8711921,0,31,82583,67,24041,115584161,1136,1,0,4,9942,261959900,9,1046741064,66,70,4,28935,567,0,0,144035418,438837077,4391059987,0,567,4109,0,3,1,8,8,10644,3,4393441872,4363406703,629040273,266121977,266269433,3,1,13835786932,73389,73389,8,8,8,266072829,11,3,577336,8876596,3803917,36463,4393441872,8711921,140235320,17738
