timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
24412.95,0,0,0,0,35,0,0,4,0,5,0,2097278,2,1,0,5,8,0,0,457,0,0,0,0,0,0,3768,0,0,0,2,1,8,8,13466,1,0,0,66,0,0,2,1,0,0,0,0,0,0,0,12,3,1,0,0,0,0,0,0,0
25446.92,253952,62,21564,1419664734,110,621,1127429,4,2236,68,17247,130251617,1244,1,0,67,70,1,5,18068,621,0,0,0,3171991,15962498,458846918,0,621,436,2,1,8,8,13466,1,466475374,418282201,21711225,31941818,31958202,2,1,1405439992,73389,73389,8,8,8,31941818,12,3,163066,1170978,723383,3570,466475374,1127429,2449155,28748
26492.81,253952,62,23031,1516336950,111,621,1167640,4,2635,68,17247,130251617,1244,1,0,67,70,1,5,18068,621,0,0,0,3443878,17088379,487058551,0,621,436,2,1,8,8,13466,1,494917998,446535571,24063215,34149340,34149340,2,1,1502570960,73389,73389,8,8,8,34149340,12,3,163256,1211483,732738,3787,494917998,1167640,2711724,28748
27512.97,253952,62,24774,1631097102,111,621,1211002,4,3166,68,17247,130251617,1244,1,0,67,70,1,5,18068,621,0,0,0,3718374,18127031,519860621,0,621,436,2,1,8,8,13466,1,528341358,480071145,27375227,36750078,36766462,2,1,1617003432,73389,73389,8,8,8,36750078,12,3,163777,1255158,749147,4042,528341358,1211002,2969844,28748
28533.99,253952,62,27201,1790949330,111,621,1389414,4,3824,68,17247,130251617,1244,1,0,67,70,1,5,18068,621,0,0,0,4033591,19019276,566295649,0,621,436,2,1,8,8,13466,1,575134062,526857022,31685599,40389041,40389041,2,1,1776396908,73389,73389,8,8,8,40372657,12,3,164391,1434001,783331,4399,575134062,1389414,3250911,28748
29562.76,253952,62,29305,1929633430,112,621,1478944,4,4432,68,17247,130251617,1244,1,0,67,70,1,5,18068,621,0,0,0,4676652,20947968,607357837,0,621,436,2,1,8,8,13466,1,615766382,567346933,41672449,43528292,43544676,2,1,1915244848,73389,73389,8,8,8,43528292,12,3,165310,1523942,818607,4709,615766382,1478944,3858736,28748
30582.77,253952,62,31012,2042299738,112,621,1533959,4,4921,68,17247,130517069,1244,1,0,67,70,1,5,18068,621,0,0,0,5115515,22428328,640030681,0,621,436,2,1,8,8,13466,1,648534382,600302427,45206494,46085911,46102295,2,1,2027780084,73389,73389,8,8,8,46085911,12,3,166931,1579321,842677,4959,648534382,1533959,4273569,28748
31595.84,253952,62,32826,2161712946,112,621,1591751,4,5416,68,17247,130517069,1244,1,0,67,70,1,5,18068,621,0,0,0,5976493,25269964,674799717,0,621,436,2,1,8,8,13466,1,683530606,635189566,58477512,48817721,48817721,2,1,2147258828,73389,73389,8,8,8,48801337,12,3,171659,1641548,885653,5226,683530606,1591751,5091606,28748
32622.58,253952,62,34576,2277197302,112,621,1651739,4,5893,68,17247,130517069,1244,1,0,67,70,1,5,18068,621,0,0,0,6366002,26412983,708780233,0,621,436,2,1,8,8,13466,1,717216110,668967898,61487149,51440876,51440876,2,1,2263398544,73389,73389,8,8,8,51440876,12,3,172265,1701893,906487,5483,717216110,1651739,5460317,28748
33647.06,253952,62,37070,2441440442,113,621,1713410,4,6627,68,17247,130770455,1244,1,0,67,70,1,5,18068,621,0,0,0,6929072,27811620,756266640,0,621,436,2,1,8,8,13466,1,765057390,716961352,71788468,55169951,55186335,2,1,2427477844,73389,73389,8,8,8,55169951,12,3,177168,1764051,951399,5848,765057390,1713410,5978515,28748
