timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
66867.87,0,253952,62,13740,904627410,130,0,558,936127,0,5,5172,66,12775,98544082,1118,1,0,4,3480,16338662,8,64902288,65,70,179,3,40339,558,0,0,8169370,39469957,313264912,0,558,438,0,3,1,8,8,4148,3,319714943,287739902,52275437,17109597,17257053,3,1,887143172,73389,73389,8,8,8,17060449,13,3,165907,939431,567017,2690,319714943,936127,7602779,9502
67906.14,1,253952,62,26405,1738984610,210,0,558,1759412,0,5,10149,66,12775,102887842,1118,1,0,4,3480,32184543,8,127704972,65,70,179,3,40339,558,0,0,17190974,85122100,576136431,0,558,438,0,3,1,8,8,4148,3,580034528,550153242,115905801,33168459,33315915,3,1,1722203996,73389,73389,8,8,8,33119311,13,3,206597,1783844,812937,4851,580034528,1759412,16378796,9502
68929.61,8,253952,62,40410,2660906664,302,3,558,2533942,0,5,15675,66,12775,106978216,1118,1,0,4,3480,49799762,8,198109316,65,70,179,3,40339,558,0,0,26603245,132657759,864809282,0,558,438,0,3,1,8,8,4148,3,869690482,840632871,178475823,50917032,51080872,3,1,2645129792,73389,73389,8,8,8,50867884,13,3,265385,2561700,1091503,7254,869690482,2533942,25512855,9502
69966.64,12,253952,62,54937,3619234522,398,5,558,3431380,0,5,21398,66,12775,112287256,1118,1,0,4,3480,67783956,8,270554208,65,70,179,3,40339,558,0,0,37168553,182005247,1166036234,0,558,438,0,3,1,8,8,4148,3,1170689105,1142328954,243594774,69355004,69469692,3,1,3603052368,73389,73389,8,8,8,69289472,13,3,309017,3487758,1360757,9749,1170689105,3431380,35809301,9502
71005.72,14,253952,62,69192,4557818094,487,7,558,4423296,0,5,27019,66,12775,113831704,1118,1,0,4,3480,85631563,8,341815484,65,70,179,3,40339,558,0,0,45447582,223167311,1462357602,0,558,438,0,3,1,8,8,4148,3,1466899429,1437726636,296252625,87396330,87511018,3,1,4542053288,73389,73389,8,8,8,87347182,13,3,339433,4483021,1636250,12198,1466899429,4423296,43813193,9502
72043.35,16,253952,62,82607,5442015056,574,8,558,5349157,0,5,32335,66,12775,113831704,1118,1,0,4,3480,102623498,8,409718684,65,70,179,3,40339,558,0,0,56313179,275325684,1740868167,0,558,438,0,3,1,8,8,4148,3,1743403351,1716477483,366649634,104351994,104532218,3,1,5424599784,73389,73389,8,8,8,104319230,13,3,384456,5412197,1920518,14495,1743403351,5349157,54394859,9502
73080.96,18,253952,62,97337,6412476320,670,8,558,6221776,0,5,38087,66,12775,113831704,1118,1,0,4,3480,120829483,8,482154060,65,70,179,3,40339,558,0,0,66616393,325059626,2045487381,0,558,438,0,3,1,8,8,4148,3,2050580348,2021540019,431249334,123060746,123173275,3,1,6398306856,73389,73389,8,8,8,123044366,13,3,428404,6305497,2181694,17041,2050580348,6221776,64437281,9502
74102.80,18,253952,62,112322,7401338504,765,9,558,7110356,0,5,43989,66,12775,113831704,1118,1,0,4,3480,139473398,8,557385496,65,70,179,3,40339,558,0,0,78036959,378498190,2356450835,0,558,438,0,3,1,8,8,4148,3,2360087540,2333089134,499862231,142067840,142182528,3,1,7387527712,73389,73389,8,8,8,142067844,13,3,475773,7243749,2512661,19601,2360087540,7110356,75527235,9502
75153.46,24,253952,62,126008,8301715076,858,9,558,8115356,0,5,49421,66,12775,113831704,1118,1,0,4,3480,156733157,8,625963004,65,70,179,3,40339,558,0,0,87880560,427268818,2641041748,0,558,438,0,3,1,8,8,4148,3,2643096979,2616561357,562417448,159411131,159525819,3,1,8285119004,73389,73389,8,8,8,159329215,13,3,526213,8280207,2820421,21959,2643096979,8115356,85063430,9502
76190.63,24,253952,62,140889,9282663510,952,11,558,9034423,0,5,55273,66,12775,113831704,1118,1,0,4,3480,175303643,8,700439872,65,70,179,3,40339,558,0,0,98343731,479743227,2947418726,0,558,438,0,3,1,8,8,4148,3,2950016149,2925050065,628771829,178213869,178394093,3,1,9264565316,73389,73389,8,8,8,178164721,13,3,601140,9220887,3167528,24499,2950016149,9034423,95202754,9502
