timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
7825.43,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
8837.75,6,253952,62,39800,2621219288,298,1,558,904762,0,2,15453,71,12085,107267800,1118,1,0,4,1042,48988578,10,195243484,70,70,8,12508,558,0,0,24783202,30167516,839797695,0,558,293,0,3,1,8,8,1647,3,859077691,828075777,56723612,50177593,50243129,3,1,2604975028,73389,73389,8,8,8,50095677,7,3,260984,932308,1018806,7161,859077691,904762,23764988,40202
9848.68,11,253952,62,79025,5205684458,551,7,558,1695548,0,2,30895,71,12085,113831704,1118,1,0,4,1042,97965424,10,391151380,70,70,8,12508,558,0,0,53172648,63394745,1657595992,0,558,293,0,3,1,8,8,1647,3,1670795479,1642040826,119762743,99873573,99939109,3,1,5190869924,73389,73389,8,8,8,99824425,7,3,306878,1744137,1476771,13892,1670795479,1695548,51697027,40202
10867.87,13,253952,62,111291,7332528090,760,10,558,2625864,0,2,43575,71,12085,113831704,1118,1,0,4,1042,138122549,10,551779188,70,70,8,12508,558,0,0,74598017,99694002,2330080728,0,558,293,0,3,1,8,8,1647,3,2337937347,2311126233,179446216,140765756,140880444,3,1,7317263440,73389,73389,8,8,8,140716608,7,3,337524,2687392,1907680,19426,2337937347,2625864,72692028,40202
11887.73,14,253952,62,139343,9180367508,943,14,558,3548900,0,2,54712,71,12085,113831704,1118,1,0,4,1042,173518254,10,693233212,70,70,8,12508,558,0,0,93958721,140023409,2910607051,0,558,293,0,3,1,8,8,1647,3,2917769218,2893154479,243103639,176303418,176483642,3,1,9166925800,73389,73389,8,8,8,176287038,7,3,375496,3622750,2297307,24233,2917769218,3548900,91663592,40202
12913.79,16,253952,62,169013,11136090272,1132,18,558,4437122,0,2,66348,71,12085,113831704,1118,1,0,4,1042,210385889,10,840833036,70,70,8,12508,558,0,0,113916817,179269471,3524510774,0,558,293,0,3,1,8,8,1647,3,3534036776,3508872941,305728883,213908894,213974430,3,1,11120706616,73389,73389,8,8,8,213859746,7,3,414605,4533515,2708590,29334,3534036776,4437122,111210923,40202
13939.46,17,253952,62,196673,12957660410,1313,21,567,5398033,0,2,77213,71,12085,115584161,1136,1,0,4,1042,244837473,10,978509968,70,70,8,12508,567,0,0,133179107,221834620,4100523364,0,567,303,0,3,1,8,8,1647,3,4112005950,4082253995,371088120,248918394,249049466,3,1,12937792744,73389,73389,8,8,8,248803710,7,3,493086,5500785,3198529,34131,4112005950,5398033,129983792,40243
14964.45,19,253952,62,219123,14437968978,1458,26,576,6330922,0,2,86088,71,12085,117083050,1154,1,0,4,1042,272970388,10,1091299864,70,70,8,12508,576,0,0,148680138,266251477,4574401241,0,576,310,0,3,1,8,8,1647,3,4578761123,4548420933,434678137,277372135,277503207,3,1,14420795148,73389,73389,8,8,8,277322987,7,3,534768,6462482,3535646,38003,4578761123,6330922,145148229,40284
15996.04,23,253952,62,241436,15906560132,1603,29,576,7188204,0,2,94905,71,12085,117083050,1154,1,0,4,1042,300905462,10,1203363440,70,70,8,12508,576,0,0,163564603,309849116,5036554639,0,576,310,0,3,1,8,8,1647,3,5039730738,5010653542,497037256,305624123,305755195,3,1,15888194588,73389,73389,8,8,8,305542207,7,3,566304,7330809,3862247,41825,5039730738,7188204,159706564,40284
17020.17,24,253952,62,271408,17882780629,1792,30,576,8026444,0,2,106641,71,12085,117396766,1154,1,0,4,1042,338269815,10,1351786928,70,70,8,12508,576,0,0,182261691,350654629,5656959752,0,576,310,0,3,1,8,8,1647,3,5662350250,5632956932,558591591,343651265,343765953,3,1,17869013844,73389,73389,8,8,8,343634885,7,3,608505,8196504,4288379,46975,5662350250,8026444,177978021,40284
