timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
93090.69,253952,62,21314,1403280734,110,621,992624,32,2163,68,28036,130251617,1244,1,0,67,70,3024,5,28627,621,0,0,0,2955661,13973443,455798140,0,621,427,2,1,8,8,13732,1,461887854,413536940,31464220,31564986,31581370,2,1,1388859384,73389,73389,8,8,8,31564986,9,3,110275,996906,516252,3535,461887854,992624,2437973,40553
94118.77,253952,62,23053,1517778742,111,621,1082132,32,2665,68,28036,130251617,1244,1,0,67,70,3024,5,28627,621,0,0,0,3315239,15219506,489648932,0,621,427,2,1,8,8,13732,1,495573358,446993044,34666396,34182108,34182108,2,1,1504012752,73389,73389,8,8,8,34182108,9,3,115705,1095763,552428,3792,495573358,1082132,2761415,40553
95150.72,253952,62,25076,1650888974,111,621,1194918,32,3249,68,28036,130251617,1244,1,0,67,70,3024,5,28627,621,0,0,0,3677688,16291443,527825095,0,621,427,2,1,8,8,13732,1,533977454,485876679,37764956,37208830,37208830,2,1,1637188520,73389,73389,8,8,8,37208830,9,3,119594,1208976,582489,4085,533977454,1194918,3093839,40553
96171.05,253952,62,27232,1792980946,111,621,1251479,32,3835,68,28036,130251617,1244,1,0,67,70,3024,5,28627,621,0,0,0,4240083,17984282,569280444,0,621,427,2,1,8,8,13732,1,575527278,527411849,45025903,40438193,40438193,2,1,1779280492,73389,73389,8,8,8,40438193,9,3,121962,1268910,610213,4402,575527278,1251479,3628546,40553
97200.82,253952,62,29147,1919278742,111,621,1342469,32,4357,68,28036,130251617,1244,1,0,67,70,3024,5,28627,621,0,0,0,4496343,18808683,606150307,0,621,427,2,1,8,8,13732,1,612358510,564344714,46279671,43307108,43307108,2,1,1904791856,73389,73389,8,8,8,43290724,9,3,121990,1360252,627176,4683,612358510,1342469,3867878,40553
98237.99,253952,62,31205,2054948186,112,621,1447890,32,4975,68,28036,130517069,1244,1,0,67,70,3024,5,28627,621,0,0,0,5299964,21219981,644721065,0,621,427,2,1,8,8,13732,1,652204398,603968481,57121188,46380823,46397207,2,1,2040756212,73389,73389,8,8,8,46380823,9,3,123097,1466083,654962,4987,652204398,1447890,4643749,40553
99263.68,253952,62,33262,2190552094,112,621,1532500,32,5534,68,28036,130517069,1244,1,0,67,70,3024,5,28627,621,0,0,0,5586854,21947079,684734137,0,621,427,2,1,8,8,13732,1,691788142,643612992,58157903,49462730,49479114,2,1,2176360120,73389,73389,8,8,8,49462730,9,3,123326,1551128,676833,5289,691788142,1532500,4908803,40553
100297.78,253952,62,35406,2331857634,113,621,1594358,32,6137,68,28036,130517069,1244,1,0,67,70,3024,5,28627,621,0,0,0,6287981,24012931,726058106,0,621,427,2,1,8,8,13732,1,733337966,684962590,71185583,52683901,52683901,2,1,2318091644,73389,73389,8,8,8,52683901,9,3,126352,1613393,720871,5606,733337966,1594358,5565930,40553
101327.77,253952,62,36977,2435345594,113,621,1673448,32,6604,68,28036,130770455,1244,1,0,67,70,3024,5,28627,621,0,0,0,6930998,26184371,756368420,0,621,427,2,1,8,8,13732,1,763222382,715175284,81921859,55022495,55038879,2,1,2420989780,73389,73389,8,8,8,55022495,9,3,131781,1692810,756603,5834,763222382,1673448,6173247,40553
102361.03,253952,62,38963,2566296446,113,621,1749054,32,7147,68,28036,130770455,1244,1,0,67,70,3024,5,28627,621,0,0,0,7175615,26976660,794677360,0,621,427,2,1,8,8,13732,1,801495406,753437441,82958992,58006098,58022482,2,1,2552268312,73389,73389,8,8,8,58006098,9,3,132899,1768802,782432,6126,801495406,1749054,6392070,40553
103384.74,253952,62,41341,2722937410,113,621,1829358,32,7795,68,28036,130770455,1244,1,0,67,70,3024,5,28627,621,0,0,0,7527091,27998620,840457420,0,621,427,2,1,8,8,13732,1,847501678,799265263,85832694,61563141,61579525,2,1,2708778204,73389,73389,8,8,8,61563141,9,3,132914,1849588,806403,6477,847501678,1829358,6719614,40553
104401.24,253952,62,43369,2856375322,114,621,1884908,32,8404,68,28036,130770455,1244,1,0,67,70,3024,5,28627,621,0,0,0,8437259,30877987,879684067,0,621,427,2,1,8,8,13732,1,886167918,838325623,105285698,64606247,64622631,2,1,2842674868,73389,73389,8,8,8,64606247,9,3,135314,1905511,834691,6772,886167918,1884908,7601533,40553
105432.72,253952,62,44984,2962746866,114,621,1968204,32,8838,68,28036,130770455,1244,1,0,67,70,3024,5,28627,621,0,0,0,8877037,32412376,911043279,0,621,427,2,1,8,8,13732,1,917363054,869416254,114232650,67010377,67026761,2,1,2948456588,73389,73389,8,8,8,67010377,9,3,137030,1989126,868368,7010,917363054,1968204,8007668,40553
106463.69,253952,62,46793,3082097846,114,621,2053163,32,9337,68,28036,130770455,1244,1,0,67,70,3024,5,28627,621,0,0,0,9574548,34407355,946205691,0,621,427,2,1,8,8,13732,1,952228206,904239797,129735289,69731836,69748220,2,1,3068200784,73389,73389,8,8,8,69731836,9,3,138815,2074440,891745,7276,952228206,2053163,8681843,40553
107507.77,253952,62,47994,3161337486,115,621,2093349,32,9718,68,28036,131035907,1244,1,0,67,70,3024,5,28627,621,0,0,0,9816118,35503214,968776343,0,621,427,2,1,8,8,13732,1,975296878,927462274,144762626,71521566,71537950,2,1,3146948904,73389,73389,8,8,8,71521566,9,3,140154,2114868,907924,7452,975296878,2093349,8907265,40553
108560.76,253952,62,49156,3237755770,115,621,2198524,32,10035,68,28036,131035907,1244,1,0,67,70,3024,5,28627,621,0,0,0,10046026,36671564,991346460,0,621,427,2,1,8,8,13732,1,997448046,949775236,147087140,73264303,73280687,2,1,3223629332,73389,73389,8,8,8,73264303,9,3,140373,2220309,926795,7621,997448046,2198524,9118328,40553
109622.84,253952,62,50223,3308213586,115,621,2225106,32,10327,68,28036,131035907,1244,1,0,67,70,3024,5,28627,621,0,0,0,10195956,37556944,1012210188,0,621,427,2,1,8,8,13732,1,1018419566,970390090,148164366,74865617,74882001,2,1,3294087148,73389,73389,8,8,8,74865617,9,3,140406,2247110,930811,7781,1018419566,2225106,9264267,40553
110668.48,253952,62,51461,3389612606,115,621,2265079,32,10663,68,28036,131035907,1244,1,0,67,70,3024,5,28627,621,0,0,0,10995222,40760768,1036092610,0,621,427,2,1,8,8,13732,1,1042143598,994243877,186752131,76723042,76723042,2,1,3375092952,73389,73389,8,8,8,76706658,9,3,140993,2287336,948512,7962,1042143598,2265079,10045861,40553
111707.57,253952,62,52758,3475143702,115,621,2415921,32,11013,68,28036,131035907,1244,1,0,67,70,3024,5,28627,621,0,0,0,11770210,43728204,1061418361,0,621,427,2,1,8,8,13732,1,1067309422,1019254896,206029947,78652036,78668420,2,1,3460689584,73389,73389,8,8,8,78652036,9,3,152314,2438469,990383,8154,1067309422,2415921,10779007,40553
112776.66,253952,62,54104,3563886062,116,621,2453189,32,11431,68,28036,131035907,1244,1,0,67,70,3024,5,28627,621,0,0,0,12316774,46154324,1087269496,0,621,427,2,1,8,8,13732,1,1092999534,1045124490,224460800,80687526,80687526,2,1,3550251144,73389,73389,8,8,8,80687526,9,3,153393,2476017,1009640,8350,1092999534,2453189,11306345,40553
113885.01,253952,62,55238,3638734790,116,621,2489113,32,11749,68,28036,131301359,1244,1,0,67,70,3024,5,28627,621,0,0,0,12497244,47026936,1108661292,0,621,427,2,1,8,8,13732,1,1114888558,1067028584,225536272,82387144,82387144,2,1,3624313440,73389,73389,8,8,8,82370760,9,3,153425,2512221,1022706,8517,1114888558,2489113,11473775,40553
114941.34,253952,62,56315,3709582514,116,621,2536578,32,12043,68,28036,131301359,1244,1,0,67,70,3024,5,28627,621,0,0,0,12664940,47939081,1130052596,0,621,427,2,1,8,8,13732,1,1135860078,1087735937,226628544,83998809,83998809,2,1,3695226700,73389,73389,8,8,8,83982425,9,3,153657,2559965,1037600,8677,1135860078,2536578,11626602,40553
