timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
107771.83,1,253952,62,9752,642002912,103,0,558,2648048,0,20,3639,68,71,1,342360,97277152,1118,1,0,4,33466,11388103,10,45294180,70,70,8,330869,558,0,0,5102397,24519814,232205746,0,558,12626,0,3,1,8,8,34137,3,235856143,204935206,35336556,12088345,12235801,3,1,626038068,73389,73389,8,8,8,12039197,9,3,108412,2650599,401600,1989,235856143,2648048,4699712,2084
108814.01,11,253952,62,22925,1509712730,193,2,558,3493985,0,20,8837,68,71,1,342360,101681242,1118,1,0,4,33466,27896654,10,111327952,70,70,8,330869,558,0,0,15296113,77057288,504204290,0,558,12626,0,3,1,8,8,34137,3,508864680,478149584,102772527,28769799,28917255,3,1,1496029580,73389,73389,8,8,8,28769803,9,3,172590,3503059,708790,4267,508864680,3493985,14588591,2084
109843.74,12,253952,62,35950,2367337108,275,3,558,4387456,0,20,13921,68,71,1,342360,105699220,1118,1,0,4,33466,44054026,10,175570220,70,70,8,330869,558,0,0,23959283,121132773,773405805,0,558,12626,0,3,1,8,8,34137,3,778020992,748293116,158727681,45240420,45404260,3,1,2350797936,73389,73389,8,8,8,45207656,9,3,198240,4399863,919216,6492,778020992,4387456,23041654,2084
110889.77,18,253952,62,48237,3176089146,357,4,558,5182072,0,20,18785,68,71,1,342360,109210426,1118,1,0,4,33466,59569104,10,237565792,70,70,8,330869,558,0,0,34500109,174495841,1029420138,0,558,12626,0,3,1,8,8,34137,3,1033111103,1002797999,227223559,60847007,60961695,3,1,3160636524,73389,73389,8,8,8,60781475,9,3,233255,5203094,1134788,8611,1033111103,5182072,33367234,2084
111942.62,21,253952,62,62203,4098544192,443,4,558,6028589,0,20,24268,68,71,1,342360,113831704,1118,1,0,4,33466,76869231,10,306831164,70,70,8,330869,558,0,0,44524647,224704404,1317288022,0,558,12626,0,3,1,8,8,34137,3,1323015076,1293200186,291104411,78508454,78688678,3,1,4080735704,73389,73389,8,8,8,78475690,9,3,268066,6071271,1391894,11008,1323015076,6028589,43135029,2084
112975.46,30,253952,62,75543,4976595222,532,6,558,7141502,0,20,29544,68,71,1,342360,113831704,1118,1,0,4,33466,93674917,10,373923636,70,70,8,330869,558,0,0,55160974,277275920,1595028127,0,558,12626,0,3,1,8,8,34137,3,1598548868,1569644437,357304985,95407218,95587442,3,1,4959471432,73389,73389,8,8,8,95374454,9,3,297972,7187651,1646792,13298,1598548868,7141502,53516792,2084
114006.33,30,253952,62,88549,5833613914,609,7,558,7845012,0,20,34662,68,71,1,342360,113831704,1118,1,0,4,33466,109943026,10,439005140,70,70,8,330869,558,0,0,65445552,328856224,1860771470,0,558,12626,0,3,1,8,8,34137,3,1866272527,1839519689,424716856,111922673,112020977,3,1,5816571156,73389,73389,8,8,8,111857141,9,3,335110,7901268,1890086,15509,1866272527,7845012,63558417,2084
115048.93,31,253952,62,101106,6660048606,692,9,558,8470377,0,20,39628,68,71,1,342360,113831704,1118,1,0,4,33466,125639317,10,502104968,70,70,8,330869,558,0,0,75443738,377486884,2123668908,0,558,12626,0,3,1,8,8,34137,3,2125801311,2099805499,489815494,127840556,127906092,3,1,6645153040,73389,73389,8,8,8,127791408,9,3,373019,8533919,2133558,17661,2125801311,8470377,73313476,2084
116080.06,38,253952,62,119325,7861855692,810,14,558,9442209,0,20,46787,68,71,1,342360,113831704,1118,1,0,4,33466,148394912,10,592740000,70,70,8,330869,558,0,0,88130521,423385661,2500274749,0,558,12626,0,3,1,8,8,34137,3,2503432099,2477996269,553831837,150953557,151051861,3,1,7847029092,73389,73389,8,8,8,150904409,9,3,413833,9511431,2440491,20792,2503432099,9442209,85693774,2084
117114.09,47,253952,62,138263,9110191928,935,17,558,10351250,0,20,54245,68,71,1,342360,113831704,1118,1,0,4,33466,171981998,10,687346340,70,70,8,330869,558,0,0,103063999,471250182,2893334531,0,558,12626,0,3,1,8,8,34137,3,2897006836,2870813769,619522481,174971996,175053916,3,1,9093544284,73389,73389,8,8,8,174875855,9,3,454887,10443480,2765304,24059,2897006836,10351250,100302904,2084
118153.79,54,253952,62,157073,10349029484,1057,20,558,11176876,0,20,61619,68,71,1,342360,113831704,1118,1,0,4,33466,195524459,10,780933920,70,70,8,330869,558,0,0,116785257,516808316,3282474893,0,558,12626,0,3,1,8,8,34137,3,3284445116,3260960474,682717116,198736927,198882224,3,1,10333468268,73389,73389,8,8,8,198720547,9,3,495745,11296037,3080609,27272,3284445116,11176876,113708302,2084
119171.73,58,253952,62,174861,11520086859,1172,21,558,11838928,0,20,68630,68,71,1,342360,113831704,1118,1,0,4,33466,217745857,10,869820576,70,70,8,330869,558,0,0,130474521,562552122,3653966471,0,558,12626,0,3,1,8,8,34137,3,3655106836,3629674111,747656267,221310144,221406289,3,1,11504719648,73389,73389,8,8,8,221244612,9,3,526274,11970543,3364727,30346,3655106836,11838928,127114875,2084
120192.18,62,253952,62,193333,12738770170,1290,22,559,12800686,0,20,75937,68,71,1,342360,114028502,1120,1,0,4,33466,240807585,10,962454724,70,70,8,330869,559,0,0,144481141,608456130,4043444959,0,559,12629,0,3,1,8,8,34137,3,4043220513,4013549416,812150023,244740474,244869387,3,1,12724800744,73389,73389,8,8,8,244707710,9,3,565503,12936959,3653782,33559,4043220513,12800686,140832911,2099
121223.69,68,253952,62,211640,13944751712,1411,22,567,13544886,0,20,83101,68,71,1,342360,115584161,1136,1,0,4,33466,263534565,10,1053177312,70,70,8,330869,567,0,0,156693052,649384676,4420630596,0,567,12636,0,3,1,8,8,34137,3,4423090672,4393264800,869185231,267913422,267995342,3,1,13929054340,73389,73389,8,8,8,267866433,9,3,592893,13716598,3921095,36717,4423090672,13544886,152776464,2136
122246.81,77,253952,62,231083,15224916698,1530,26,576,14478939,0,20,90808,68,71,1,342360,117083050,1154,1,0,4,33466,288037180,10,1151252224,70,70,8,330869,576,0,0,172226817,700453658,4819930355,0,576,12647,0,3,1,8,8,34137,3,4826006031,4796060903,940325981,292571281,292620433,3,1,15200927124,73389,73389,8,8,8,292325525,9,3,630876,14655295,4231428,40044,4826006031,14478939,168001819,2190
123273.42,81,253952,62,250532,16507115876,1656,28,576,15263754,0,20,98471,68,71,1,342360,117083050,1154,1,0,4,33466,312233556,10,1248417300,70,70,8,330869,576,0,0,185439349,743405487,5230575551,0,576,12647,0,3,1,8,8,34137,3,5230101390,5199697709,998503119,317193769,317324841,3,1,16490668148,73389,73389,8,8,8,317128237,9,3,659764,15453865,4556159,43392,5230101390,15263754,180889855,2190
124300.94,81,253952,62,272466,17953004568,1798,30,576,16003013,0,20,107136,68,71,1,342360,117396766,1154,1,0,4,33466,339749282,10,1358221352,70,70,8,330869,576,0,0,201596196,789880807,5683706986,0,576,12647,0,3,1,8,8,34137,3,5684154740,5655090903,1065570554,344955508,345184884,3,1,17935130544,73389,73389,8,8,8,344906360,9,3,700886,16222301,4920059,47161,5684154740,16003013,196683502,2190
125327.66,84,253952,62,296290,19521887548,1952,33,594,16806867,0,20,116460,68,71,1,342360,120707901,1190,1,0,4,33466,369277479,10,1476398872,70,70,8,330869,594,0,0,217960249,830429063,6176439250,0,594,12672,0,3,1,8,8,34137,3,6178074086,6149034071,1124557551,375167099,375279628,3,1,19507837212,73389,73389,8,8,8,375150719,9,3,751341,17039001,5318514,51251,6178074086,16806867,212649566,2281
126365.68,87,253952,62,319670,21063820292,2106,34,594,17616926,0,20,125713,68,71,1,342360,120707901,1190,1,0,4,33466,398739674,10,1593731564,70,70,8,330869,594,0,0,236881466,876558816,6661711321,0,594,12672,0,3,1,8,8,34137,3,6662153474,6634418458,1194635430,404837130,404900507,3,1,21047270952,73389,73389,8,8,8,404755214,9,3,784480,17859902,5662547,55261,6662153474,17616926,231227284,2281
