timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
50762.46,2,253952,62,23065,1518565174,111,1,621,525352,14,2648,71,2917,130251617,1244,1,0,70,70,1,8,23679,621,0,0,0,3153895,7800736,478382160,0,621,478,2,1,8,8,419,0,1,495573358,447216358,13514655,34198492,34198492,2,1,0,1504012752,73389,73389,8,8,8,34182108,9,3,187307,529773,764373,3792,495573358,525352,2389905,45210
51779.24,2,253952,62,26497,1744546534,111,1,621,584633,14,3634,71,2917,130251617,1244,1,0,70,70,1,8,23679,621,0,0,0,3806593,8885958,544218570,0,621,478,2,1,8,8,419,0,1,561633646,513292456,17309720,39334432,39334432,2,1,0,1730715008,73389,73389,8,8,8,39334432,9,3,192904,589666,809367,4296,561633646,584633,2997649,45210
52787.42,2,253952,62,30450,2005203054,112,1,621,687173,14,4764,71,2917,130517069,1244,1,0,70,70,1,8,23679,621,0,0,0,5147731,11076973,618706277,0,621,478,2,1,8,8,419,0,1,637655406,589433007,29919905,45260678,45260678,2,1,0,1991469832,73389,73389,8,8,8,45260678,9,3,207790,692911,890509,4876,637655406,687173,4257688,45210
53799.55,2,253952,62,36109,2378194894,113,1,621,766294,14,6319,71,2917,130770455,1244,1,0,70,70,1,8,23679,621,0,0,0,6859555,12975154,730687345,0,621,478,2,1,8,8,419,0,1,746707310,698506383,40407177,53722126,53738510,2,1,0,2363773544,73389,73389,8,8,8,53722126,9,3,221662,777341,977206,5708,746707310,766294,5882863,45210
54808.43,2,253952,62,41342,2723002946,113,1,621,829581,14,7791,71,2917,130770455,1244,1,0,70,70,1,8,23679,621,0,0,0,7729023,13759174,830079268,0,621,478,2,1,8,8,419,0,1,847501678,799306210,44244971,61563141,61579525,2,1,0,2708778204,73389,73389,8,8,8,61563141,9,3,224119,842706,1034386,6477,847501678,829581,6695194,45210
55830.28,2,253952,62,44776,2949115378,114,1,621,880694,14,8785,71,2917,130770455,1244,1,0,70,70,1,8,23679,621,0,0,0,9506754,16076531,896833806,0,621,478,2,1,8,8,419,0,1,913299822,865393906,56919942,66715465,66715465,2,1,0,2935480460,73389,73389,8,8,8,66715465,9,3,226678,894391,1072264,6979,913299822,880694,8434328,45210
56848.55,2,253952,62,47809,3149213326,115,1,621,954522,14,9637,71,2917,131035907,1244,1,0,70,70,1,8,23679,621,0,0,0,10272202,17316017,954542849,0,621,478,2,1,8,8,419,0,1,971889006,923939952,61425643,71259422,71259422,2,1,0,3134693672,73389,73389,8,8,8,71243038,9,3,228514,968783,1119176,7426,971889006,954522,9152906,45210
57855.51,2,253952,62,52571,3462888470,115,1,621,1026156,14,10960,71,2917,131035907,1244,1,0,70,70,1,8,23679,621,0,0,0,12114518,19762619,1045548093,0,621,478,2,1,8,8,419,0,1,1063639406,1015627669,77281326,78389892,78389892,2,1,0,3448434352,73389,73389,8,8,8,78373508,9,3,237293,1044255,1205382,8126,1063639406,1026156,10909251,45210
58904.79,2,253952,62,56349,3711810738,116,1,621,1080620,14,12052,71,2917,131301359,1244,1,0,70,70,1,8,23679,621,0,0,0,13232495,21227362,1119774604,0,621,478,2,1,8,8,419,0,1,1136384366,1088417128,83686732,84047961,84047961,2,1,0,3698110284,73389,73389,8,8,8,84047961,9,3,239293,1099345,1243718,8681,1136384366,1080620,11988498,45210
59924.50,2,253952,62,58603,3860325238,116,1,621,1138208,14,12667,71,2917,131301359,1244,1,0,70,70,1,8,23679,621,0,0,0,13564790,22138834,1162802222,0,621,478,2,1,8,8,419,0,1,1179638126,1131795811,85610359,87424780,87424780,2,1,0,3845969424,73389,73389,8,8,8,87408396,9,3,239637,1157340,1267925,9011,1179638126,1138208,12296620,45210
