timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
42951.64,0,0,0,0,17,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
43955.29,253952,62,31022,2042955098,112,621,237520,5,4870,71,109,130517069,1244,1,0,70,70,37,8,1194,621,0,0,0,4470170,577474,588580764,0,621,193,2,1,8,8,297,1,648665454,600465584,6641535,46118679,46118679,2,1,2029221876,73389,73389,8,8,8,46118679,5,3,323920,241886,1365559,4960,648665454,237520,3104824,10051
44965.96,253952,62,38737,2551485310,113,621,289262,5,7032,71,109,130770455,1244,1,0,70,70,37,8,1194,621,0,0,0,6115186,1468069,738059310,0,621,193,2,1,8,8,297,1,797432174,749118132,13953829,57662034,57678418,2,1,2537129496,73389,73389,8,8,8,57662034,5,3,337174,294517,1434343,6095,797432174,289262,4681120,10051
45978.42,253952,62,44245,2914050310,114,621,367718,5,8617,71,109,130770455,1244,1,0,70,70,37,8,1194,621,0,0,0,7407183,2683119,844794766,0,621,193,2,1,8,8,297,1,903338350,855144790,21849992,65906616,65923000,2,1,2899891104,73389,73389,8,8,8,65906616,5,3,347362,373841,1515637,6903,903338350,367718,5891870,10051
46991.66,253952,62,49797,3280029798,115,621,423971,5,10210,71,109,131035907,1244,1,0,70,70,37,8,1194,621,0,0,0,8533468,3638157,949825513,0,621,193,2,1,8,8,297,1,1010162030,962175753,27077061,74220608,74236992,2,1,3265706752,73389,73389,8,8,8,74220608,5,3,349784,430970,1571106,7718,1010162030,423971,6962729,10051
48008.33,253952,62,54894,3615937020,116,621,493768,5,11646,71,109,131301359,1244,1,0,70,70,37,8,1194,621,0,0,0,9881477,5054797,1049088565,0,621,193,2,1,8,8,297,1,1108203886,1060336497,37626552,81856823,81873207,2,1,3601700212,73389,73389,8,8,8,81856823,5,3,356864,503674,1638066,8466,1108203886,493768,8243822,10051
49027.46,253952,62,57884,3813108326,116,621,614034,5,12472,71,109,131301359,1244,1,0,70,70,37,8,1194,621,0,0,0,10698428,6207573,1106927324,0,621,193,2,1,8,8,297,1,1165744494,1117969790,42311027,86337403,86359820,2,1,3798845732,73389,73389,8,8,8,86337403,5,3,361792,624509,1688641,8905,1165744494,614034,9010233,10051
50043.12,253952,62,61447,4047771430,117,621,694168,5,13492,71,109,131301359,1244,1,0,70,70,37,8,1194,621,0,0,0,11582666,7470488,1178269431,0,621,193,2,1,8,8,297,1,1234295150,1186548457,48829044,91675984,91692368,2,1,4033743296,73389,73389,8,8,8,91675984,5,3,362627,705295,1737797,9428,1234295150,694168,9845355,10051
51058.66,253952,62,64728,4263856854,117,621,776048,5,14392,71,109,131301359,1244,1,0,70,70,37,8,1194,621,0,0,0,12924252,9582489,1242925604,0,621,193,2,1,8,8,297,1,1297602926,1249737070,62761490,96582548,96598932,2,1,4249632112,73389,73389,8,8,8,96582548,5,3,369866,787757,1798995,9911,1297602926,776048,11125784,10051
52074.59,253952,62,68816,4533348668,118,621,858066,5,15562,71,109,131554745,1244,1,0,70,70,37,8,1194,621,0,0,0,14634568,12144222,1322657206,0,621,193,2,1,8,8,297,1,1376377198,1328478741,87827012,102705402,102721786,2,1,4519037688,73389,73389,8,8,8,102705402,5,3,378137,870469,1870746,10512,1376377198,858066,12764393,10051
