timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
9374.74,0,0,0,0,0,26,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
10388.07,3,253952,62,22994,1513912118,110,621,686361,14,2622,71,8982,130251617,1244,1,0,70,70,4130,8,9330,621,0,0,0,3441651,7029464,468023621,0,621,333,2,1,8,8,518,1,494262638,445840565,12792924,34083804,34100188,2,1,1499687376,73389,73389,8,8,8,34083804,11,3,316620,696486,1097538,3782,494262638,686361,2344505,27954
11410.93,3,253952,62,25560,1682873850,111,621,756931,14,3381,71,8982,130251617,1244,1,0,70,70,4130,8,9330,621,0,0,0,4050139,8222588,518524437,0,621,333,2,1,8,8,518,1,543676782,495221241,17198344,37935759,37935759,2,1,1669173396,73389,73389,8,8,8,37935759,11,3,332249,772168,1167672,4159,543676782,756931,2882900,27954
12437.70,3,253952,62,28075,1848493246,111,621,862068,14,4062,71,8982,130251617,1244,1,0,70,70,4130,8,9330,621,0,0,0,4653823,9447836,567581800,0,621,333,2,1,8,8,518,1,592042350,543639602,20773656,41689410,41705794,2,1,1834334040,73389,73389,8,8,8,41689410,11,3,333358,877793,1211277,4528,592042350,862068,3443017,27954
13463.55,3,253952,62,30758,2025388142,112,621,931288,14,4850,71,8982,130517069,1244,1,0,70,70,4130,8,9330,621,0,0,0,6028049,12513339,620705999,0,621,333,2,1,8,8,518,1,643684718,595339768,41136808,45703046,45719430,2,1,2010934024,73389,73389,8,8,8,45703046,11,3,343309,947561,1276676,4922,643684718,931288,4751889,27954
14491.59,3,253952,62,32981,2171871026,112,621,1009805,14,5458,71,8982,130517069,1244,1,0,70,70,4130,8,9330,621,0,0,0,6791482,14158273,664388593,0,621,333,2,1,8,8,518,1,686414190,638173340,51167621,49047097,49047097,2,1,2157351372,73389,73389,8,8,8,49030713,11,3,344248,1026485,1310108,5248,686414190,1009805,5480926,27954
15521.12,3,253952,62,34731,2287355382,112,621,1070436,14,5935,71,8982,130517069,1244,1,0,70,70,4130,8,9330,621,0,0,0,7111072,15184525,698894614,0,621,333,2,1,8,8,518,1,720361838,671950692,54308680,51670252,51670252,2,1,2273491088,73389,73389,8,8,8,51670252,11,3,344732,1087480,1333273,5507,720361838,1070436,5777385,27954
16536.35,3,253952,62,37269,2454747558,113,621,1176542,14,6683,71,8982,130770455,1244,1,0,70,70,4130,8,9330,621,0,0,0,7642597,16648333,747689981,0,621,333,2,1,8,8,518,1,768727406,720821020,60299387,55470896,55487280,2,1,2440719424,73389,73389,8,8,8,55470896,11,3,349516,1194112,1390629,5876,768727406,1176542,6251593,27954
17554.86,3,253952,62,39605,2608636010,113,621,1239088,14,7321,71,8982,130770455,1244,1,0,70,70,4130,8,9330,621,0,0,0,8186604,17929342,792289425,0,621,333,2,1,8,8,518,1,813816174,765859961,72309367,58962403,58978787,2,1,2594345732,73389,73389,8,8,8,58962403,11,3,350132,1257082,1411935,6220,813816174,1239088,6774329,27954
18572.77,3,253952,62,41956,2763242050,114,621,1296507,14,8017,71,8982,130770455,1244,1,0,70,70,4130,8,9330,621,0,0,0,8984102,19953183,839382616,0,621,333,2,1,8,8,518,1,859036014,811057274,94221772,62480645,62497029,2,1,2749148380,73389,73389,8,8,8,62480645,11,3,354853,1314996,1460341,6565,859036014,1296507,7523454,27954
19592.98,3,253952,62,44608,2938105330,114,621,1388700,14,8737,71,8982,130770455,1244,1,0,70,70,4130,8,9330,621,0,0,0,9661347,21512197,889882774,0,621,333,2,1,8,8,518,1,910285166,862187722,106596285,66453321,66469705,2,1,2923946124,73389,73389,8,8,8,66453321,11,3,355646,1407717,1499509,6956,910285166,1388700,8161568,27954
20621.80,3,253952,62,45900,3023308746,114,621,1467874,14,9091,71,8982,130770455,1244,1,0,70,70,4130,8,9330,621,0,0,0,9847504,22314131,914815134,0,621,333,2,1,8,8,518,1,934926702,887137356,107603618,68398699,68398699,2,1,3009542756,73389,73389,8,8,8,68398699,11,3,355646,1487146,1516571,7144,934926702,1467874,8330696,27954
21648.36,3,253952,62,47313,3116176566,114,621,1530455,14,9478,71,8982,130770455,1244,1,0,70,70,4130,8,9330,621,0,0,0,10093822,23291281,941847074,0,621,333,2,1,8,8,518,1,962189678,914240797,111917183,70501884,70518268,2,1,3102082896,73389,73389,8,8,8,70501884,11,3,355737,1560053,1530549,7352,962189678,1530455,8563067,27954
22679.24,3,253952,62,48523,3196006030,115,621,1611218,14,9862,71,8982,131035907,1244,1,0,70,70,4130,8,9330,621,0,0,0,10256687,24065673,965073099,0,621,333,2,1,8,8,518,1,985389422,937600747,112941177,72324382,72324382,2,1,3181551912,73389,73389,8,8,8,72307998,11,3,356030,1641079,1541953,7529,985389422,1611218,8714553,27954
23706.23,3,253952,62,50148,3303298386,115,621,1733773,14,10306,71,8982,131035907,1244,1,0,70,70,4130,8,9330,621,0,0,0,11075880,26640696,996301789,0,621,333,2,1,8,8,518,1,1017108846,968970127,124381619,74750929,74767313,2,1,3289040876,73389,73389,8,8,8,74750929,11,3,363364,1764006,1589959,7771,1017108846,1733773,9485780,27954
24732.40,3,253952,62,51547,3395514154,115,621,1802092,14,10684,71,8982,131035907,1244,1,0,70,70,4130,8,9330,621,0,0,0,11738784,29459058,1023068893,0,621,333,2,1,8,8,518,1,1043847534,995961123,134836882,76843763,76860147,2,1,3381125572,73389,73389,8,8,8,76843763,11,3,363599,1832611,1611838,7975,1043847534,1802092,10126834,27954
25760.73,3,253952,62,53072,3495987458,115,621,1900509,14,11104,71,8982,131035907,1244,1,0,70,70,4130,8,9330,621,0,0,0,12056909,30716678,1052720716,0,621,333,2,1,8,8,518,1,1073207662,1025264059,151607524,79133205,79149589,2,1,3481861020,73389,73389,8,8,8,79133205,11,3,364490,1931350,1634777,8199,1073207662,1900509,10422053,27954
26791.81,3,253952,62,54433,3585712858,116,621,1952149,14,11528,71,8982,131301359,1244,1,0,70,70,4130,8,9330,621,0,0,0,12678485,33335559,1080405783,0,621,333,2,1,8,8,518,1,1099422062,1051487868,181825044,81185079,81185079,2,1,3571422580,73389,73389,8,8,8,81168695,11,3,367435,1983257,1658345,8399,1099422062,1952149,11020089,27954
27815.50,3,253952,62,56822,3743074718,116,621,2019521,14,12181,71,8982,131301359,1244,1,0,70,70,4130,8,9330,621,0,0,0,13326142,35047866,1125923776,0,621,333,2,1,8,8,518,1,1145297262,1097536941,194355312,84758506,84758506,2,1,3729374264,73389,73389,8,8,8,84758506,11,3,372197,2051038,1693318,8749,1145297262,2019521,11632813,27954
28833.31,3,253952,62,58402,3847152502,116,621,2090664,14,12613,71,8982,131301359,1244,1,0,70,70,4130,8,9330,621,0,0,0,13938224,37403970,1156496066,0,621,333,2,1,8,8,518,1,1175837038,1127953296,216359407,87113484,87129868,2,1,3832993296,73389,73389,8,8,8,87113484,11,3,372792,2122485,1720623,8982,1175837038,2090664,12217626,27954
29854.42,3,253952,62,60359,3975937358,117,621,2125233,14,13175,71,8982,131301359,1244,1,0,70,70,4130,8,9330,621,0,0,0,14377353,38781916,1193364237,0,621,333,2,1,8,8,518,1,1213454702,1165547872,227403206,90041902,90058286,2,1,3961843688,73389,73389,8,8,8,90041902,11,3,374270,2157423,1746555,9269,1213454702,2125233,12630865,27954
30880.10,3,253952,62,62219,4098630674,117,621,2160239,14,13703,71,8982,131301359,1244,1,0,70,70,4130,8,9330,621,0,0,0,14892514,40403237,1228919756,0,621,333,2,1,8,8,518,1,1249237358,1201431065,244247604,92828897,92845281,2,1,4084471468,73389,73389,8,8,8,92828897,11,3,374301,2192790,1765254,9542,1249237358,2160239,13128361,27954
31918.23,3,253952,62,63995,4215553514,117,621,2199962,14,14192,71,8982,131301359,1244,1,0,70,70,4130,8,9330,621,0,0,0,15538395,42544696,1262898440,0,621,333,2,1,8,8,518,1,1283185006,1235610730,253212136,95495171,95511555,2,1,4201787524,73389,73389,8,8,8,95495171,11,3,375125,2232854,1787673,9801,1283185006,2199962,13751856,27954
32937.60,3,253952,62,66285,4366680696,118,621,2261895,14,14844,71,8982,131554745,1244,1,0,70,70,4130,8,9330,621,0,0,0,16475508,45396374,1306844244,0,621,333,2,1,8,8,518,1,1327749486,1279741714,282436969,98935367,98935367,2,1,4352435252,73389,73389,8,8,8,98918983,11,3,377282,2303268,1820669,10141,1327749486,2261895,14656009,27954
33956.83,3,253952,62,68353,4502740048,118,621,2348600,14,15436,71,8982,131554745,1244,1,0,70,70,4130,8,9330,621,0,0,0,16776674,46228317,1346858068,0,621,333,2,1,8,8,518,1,1367333230,1319522205,283956159,102027625,102027625,2,1,4489215500,73389,73389,8,8,8,102027625,11,3,377656,2390380,1850044,10443,1367333230,2348600,14927834,27954
34979.80,3,253952,62,70997,4677079040,118,621,2407731,14,16151,71,8982,131554745,1244,1,0,70,70,4130,8,9330,621,0,0,0,17396488,47771615,1397357500,0,621,333,2,1,8,8,518,1,1418451310,1370501208,292927467,105983917,106000301,2,1,4663292348,73389,73389,8,8,8,105983917,11,3,379280,2449992,1881848,10833,1418451310,2407731,15515879,27954
