timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
90092.15,1,253952,62,11381,749641874,124,0,558,534616,20,4260,71,31523,98157970,1118,1,0,4,14877,13419207,12,52965824,70,70,2,8,50818,558,0,0,5976622,31176088,260824021,0,558,4208,3,1,8,8,30781,3,270953500,238858947,43333010,14115643,14260940,3,1,725606056,73389,73389,8,8,8,13953966,10,1,3,67878,537525,264549,2303,270953500,534616,5711354,27979
91137.69,7,253952,62,26886,1769578344,215,3,558,1612093,20,10300,71,31523,101958760,1118,1,0,4,14877,32549308,12,129615196,70,70,2,8,50818,558,0,0,16629037,81031954,583074885,0,558,4208,3,1,8,8,30781,3,589635593,559735009,109133354,33781144,33895832,3,1,1756619520,73389,73389,8,8,8,33781148,10,1,3,116571,1633862,591805,4931,589635593,1612093,16037913,27979
92164.42,16,253952,62,46868,3086322098,340,5,558,2364480,20,18204,71,31523,109162162,1118,1,0,4,14877,57678929,12,230206696,70,70,2,8,50818,558,0,0,29859341,124553178,996545306,0,558,4208,3,1,8,8,30781,3,1003430927,974597861,170862888,59093919,59224991,3,1,3069475948,73389,73389,8,8,8,59028387,10,1,3,161981,2391101,901136,8351,1003430927,2364480,28959320,27979
93182.47,23,253952,62,65668,4326543448,468,5,558,3241024,20,25656,71,31523,113831704,1118,1,0,4,14877,81304923,12,324508492,70,70,2,8,50818,558,0,0,44592153,176540057,1388120532,0,558,4208,3,1,8,8,30781,3,1393456952,1365024574,241514932,82942041,83073113,3,1,4311282228,73389,73389,8,8,8,82909277,10,1,3,229575,3285424,1280176,11602,1393456952,3241024,43313538,27979
94210.46,28,253952,62,86105,5671296182,598,12,558,3976908,20,33688,71,31523,113831704,1118,1,0,4,14877,106840010,12,426584684,70,70,2,8,50818,558,0,0,58584717,222083014,1811756284,0,558,4208,3,1,8,8,30781,3,1815503828,1788303130,304047661,108808442,108906746,3,1,5654631144,73389,73389,8,8,8,108742910,10,1,3,268126,4047372,1564334,15096,1815503828,3976908,57023408,27979
95232.97,29,253952,62,106838,7039127702,734,20,558,4908544,20,41873,71,31523,113831704,1118,1,0,4,14877,132785494,12,530560520,70,70,2,8,50818,558,0,0,73597989,270104363,2239526181,0,558,4208,3,1,8,8,30781,3,2245155441,2218884017,371379321,135156839,135222375,3,1,7023895820,73389,73389,8,8,8,135074923,10,1,3,305496,5015116,1869106,18657,2245155441,4908544,71731389,27979
96256.93,31,253952,62,132380,8721180698,897,26,558,5819517,20,51914,71,31523,113831704,1118,1,0,4,14877,164571880,12,657641896,70,70,2,8,50818,558,0,0,89898795,311087464,2763253608,0,558,4208,3,1,8,8,30781,3,2773961292,2748242065,430914741,167475489,167590177,3,1,8700318048,73389,73389,8,8,8,167313812,10,1,3,343258,5942179,2248436,23040,2774092364,5819571,87653334,27979
97277.08,40,253952,62,162822,10728160884,1092,28,558,6849491,20,63926,71,31523,113831704,1118,1,0,4,14877,202807020,12,810129508,70,70,2,8,50818,558,0,0,110998079,352414333,3400184671,0,558,4208,3,1,8,8,30781,3,3405799505,3380352852,496500207,206076071,206157991,3,1,10714251788,73389,73389,8,8,8,206043307,10,1,3,393291,7012040,2723918,28270,3405799505,6849491,108277694,27979
98305.05,41,253952,62,188216,12400514552,1256,36,567,7687077,20,73915,71,31523,115270445,1136,1,0,4,14877,234371734,12,936711296,70,70,2,8,50818,567,0,0,127817229,391748428,3927321889,0,567,4221,3,1,8,8,30781,3,3936150029,3906865051,558105631,238189921,238353761,3,1,12384171988,73389,73389,8,8,8,238157157,10,1,3,425157,7861252,3098298,32674,3936281101,7687143,124722962,28022
99325.67,47,253952,62,215123,14173628966,1427,37,567,8605443,20,84528,71,31523,115584161,1136,1,0,4,14877,268005653,12,1071570492,70,70,2,8,50818,567,0,0,146966685,435340178,4489592012,0,567,4221,3,1,8,8,30781,3,4494971787,4465205969,623786274,272349168,272398320,3,1,14161304800,73389,73389,8,8,8,272332788,10,1,3,470696,8789219,3520376,37295,4494971787,8605443,143450849,28022
