timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
34133.81,2,253952,62,21448,1412062558,110,621,879779,50,2203,70,7552,130251617,1244,1,0,69,70,6544,7,151307,621,0,0,0,3277946,10205484,454202153,0,621,347,2,1,8,8,670,1,464509294,416101683,20468314,31777978,31777978,2,1,1398231032,73389,73389,8,8,8,31777978,10,3,226449,884217,903055,3555,464509294,879779,2374336,6208
35155.87,2,253952,62,23638,1556117302,111,621,946682,50,2857,70,7552,130251617,1244,1,0,69,70,6544,7,151307,621,0,0,0,3803065,11367101,495919135,0,621,347,2,1,8,8,670,1,506452334,458187322,24241727,35050460,35066844,2,1,1542220240,73389,73389,8,8,8,35050460,10,3,241154,951581,968009,3875,506452334,946682,2834540,6208
36168.34,2,253952,62,25940,1707777530,111,621,1002317,50,3482,70,7552,130251617,1244,1,0,69,70,6544,7,151307,621,0,0,0,4171107,12160225,539600707,0,621,347,2,1,8,8,670,1,550885742,502489229,26037259,38492815,38509199,2,1,1693683860,73389,73389,8,8,8,38492815,10,3,242272,1007680,1002980,4214,550885742,1002317,3167644,6208
37180.32,2,253952,62,28555,1880215978,111,621,1074629,50,4198,70,7552,130251617,1244,1,0,69,70,6544,7,151307,621,0,0,0,4640998,13018500,589311915,0,621,347,2,1,8,8,670,1,601217390,552927348,29899774,42416339,42432723,2,1,1866318916,73389,73389,8,8,8,42416339,10,3,242492,1080524,1027200,4598,601217390,1074629,3613352,6208
38201.95,2,253952,62,31628,2082935366,112,621,1146002,50,5089,70,7552,130517069,1244,1,0,69,70,6544,7,151307,621,0,0,0,5561954,14745097,647152068,0,621,347,2,1,8,8,670,1,660724078,612182393,39164156,47009448,47025832,2,1,2068415712,73389,73389,8,8,8,47009448,10,3,248039,1152499,1077258,5052,660724078,1146002,4484290,6208
39217.98,2,253952,62,35437,2333889250,113,621,1198485,50,6142,70,7552,130517069,1244,1,0,69,70,6544,7,151307,621,0,0,0,6702916,16447505,721903787,0,621,347,2,1,8,8,670,1,733862254,685516664,47014112,52716669,52733053,2,1,2319533436,73389,73389,8,8,8,52716669,10,3,249373,1206724,1110196,5610,733862254,1198485,5592359,6208
40221.50,2,253952,62,40730,2682629462,113,621,1273272,50,7573,70,7552,130770455,1244,1,0,69,70,6544,7,151307,621,0,0,0,8546395,18703510,823925664,0,621,347,2,1,8,8,670,1,835836270,787509216,62797585,60655988,60655988,2,1,2668142576,73389,73389,8,8,8,60639604,10,3,267271,1283269,1201188,6388,835836270,1273272,7344893,6208
41224.51,2,253952,62,51748,3408686890,115,621,1313448,50,10687,70,7552,131035907,1244,1,0,69,70,6544,7,151307,621,0,0,0,10565848,18792520,1036214688,0,621,347,2,1,8,8,670,1,1047648622,999823346,66723643,77155059,77155059,2,1,3394822596,73389,73389,8,8,8,77155059,10,3,271798,1324468,1261566,8004,1047648622,1313448,9304060,6208
42227.70,2,253952,62,62766,4134490932,117,621,1354608,50,13804,70,7552,131301359,1244,1,0,69,70,6544,7,151307,621,0,0,0,12749293,18972063,1247718320,0,621,347,2,1,8,8,670,1,1259592046,1211878392,72216302,93648097,93664481,2,1,4120516268,73389,73389,8,8,8,93648097,10,3,274677,1366619,1322636,9621,1259592046,1354608,11426530,6208
43231.22,2,253952,62,73640,4851352496,119,621,1394760,50,16879,70,7552,131820197,1244,1,0,69,70,6544,7,151307,621,0,0,0,14918987,19121255,1457385207,0,621,347,2,1,8,8,670,1,1469176174,1421475099,82683773,109948401,109948401,2,1,4837729644,73389,73389,8,8,8,109948401,10,3,287585,1407780,1405634,11220,1469176174,1394760,13513305,6208
