timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
74535.80,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
75588.07,241664,59,21025,1384087444,110,1,621,2123333,16,2083,49,68,52,115055,129998231,1244,1,0,67,70,6694,5,134547,621,0,0,0,2939182,18011834,447402973,0,621,6713,2,1,8,8,400,1,456251758,407887037,37901976,31132969,31149353,2,1,1369850636,73389,73389,8,8,8,31132969,12,3,92515,2127624,509258,3492,456251758,2123333,2431075,8819
76623.33,253952,62,22263,1465739850,110,1,621,2167548,16,2423,49,68,52,115055,130251617,1244,1,0,67,70,6694,5,134547,621,0,0,0,3134515,18932075,471022495,0,621,6713,2,1,8,8,400,1,479975790,431802961,39067958,32980043,32996427,2,1,1451121892,73389,73389,8,8,8,32980043,12,3,93589,2172088,524302,3673,479975790,2167548,2611391,8819
77678.21,253952,62,23451,1543862070,111,1,621,2213931,16,2804,49,68,52,115055,130251617,1244,1,0,67,70,6694,5,134547,621,0,0,0,3337303,19946335,494117289,0,621,6713,2,1,8,8,400,1,502913390,454588239,41942124,34771932,34788316,2,1,1529965008,73389,73389,8,8,8,34771932,12,3,94034,2218713,537048,3848,502913390,2213931,2801461,8819
78721.42,253952,62,24781,1631555854,111,1,621,2268205,16,3168,49,68,52,115055,130251617,1244,1,0,67,70,6694,5,134547,621,0,0,0,3517993,20841615,519703858,0,621,6713,2,1,8,8,400,1,528472430,480259963,43018645,36766462,36766462,2,1,1617724328,73389,73389,8,8,8,36766462,12,3,94128,2273236,545280,4043,528472430,2268205,2973952,8819
79820.90,253952,62,26052,1715383014,111,1,621,2320275,16,3514,49,68,52,115055,130251617,1244,1,0,67,70,6694,5,134547,621,0,0,0,3684466,21706064,543977858,0,621,6713,2,1,8,8,400,1,552982894,504735366,44049094,38662688,38679072,2,1,1701158272,73389,73389,8,8,8,38662688,12,3,94226,2338596,557006,4230,552982894,2320275,3128724,8819
80848.15,253952,62,27752,1827325118,111,1,621,2408009,16,3973,49,68,52,115055,130251617,1244,1,0,67,70,6694,5,134547,621,0,0,0,4166388,23908509,577433561,0,621,6713,2,1,8,8,400,1,586013038,537443080,54907752,41214274,41230658,2,1,1813428056,73389,73389,8,8,8,41214274,12,3,97043,2426685,585824,4482,586013038,2408009,3581861,8819
81873.71,253952,62,29548,1945824130,112,1,621,2466354,16,4514,49,68,52,115055,130517069,1244,1,0,67,70,6694,5,134547,621,0,0,0,4676494,25978555,611149032,0,621,6713,2,1,8,8,400,1,620616046,572083179,66515894,43894773,43911157,2,1,1931370012,73389,73389,8,8,8,43894773,12,3,101062,2485399,607958,4746,620616046,2466354,4069861,8819
82908.29,253952,62,31089,2047346010,112,1,621,2521784,16,4944,49,68,52,115055,130517069,1244,1,0,67,70,6694,5,134547,621,0,0,0,5036332,27422286,641325994,0,621,6713,2,1,8,8,400,1,649976174,601761707,81588000,46216983,46216983,2,1,2033547252,73389,73389,8,8,8,46216983,12,3,101809,2541151,634680,4970,649976174,2521784,4403009,8819
83937.77,253952,62,33036,2175475506,112,1,621,2585895,16,5464,49,68,52,115055,130517069,1244,1,0,67,70,6694,5,134547,621,0,0,0,5475350,29054017,678189555,0,621,6713,2,1,8,8,400,1,687593838,639246548,91116401,49129017,49129017,2,1,2160955852,73389,73389,8,8,8,49112633,12,3,105912,2605665,663382,5257,687593838,2585895,4813358,8819
