timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
20263.76,3,253952,62,15883,1045951876,140,0,558,774368,0,11,6014,71,4513,99424900,1118,1,0,4,9793,19128735,9,75481400,70,70,264,8,23090,558,0,0,9481906,34629851,357338859,0,558,6644,0,3,1,8,8,10525,3,361656849,332275462,51014740,19855632,19986704,3,1,1030788960,73389,73389,8,8,8,19822868,11,3,180621,793315,648656,3032,361656849,774368,8833735,18700
21302.86,4,253952,62,32953,2170044898,256,1,558,1576371,0,11,12734,71,4513,104818402,1118,1,0,4,9793,40363302,9,160484104,70,70,264,8,23090,558,0,0,21554092,81782558,712629881,0,558,6644,0,3,1,8,8,10525,3,718867548,686237854,113996409,41462193,41609649,3,1,2151774228,73389,73389,8,8,8,41380277,11,3,209454,1599394,881567,6004,718867548,1576371,20673420,18700
22351.97,8,253952,62,50197,3306687454,369,2,558,2517304,0,11,19536,71,4513,111358174,1118,1,0,4,9793,61995800,9,247078212,70,70,264,8,23090,558,0,0,34666251,131442694,1068698536,0,558,6644,0,3,1,8,8,10525,3,1073950927,1043898236,181502597,63322262,63436950,3,1,3288497816,73389,73389,8,8,8,63240346,11,3,238790,2548292,1143928,8950,1073950927,2517304,33523633,18700
23372.47,11,253952,62,66478,4379941324,473,3,558,3311049,0,11,25969,71,4513,113831704,1118,1,0,4,9793,82434294,9,328897296,70,70,264,8,23090,558,0,0,46758538,178547801,1408722107,0,558,6644,0,3,1,8,8,10525,3,1411562586,1381781398,246078192,84004842,84070378,3,1,4364843944,73389,73389,8,8,8,83939310,11,3,273178,3383017,1414053,11747,1411562586,3311049,45346200,18700
24400.98,15,253952,62,82984,5466070564,580,4,558,4311488,0,11,32483,71,4513,113831704,1118,1,0,4,9793,102966368,9,411348204,70,70,264,8,23090,558,0,0,59168814,227234768,1748425156,0,558,6644,0,3,1,8,8,10525,3,1751501329,1723626241,310758752,104831448,104995288,3,1,5448679424,73389,73389,8,8,8,104782300,11,3,314303,4399491,1721992,14566,1751501329,4311488,57448960,18700
25427.68,20,253952,62,99596,6561415028,687,5,558,5105663,0,11,38993,71,4513,113831704,1118,1,0,4,9793,123617696,9,493630660,70,70,264,8,23090,558,0,0,70503299,272987196,2091549959,0,558,6644,0,3,1,8,8,10525,3,2096457118,2068545628,370179089,125921469,126085309,3,1,6547064452,73389,73389,8,8,8,125905089,11,3,397011,5209736,2094539,17426,2096457118,5105663,68410310,18700
26459.52,29,253952,62,115195,7588996000,785,9,558,5896799,0,11,45120,71,4513,113831704,1118,1,0,4,9793,143045322,9,571405244,70,70,264,8,23090,558,0,0,82162081,318937591,2415380463,0,558,6644,0,3,1,8,8,10525,3,2418797261,2392246774,434894464,145709406,145807710,3,1,7573481272,73389,73389,8,8,8,145643874,11,3,431639,6020687,2366421,20091,2418797261,5896799,79798624,18700
27496.85,32,253952,62,133446,8791657440,902,9,558,6729916,0,11,52346,71,4513,113831704,1118,1,0,4,9793,165909294,9,663184752,70,70,264,8,23090,558,0,0,94632970,364037870,2792706512,0,558,6644,0,3,1,8,8,10525,3,2795887356,2770743680,497654332,168831043,168945731,3,1,8776658364,73389,73389,8,8,8,168781895,11,3,458661,6858207,2654008,23220,2795887356,6729916,91982360,18700
28520.73,35,253952,62,153905,10140615080,1037,9,558,7554630,0,11,60366,71,4513,113831704,1118,1,0,4,9793,191471672,9,764991052,70,70,264,8,23090,558,0,0,110339282,409969411,3215302895,0,558,6644,0,3,1,8,8,10525,3,3220091029,3195475673,563320733,194776317,194825469,3,1,10124108676,73389,73389,8,8,8,194694401,11,3,485336,7703852,2954116,26741,3220091029,7554630,107387797,18700
29542.74,38,253952,62,175527,11565489438,1172,9,558,8573299,0,11,68904,71,4513,113831704,1118,1,0,4,9793,218526492,9,873330792,70,70,264,8,23090,558,0,0,126566399,455555521,3668357192,0,558,6644,0,3,1,8,8,10525,3,3669451496,3643949334,628020132,222149158,222312998,3,1,11550052312,73389,73389,8,8,8,222116394,11,3,532360,8748795,3360771,30460,3669451496,8573299,123208993,18700
30559.88,42,253952,62,197233,12995844688,1318,11,567,9657060,0,11,77475,71,4513,115584161,1136,1,0,4,9793,245622251,9,981907768,70,70,264,8,23090,567,0,0,142354900,500194366,4123375700,0,567,6651,0,3,1,8,8,10525,3,4124879273,4094197119,690889424,249661263,249808719,3,1,12979942072,73389,73389,8,8,8,249614274,11,3,577127,9855603,3747490,34243,4124879273,9657060,138616266,18755
