timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
107670.22,6,253952,62,11224,739063138,115,1,558,2592389,23,4193,22,71,9570,216666,97868386,1118,1,0,4,13412,13338454,10,52319776,70,70,8,249803,558,0,0,6518797,30905842,263864798,0,558,435,3,1,8,8,15290,3,268131451,235542741,44293219,13935419,14082875,3,1,722085916,73389,73389,8,8,8,13886271,12,3,134933,2595237,452149,2262,268131451,2592389,6066025,9267
108721.53,12,253952,62,23892,1573387692,197,4,558,3390592,23,9189,22,71,9570,216666,101982892,1118,1,0,4,13412,29138162,10,115648184,70,70,8,249803,558,0,0,15834213,79273005,527238650,0,558,435,3,1,8,8,15290,3,530732102,498302559,108700675,29980056,30127512,3,1,1557259008,73389,73389,8,8,8,29947292,12,3,175550,3396712,688338,4442,530732102,3390592,15145577,9267
109762.24,15,253952,62,36521,2404758164,275,7,558,4293477,23,14144,22,71,9570,216666,105699220,1118,1,0,4,13412,44861970,10,178487068,70,70,8,249803,558,0,0,26079622,132389742,788668101,0,558,435,3,1,8,8,15290,3,791660386,760176268,177989451,45994084,46076004,3,1,2389988464,73389,73389,8,8,8,45961320,12,3,210687,4302765,931053,6600,791660386,4293477,25149599,9267
110819.52,18,253952,62,49744,3275153548,362,7,558,5183811,23,19372,22,71,9570,216666,109500010,1118,1,0,4,13412,61413166,10,244877800,70,70,8,249803,558,0,0,35721877,181603950,1059334426,0,558,435,3,1,8,8,15290,3,1061648798,1033848330,241816572,62761776,62843696,3,1,3259352544,73389,73389,8,8,8,62679860,12,3,247081,5196452,1174109,8840,1061648798,5183811,34549144,9267
111869.24,20,253952,62,63438,4179493218,447,8,558,6037356,23,24756,22,71,9570,216666,113530054,1118,1,0,4,13412,78468108,10,313097500,70,70,8,249803,558,0,0,45775845,232238474,1345971717,0,558,435,3,1,8,8,15290,3,1348264917,1318641780,305680221,80130470,80245158,3,1,4164228568,73389,73389,8,8,8,80081322,12,3,281724,6053468,1411185,11212,1348264917,6037356,44366411,9267
112914.90,23,253952,62,76470,5039169060,533,8,558,6851832,23,29897,22,71,9570,216666,113831704,1118,1,0,4,13412,94779703,10,378416644,70,70,8,249803,558,0,0,55300817,279941931,1614440755,0,558,435,3,1,8,8,15290,3,1618244916,1589514306,368330383,96590296,96754136,3,1,5020139520,73389,73389,8,8,8,96541148,12,3,313269,6877351,1622774,13456,1618244916,6851832,53680144,9267
113968.69,29,253952,62,89604,5902802658,622,9,558,7715388,23,35060,22,71,9570,216666,113831704,1118,1,0,4,13412,111155600,10,443846964,70,70,8,249803,558,0,0,64059666,324527394,1886512831,0,558,435,3,1,8,8,15290,3,1889378654,1861335227,427020562,113249777,113397233,3,1,5887284500,73389,73389,8,8,8,113217013,12,3,345369,7744167,1874145,15707,1889378654,7715388,62187952,9267
115004.25,34,253952,62,102635,6760229018,708,11,558,8597731,23,40181,22,71,9570,216666,113831704,1118,1,0,4,13412,127365732,10,508816204,70,70,8,249803,558,0,0,74396865,376152780,2155285806,0,558,435,3,1,8,8,15290,3,2157889003,2131019599,496824960,129757484,129872172,3,1,6744833296,73389,73389,8,8,8,129708336,12,3,378498,8667954,2105460,17941,2157889003,8597731,72294187,9267
116034.17,39,253952,62,120764,7956475712,823,13,558,9483829,23,47347,22,71,9570,216666,113831704,1118,1,0,4,13412,150122018,10,599851448,70,70,8,249803,558,0,0,87783828,425180789,2527541666,0,558,435,3,1,8,8,15290,3,2534365319,2507913295,564198628,152753638,152819174,3,1,7938077400,73389,73389,8,8,8,152655338,12,3,410929,9564517,2401515,21052,2534365319,9483829,85385521,9267
117057.76,43,253952,62,139420,9186029146,944,14,558,10322191,23,54705,22,71,9570,216666,113831704,1118,1,0,4,13412,173432967,10,693159156,70,70,8,249803,558,0,0,102077794,471473940,2917526056,0,558,435,3,1,8,8,15290,3,2919210474,2894802205,630619781,176397404,176528476,3,1,9171813072,73389,73389,8,8,8,176381024,12,3,441123,10407587,2709417,24243,2919210474,10322191,99372034,9267
118095.82,49,253952,62,157716,10389504024,1062,19,558,11123196,23,61921,22,71,9570,216666,113831704,1118,1,0,4,13412,196275524,10,784649728,70,70,8,249803,558,0,0,115190799,516307727,3298206585,0,558,435,3,1,8,8,15290,3,3299454446,3273558712,693214941,199534154,199681610,3,1,10372368168,73389,73389,8,8,8,199468622,12,3,472758,11225163,3023583,27402,3299454446,11123196,112171318,9267
119107.67,49,253952,62,176391,11621195526,1179,22,558,11829578,23,69253,22,71,9570,216666,113831704,1118,1,0,4,13412,219613910,10,877744524,70,70,8,249803,558,0,0,128418108,559711517,3686450715,0,558,435,3,1,8,8,15290,3,3688905942,3661458369,754795135,223220595,223368051,3,1,11604063100,73389,73389,8,8,8,223155063,12,3,517366,11960189,3344848,30616,3688905942,11829578,125077829,9267
120136.47,56,253952,62,195063,12852424968,1299,22,558,12773197,23,76625,22,71,9570,216666,113831704,1118,1,0,4,13412,243067812,10,971431176,70,70,8,249803,558,0,0,142018766,605259711,4077258175,0,558,435,3,1,8,8,15290,3,4077840876,4049231525,818089906,246892811,247040267,3,1,12835982568,73389,73389,8,8,8,246845822,12,3,556259,12920385,3670330,33841,4077840876,12773197,138353437,9267
121172.78,63,253952,62,214439,14128259372,1423,24,567,13644371,23,84231,22,71,9570,216666,115282511,1136,1,0,4,13412,267102173,10,1067632944,70,70,8,249803,567,0,0,156141691,653525774,4482222946,0,567,450,3,1,8,8,15290,3,4481743053,4450773448,882647322,271468750,271550670,3,1,14112115192,73389,73389,8,8,8,271386834,12,3,600738,13799197,4004137,37182,4481743053,13644371,152143023,9318
122194.10,70,253952,62,231616,15260523082,1536,26,576,14543650,23,91052,22,71,9570,216666,117083050,1154,1,0,4,13412,288646220,10,1154270300,70,70,8,249803,576,0,0,169195324,697370804,4839043271,0,576,458,3,1,8,8,15290,3,4837838937,4807272929,948475733,293238707,293304243,3,1,15244152956,73389,73389,8,8,8,293156791,12,3,629945,14712361,4276318,40145,4837838937,14543650,164924918,9356
123231.79,71,253952,62,250328,16494253304,1658,34,576,15578549,23,98358,22,71,9570,216666,117083050,1154,1,0,4,13412,311908834,10,1246925192,70,70,8,249803,576,0,0,182712279,742671944,5227114692,0,576,458,3,1,8,8,15290,3,5224693429,5195666557,1011995080,316945850,317058379,3,1,16478628328,73389,73389,8,8,8,316896702,12,3,663551,15751907,4597324,43355,5224693429,15578549,178121325,9356
124259.72,74,253952,62,271082,17861059946,1790,35,576,16426718,23,106564,22,71,9570,216666,117396766,1154,1,0,4,13412,337964329,10,1351081864,70,70,8,249803,576,0,0,197003152,785992993,5650502010,0,576,458,3,1,8,8,15290,3,5654271820,5626068391,1074715717,343243824,343325744,3,1,17846122976,73389,73389,8,8,8,343194676,12,3,712889,16605188,4943975,46910,5654271820,16426718,192066007,9356
