timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
88382.69,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
89425.76,1,253952,62,13062,859868220,131,4,558,777781,0,14,4924,66,27602,98218300,1118,1,0,4,13988,15676190,12,61670404,65,70,3,73406,558,0,0,7722538,37871183,299715779,0,558,531,0,3,1,8,8,14684,3,305973885,273641960,48617212,16276172,16407244,3,1,842953104,73389,73389,8,8,8,16210640,10,3,149067,799041,546061,2583,305973885,777781,7174795,10943
90460.81,1,253952,62,26663,1755615380,211,5,558,1920895,0,14,10299,66,27602,102610324,1118,1,0,4,13988,32655756,12,129847572,65,70,3,73406,558,0,0,16245867,79440841,580038156,0,558,531,0,3,1,8,8,14684,3,585375354,555636117,103480593,33481914,33662138,3,1,1733391848,73389,73389,8,8,8,33334462,10,3,181979,1976427,790943,4892,585375354,1920895,15454583,10943
91492.73,5,253952,62,43701,2878757520,324,8,558,2740266,0,14,16949,66,27602,109150096,1118,1,0,4,13988,53841619,12,214017500,65,70,3,73406,558,0,0,28951618,132191247,933632568,0,558,531,0,3,1,8,8,14684,3,938499551,909114652,175600551,55112607,55227295,3,1,2865003628,73389,73389,8,8,8,55096227,10,3,212884,2826988,1055788,7826,938499551,2740266,27896905,10943
92524.53,7,253952,62,62761,4134823696,447,10,558,3562384,0,14,24491,66,27602,113831704,1118,1,0,4,13988,77565200,12,309679496,65,70,3,73406,558,0,0,43324365,181318420,1325889742,0,558,531,0,3,1,8,8,14684,3,1332884705,1304696033,242377128,79215125,79411733,3,1,4116630628,73389,73389,8,8,8,79165977,10,3,245024,3684679,1352763,11093,1332884705,3562384,41973114,10943
93551.35,8,253952,62,82347,5423769096,569,12,558,4458254,0,14,32222,66,27602,113831704,1118,1,0,4,13988,102195324,12,408134992,65,70,3,73406,558,0,0,57424434,228936084,1733486959,0,558,531,0,3,1,8,8,14684,3,1737339292,1710619939,307267581,104016566,104131254,3,1,5406305560,73389,73389,8,8,8,103967418,10,3,298266,4603329,1705573,14440,1737339292,4458254,55720839,10943
94586.84,15,253952,62,101553,6690260214,697,13,558,5262128,0,14,39775,66,27602,113831704,1118,1,0,4,13988,126021307,12,503761820,65,70,3,73406,558,0,0,70166373,272364183,2134763223,0,558,531,0,3,1,8,8,14684,3,2138153295,2109158293,365876669,128423903,128489439,3,1,6677191020,73389,73389,8,8,8,128407523,10,3,319996,5418377,1974291,17767,2138153295,5262128,68193821,10943
95601.35,21,253952,62,121763,8023490624,828,16,558,6041887,0,14,47762,66,27602,113831704,1118,1,0,4,13988,151452395,12,604969360,65,70,3,73406,558,0,0,85640820,319719918,2547857514,0,558,531,0,3,1,8,8,14684,3,2554416959,2528850671,436088120,154069947,154201019,3,1,8009081372,73389,73389,8,8,8,154020799,10,3,362877,6217869,2315813,21222,2554416959,6041887,83327913,10943
96607.29,24,253952,62,147943,9747102202,996,20,558,6801360,0,14,58052,66,27602,113831704,1118,1,0,4,13988,184110311,12,735601080,65,70,3,73406,558,0,0,103792698,361440687,3087817384,0,558,531,0,3,1,8,8,14684,3,3094565322,3071267669,499624450,187226340,187308260,3,1,9731509872,73389,73389,8,8,8,187144424,10,3,406651,6986526,2727348,25695,3094565322,6801360,101068749,10943
97625.78,31,253952,62,178036,11730287275,1194,21,558,7628320,0,14,69897,66,27602,113831704,1118,1,0,4,13988,221658718,12,886118212,65,70,3,73406,558,0,0,123981358,399248848,3715692437,0,558,531,0,3,1,8,8,14684,3,3721565747,3695806522,559295799,225309111,225438024,3,1,11716073804,73389,73389,8,8,8,225309115,10,3,445442,7827127,3108759,30901,3721565747,7628320,120876508,10943
