timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
101069.75,253952,62,21100,1389256030,110,1,621,857659,13,2108,71,5627,130251617,1244,1,0,70,70,8,10581,621,0,0,0,3182196,14660212,450702265,0,621,639,2,1,8,8,8692,1,457693550,409354453,36236876,31253690,31270074,2,1,1375162360,73389,73389,8,8,8,31253690,10,3,199107,879143,777515,3503,457693550,857659,2405202,8888
102099.72,253952,62,22822,1502639926,110,1,621,895573,13,2564,71,5627,130251617,1244,1,0,70,70,8,10581,621,0,0,0,3490430,15633262,484028643,0,621,639,2,1,8,8,8692,1,490985838,442544805,38287488,33838044,33838044,2,1,1488153040,73389,73389,8,8,8,33821660,10,3,201053,917472,794482,3758,491116910,895621,2696509,8888
103115.33,253952,62,24476,1611519110,111,2,621,949665,13,3078,71,5627,130251617,1244,1,0,70,70,8,10581,621,0,0,0,3890211,17050003,515649137,0,621,639,2,1,8,8,8692,1,522574190,474389226,43334135,36285293,36307710,2,1,1596552892,73389,73389,8,8,8,36285293,10,3,202068,986861,812841,3998,522574190,949665,3077962,8888
104134.13,253952,62,26820,1765980114,111,2,621,1023849,13,3724,71,5627,130251617,1244,1,0,70,70,8,10581,621,0,0,0,4377199,18314987,560249232,0,621,639,2,1,8,8,8692,1,567662958,519494337,50258381,39815601,39831985,2,1,1751886444,73389,73389,8,8,8,39815601,10,3,204686,1067546,849946,4342,567662958,1023849,3527880,8888
105163.71,253952,62,28814,1897189802,111,2,621,1076404,13,4267,71,5627,130251617,1244,1,0,70,70,8,10581,621,0,0,0,4935141,19993702,598556325,0,621,639,2,1,8,8,8692,1,606198126,557887294,59258950,42793171,42809555,2,1,1882899524,73389,73389,8,8,8,42793171,10,3,213298,1120484,884437,4636,606198126,1076404,4051370,8888
106203.76,253952,62,30825,2029779054,112,2,621,1141470,13,4870,71,5627,130517069,1244,1,0,70,70,8,10581,621,0,0,0,5249816,21007010,636473518,0,621,639,2,1,8,8,8692,1,644733294,596634961,65532951,45817734,45817734,2,1,2015259400,73389,73389,8,8,8,45801350,10,3,216790,1185961,913277,4930,644733294,1141470,4337241,8888
107243.82,253952,62,32593,2146443058,112,2,621,1217301,13,5353,71,5627,130517069,1244,1,0,70,70,8,10581,621,0,0,0,5478220,21797542,670977109,0,621,639,2,1,8,8,8692,1,679074158,630751468,66583954,48457273,48473657,2,1,2132120012,73389,73389,8,8,8,48457273,10,3,216792,1262161,930899,5192,679074158,1217301,4548058,8888
108273.59,253952,62,33748,2222402590,112,2,621,1277408,13,5664,71,5627,130517069,1244,1,0,70,70,8,10581,621,0,0,0,5804225,23227520,693679875,0,621,639,2,1,8,8,8692,1,701356398,652938288,71259788,50183626,50200010,2,1,2208079544,73389,73389,8,8,8,50183626,10,3,217020,1338218,950132,5362,701356398,1277408,4854851,8888
109302.21,253952,62,35150,2314814966,112,2,621,1364788,13,6048,71,5627,130517069,1244,1,0,70,70,8,10581,621,0,0,0,6087519,24382939,720839143,0,621,639,2,1,8,8,8692,1,728226158,679936676,77801273,52292844,52309228,2,1,2300885136,73389,73389,8,8,8,52292844,10,3,218824,1425903,959370,5567,728226158,1364788,5128933,8888
110355.05,253952,62,36273,2388942798,113,2,621,1390417,13,6412,71,5627,130770455,1244,1,0,70,70,8,10581,621,0,0,0,6598882,26518223,742492013,0,621,639,2,1,8,8,8692,1,749590894,701610627,87441005,53984270,53984270,2,1,2375307880,73389,73389,8,8,8,53984270,10,3,227721,1451756,996197,5730,749590894,1390417,5603495,8888
