timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
47394.68,0,0,0,0,0,54,1,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
48416.86,5,253952,62,37426,2464707742,280,6,558,834675,0,13,14538,66,5539,106338718,1118,1,0,4,5996,46103137,9,183589440,65,70,3,20328,558,0,0,22197959,31440280,792433719,0,558,4144,0,3,1,8,8,6612,3,810199688,778975262,55814510,47202182,47251334,3,1,2450365924,73389,73389,8,8,8,47122425,9,3,217918,842797,890837,6753,810199688,834675,21306684,15030
49432.74,8,253952,62,77578,5111155516,540,6,558,1718077,0,13,30286,66,5539,113831704,1118,1,0,4,5996,96059859,9,383205336,65,70,3,20328,558,0,0,47744971,64681645,1623715936,0,558,4144,0,3,1,8,8,6612,3,1639101464,1611937143,116950391,98020022,98151094,3,1,5095337240,73389,73389,8,8,8,97987258,9,3,258000,1743073,1492985,13634,1639101464,1718077,46253158,15030
50448.09,14,253952,62,114289,7531164832,779,9,558,2572035,0,13,44740,66,5539,113831704,1118,1,0,4,5996,141935372,9,566449784,65,70,3,20328,558,0,0,72227124,99532942,2384205083,0,558,4144,0,3,1,8,8,6612,3,2399793288,2373795310,180070772,144600883,144699187,3,1,7516690044,73389,73389,8,8,8,144551735,9,3,311187,2613951,1984865,19935,2399793288,2572035,70243946,15030
51464.08,17,253952,62,153239,10096352738,1029,10,558,3507986,0,13,60172,66,5539,113831704,1118,1,0,4,5996,190815477,9,762615640,65,70,3,20328,558,0,0,99339957,136867832,3196739270,0,558,4144,0,3,1,8,8,6612,3,3205328689,3181429158,247078412,193912283,194043355,3,1,10080882844,73389,73389,8,8,8,193863135,9,3,355199,3567264,2507500,26616,3205328689,3507986,96834742,15030
52479.82,30,253952,62,192705,12696612084,1285,12,567,4406520,0,13,75655,66,5539,115584161,1136,1,0,4,5996,239965095,9,958955740,65,70,3,20328,567,0,0,124446978,169869804,4016389050,0,567,4153,0,3,1,8,8,6612,3,4029667206,4000103298,307985101,243911367,244009671,3,1,12680835212,73389,73389,8,8,8,243862219,9,3,394105,4489915,3001903,33452,4029667206,4406520,121446949,15059
53494.84,37,253952,62,261355,17219476768,1731,17,576,5312734,0,13,102680,66,5539,117396766,1154,1,0,4,5996,325623113,9,1301717692,65,70,3,20328,576,0,0,165942932,191529689,5424662381,0,576,4159,0,3,1,8,8,6612,3,5451694227,5424031070,372597318,330869203,331000275,3,1,17204346620,73389,73389,8,8,8,330852823,9,3,449769,5422702,3790013,45236,5451694227,5312734,162156456,15103
54506.92,51,253952,62,340697,22449061232,2245,19,594,6254243,0,13,133930,66,5539,121021617,1190,1,0,4,5996,424725568,9,1697942224,65,70,3,20328,594,0,0,213606391,206328524,7075928424,0,594,4178,0,3,1,8,8,6612,3,7097264007,7070399037,435779747,431458466,431589538,3,1,22431580424,73389,73389,8,8,8,431376550,9,3,489304,6387167,4659365,58867,7097264007,6254243,208962299,15173
55515.51,62,253952,62,408818,26936955722,2682,23,603,7157494,2,13,160809,66,5539,122463765,1208,1,0,4,5996,509915447,9,2039079624,65,70,3,20328,603,0,0,255893416,224931939,8502899745,0,601,4186,2,3,1,8,8,6612,3,8515430576,8483492291,497607719,517763101,517877789,3,1,26921125380,73389,73389,8,8,8,517713953,9,3,543665,7310199,5458487,70611,8515430576,7157494,250439946,15205
56531.95,70,253952,62,449531,29620093122,2944,24,612,8059577,4,13,176824,66,5539,123905369,1226,1,0,4,5996,560745304,9,2242076708,65,70,3,20328,612,0,0,281196847,256431046,9348541796,0,608,4198,4,3,1,8,8,6612,3,9358440271,9327921005,556283692,569365214,569496286,3,1,29605287224,73389,73389,8,8,8,569332450,9,3,569147,8227642,5958507,77600,9358440271,8059577,275243996,15241
57271.71,71,253952,62,473867,31220905602,3118,24,810,8617804,4,13,186567,72,5539,165780350,1629,1,1227,4,5996,591599349,9,2366397396,71,77,65,20928,810,1227,116,301013013,283255707,9892853568,8,806,10332,4,3,1,8,8,6612,3,9886898161,9834947978,619875317,600037902,600037902,3,1,31201970936,73389,73389,8,8,8,600037906,9,3,598433,8797355,6323046,81981,9886898161,8617804,294696088,16083
