event,value,description
RecomputeWeight,777,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,8487830,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,440,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,234,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,233,"Same as Query, but only for SELECT queries."
InitialQuery,234,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,571,Count queries with all subqueries
SelectQueriesWithSubqueries,570,Count SELECT queries with all subqueries
FailedQuery,1,"Number of total failed queries, both internal and user queries."
QueryTimeMicroseconds,14914241110,Total time of all queries.
SelectQueryTimeMicroseconds,14914239685,Total time of SELECT queries.
OtherQueryTimeMicroseconds,1425,Total time of queries that are not SELECT or INSERT.
FileOpen,1296,Number of files opened.
Seek,20450,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,222440,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1955216726220,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,59,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1933531289366,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,96283267,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,6343156745579,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,215364,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1203,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,636868,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,433534,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,43189988508,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,14097,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,58224640,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,32592909,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,216001,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,2600,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,3120,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,216587,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1813094367,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,1649718751,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
