timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5050.43,59,262144,64,24564,1618369032,112,1,603,963416,35,3194,68,127985460,1208,1,67,4069,1027655,3,666860,603,16166,58420720,6306338,22743583,526507860,603,4766,2,1,4,4,756,1,524115980,476474044,34991574,36426272,36442656,2,1,1602755968,73389,73389,4,4,4,36426272,26,3,123753,17220067,1570459,23646,4001,524115980,939770,4734187,16086
10074.09,59,262144,64,29024,1912517756,113,1,603,1043910,35,4463,68,128250912,1208,1,67,4723,1149376,3,666860,603,18782,59658544,8082887,28346926,612636627,603,4766,2,1,4,4,756,1,609837068,562495475,65304241,43120407,43120407,2,1,1897297908,73389,73389,4,4,4,43120407,26,3,130418,20041681,1686813,26461,4655,609837068,1017449,6394208,16086
15164.65,59,262144,64,33287,2193224984,113,1,603,1124010,35,5623,68,128250912,1208,1,67,5350,1324561,3,666860,603,21294,77623920,10319584,35879232,695209010,603,4766,2,1,4,4,756,1,692019212,644542490,107020683,49491180,49507564,2,1,2177611920,73389,73389,4,4,4,49491180,26,3,144614,22974948,1825449,29136,5282,692019212,1094874,8494537,16086
20204.71,59,262144,64,38293,2523156364,114,1,603,1205171,35,7021,68,128250912,1208,1,67,6084,1427196,3,666860,603,24234,79010736,13570946,45858197,792000145,603,4766,2,1,4,4,756,1,788357132,740907830,159299726,56996323,57012707,2,1,2507838212,73389,73389,4,4,4,56996323,26,3,156516,26106886,1960873,31997,6017,788357132,1173174,11610269,16086
25247.44,59,262144,64,42580,2805701908,115,1,603,1273408,35,8272,68,128516364,1208,1,67,6717,1600035,3,666860,603,26762,80211440,15775811,52810613,875234955,603,4766,2,1,4,4,756,1,871194636,823592829,211470610,63422281,63422281,2,1,2790580364,73389,73389,4,4,4,63422281,26,3,164002,29224300,2056241,34605,6649,871194636,1238803,13718898,16086
30285.74,59,262144,64,47948,3159091868,116,1,603,1365358,35,9791,68,128516364,1208,1,67,7504,1764979,3,666860,603,29914,81707056,18537374,60688813,978997464,603,4766,2,1,4,4,756,1,974479372,926967169,273157415,71445679,71462063,2,1,3143609876,73389,73389,4,4,4,71445679,26,3,178228,32328676,2205467,39418,7437,974479372,1325940,16328685,16086
35515.88,59,262144,64,53084,3497808380,117,1,603,1440660,35,11244,68,128769750,1208,1,67,8258,1864972,3,666860,603,32930,83141744,20346797,67566912,1078289508,603,4766,2,1,4,4,756,1,1073307660,1025971282,293772471,79145271,79161655,2,1,3482391924,73389,73389,4,4,4,79145271,26,3,184411,35422707,2295821,42355,8191,1073307660,1398305,18047665,16086
40571.59,59,262144,64,57120,3763638936,117,1,603,1510190,35,12347,68,128769750,1208,1,67,8853,2109878,3,666860,603,35310,84270384,22467918,75212581,1156651781,603,4766,2,1,4,4,756,1,1151295500,1103675447,343349981,85188364,85204748,2,1,3748288016,73389,73389,4,4,4,85188364,26,3,195848,38479750,2414199,44623,8786,1151295500,1465567,20050244,16086
45626.12,59,262144,64,60481,3985232692,118,1,603,1569456,35,13319,68,129035202,1208,1,67,9347,2203142,3,666860,603,37282,85207792,24537239,82204881,1221592316,603,4766,2,1,4,4,756,1,1215913996,1168474416,386071917,90223841,90240225,2,1,3969849004,73389,73389,4,4,4,90223841,26,3,203659,41654901,2516996,46792,9280,1215913996,1522664,22016902,16086
50660.73,59,262144,64,63618,4191880932,118,1,603,1618553,35,14172,68,129035202,1208,1,67,9806,2510332,3,666860,603,39122,86082800,25767307,88080248,1282182789,603,4766,2,1,4,4,756,1,1276207116,1228907675,403940038,94917413,94933797,2,1,4176366172,73389,73389,4,4,4,94917413,26,3,208075,45129516,2578056,48652,9739,1276207116,1569901,23186308,16086
