timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5187.92,43,262144,64,25372,1671587572,112,0,603,5827787,36,3415,52,68,115483,127985460,1208,1,67,4187,1406990,3,161309,603,16640,80504080,7274396,23682328,542019884,603,1881,2,1,4,4,716,1,539582476,492072643,56125669,37644721,37644721,2,1,1656367724,73389,73389,4,4,4,37644721,21,3,201546,21085689,2319117,22002,4119,539582476,5805785,4956030,10060
10328.40,43,262144,64,31045,2045496916,113,0,603,5931336,36,5015,52,68,115483,128250912,1208,1,67,5022,1554217,3,161309,603,19980,82079504,8782774,28374366,651973028,603,1881,2,1,4,4,716,1,649027596,601380367,71228156,46130745,46147129,2,1,2029752780,73389,73389,4,4,4,46130745,21,3,204818,23854891,2423986,29964,4954,649027596,5901372,6360737,10060
15612.72,43,262144,64,36793,2424321460,114,0,603,6029911,36,6640,52,68,115483,128250912,1208,1,67,5865,1648707,3,161309,603,23352,83678096,12858647,36547454,762973218,603,1881,2,1,4,4,716,1,759521292,712090199,133154845,54756033,54756033,2,1,2409265452,73389,73389,4,4,4,54756033,21,3,215146,26801707,2565735,43558,5797,759521292,5986353,10294182,10060
21006.30,43,262144,64,42675,2811927828,115,0,603,6140972,36,8281,52,68,115483,128516364,1208,1,67,6730,1876878,3,161309,603,26816,85316752,15431331,43725304,876999745,603,1881,2,1,4,4,716,1,873029644,825406142,183035944,63553353,63569737,2,1,2796347532,73389,73389,4,4,4,63553353,21,3,218085,30024885,2672330,63297,6663,873029644,6077675,12761337,10060
26041.32,43,262144,64,47731,3144870556,116,1,603,6227234,36,9731,52,68,115483,128516364,1208,1,67,7471,1995046,3,161309,603,29776,86724048,17384917,50236467,974448129,603,1881,2,1,4,4,716,1,970022924,922806621,200490301,71134383,71134383,2,1,3129912852,73389,73389,4,4,4,71134383,21,3,219483,33134569,2755959,66488,7403,970022924,6160746,14631280,10060
31148.89,43,262144,64,52389,3451995408,117,1,603,6308621,36,11055,52,68,115483,128769750,1208,1,67,8157,2121468,3,161309,603,32520,88025936,19764323,56968310,1064792278,603,1881,2,1,4,4,716,1,1059938316,1012553882,223940892,78107046,78123430,2,1,3436710024,73389,73389,4,4,4,78107046,21,3,223234,36213113,2847463,69382,8089,1059938316,6239239,16919484,10060
36190.05,43,262144,64,57605,3795689348,117,1,603,6395450,36,12479,52,68,115483,128769750,1208,1,67,8924,2224003,3,161309,603,35588,89474128,21947962,62177164,1165787821,603,1881,2,1,4,4,716,1,1160470540,1113064663,251732062,85915293,85931677,2,1,3780272892,73389,73389,4,4,4,85915293,21,3,224755,39204821,2929682,72522,8856,1160470540,6322928,19020438,10060
41249.29,43,262144,64,62495,4118018552,118,1,603,6490584,36,13864,52,68,115483,129035202,1208,1,67,9643,2294499,3,161309,603,38468,90840784,24957391,69899864,1260603817,603,1881,2,1,4,4,716,1,1254842380,1207291889,365725752,93240212,93256596,2,1,4102569328,73389,73389,4,4,4,93240212,21,3,230885,42157201,3060029,84970,9576,1254842380,6405614,21900154,10060
46297.13,43,262144,64,67549,4450830208,119,1,603,6578122,36,15302,52,68,115483,129035202,1208,1,67,10384,2428927,3,161309,603,41432,92250832,26997448,76466541,1358182132,603,1881,2,1,4,4,716,1,1351966732,1304601045,401931074,100804858,100821242,2,1,4435413752,73389,73389,4,4,4,100804858,21,3,233324,45569723,3143044,88142,10317,1351966732,6489980,23858025,10060
51369.40,43,262144,64,71734,4726691080,120,2,603,6649955,36,16498,52,68,115483,129300654,1208,1,67,11000,2585244,3,161309,603,43896,110387224,29764977,84629811,1439181340,603,1881,2,1,4,4,716,1,1432576012,1385237754,468990033,107083360,107083360,2,1,4711667840,73389,73389,4,4,4,107083360,21,3,239249,48608998,3292934,90759,10932,1432576012,6559196,26475844,10060
56435.53,43,262144,64,76342,5030273680,121,2,603,6723550,36,17810,52,68,115483,129300654,1208,1,67,11677,2682595,3,161309,603,46604,111671064,31311160,89898303,1528342719,603,1881,2,1,4,4,716,1,1521311756,1473950961,508503066,113976262,113992646,2,1,5014955528,73389,73389,4,4,4,113976262,21,3,245228,51727326,3376207,93508,11609,1521311756,6630042,27938768,10060
61489.11,43,262144,64,81590,5376064772,121,2,603,6814914,36,19239,52,68,115483,129300654,1208,1,67,12448,2810784,3,161309,603,49692,129909128,33332266,95693341,1629873655,603,1881,2,1,4,4,716,1,1622368268,1575063361,568880832,121833661,121850045,2,1,5360681084,73389,73389,4,4,4,121833661,21,3,248538,54662536,3473701,96552,12380,1622368268,6718362,29862832,10060
66658.71,43,262144,64,86463,5697279864,122,2,603,6900862,36,20624,52,68,115483,129566106,1208,1,67,13164,2973604,3,161309,603,52560,131269064,37081536,104800180,1724294964,603,1881,2,1,4,4,716,1,1716346892,1668950961,632315267,129134004,129150388,2,1,5681896176,73389,73389,4,4,4,129134004,21,3,253087,57945401,3604460,107272,13097,1716346892,6793590,33480966,10060
71697.43,43,262144,64,90376,5954784040,123,2,603,6971746,36,21742,52,68,115483,129566106,1208,1,67,13737,3107718,3,161309,603,54852,132356744,39873271,112516802,1799760628,603,1881,2,1,4,4,716,1,1791451148,1744228249,709756760,134982648,134999032,2,1,5939236512,73389,73389,4,4,4,134982648,21,3,255759,61261692,3688943,109628,13670,1791451148,6862118,36188019,10060
76737.89,43,262144,64,93819,6181751748,124,2,603,7035837,36,22739,52,68,115483,129566106,1208,1,67,14243,3281641,3,161309,603,56876,133314184,42304691,120768531,1866404547,603,1881,2,1,4,4,716,1,1857773580,1810578509,758533766,140141005,140157389,2,1,6166204220,73389,73389,4,4,4,140141005,21,3,258176,64298172,3771607,111932,14176,1857773580,6923905,38537477,10060
