timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5037.94,21,262144,64,32497,2141186092,113,1,603,6865165,21,5411,66,78,11215,128250912,1208,1,77,5234,996977,3,23825,603,20868,136337248,10193706,15272489,679707405,603,1635,2,1,4,4,1013,1,676814860,629353487,52957459,48305499,48321883,2,1,2125441956,73389,73389,4,4,4,48305499,26,3,279901,16448610,2699850,27801,5166,676814860,6837364,7499332,11342
10043.79,21,262144,64,48775,3213579724,116,1,603,7095531,21,9962,66,78,11215,128516364,1208,1,77,7627,1052865,3,23825,603,30444,158242608,16996097,22135806,994647467,603,1635,2,1,4,4,1013,1,990470156,942940761,107109533,72680512,72696896,2,1,3197942528,73389,73389,4,4,4,72680512,26,3,319280,18468165,3054041,38436,7559,990470156,7057095,13947608,11342
15050.28,21,262144,64,79646,5247866432,121,1,603,7424091,21,18694,66,78,11215,129300654,1208,1,77,12159,1063216,3,23825,603,48576,183493048,25667215,22574871,1591073218,603,1635,2,1,4,4,1013,1,1584488460,1537602225,136267169,118915594,118931978,2,1,5232286136,73389,73389,4,4,4,118915594,26,3,335135,19175271,3219948,45172,12091,1584488460,7378919,22452508,11342
20066.38,21,262144,64,92237,6077542892,123,1,603,7637038,21,22251,66,78,11215,129566106,1208,1,77,14013,1115895,3,23825,603,55992,186982456,31896828,28894738,1835095265,603,1635,2,1,4,4,1013,1,1827495948,1780118783,193750655,137769643,137786027,2,1,6061864292,73389,73389,4,4,4,137769643,26,3,353686,21435613,3469223,51990,13945,1827495948,7585048,28432138,11342
25088.31,21,262144,64,98121,6465280332,124,1,603,7740753,21,23912,66,78,11215,129831558,1208,1,77,14876,1193393,3,23825,603,59444,188611896,35116751,34777491,1948727931,603,1635,2,1,4,4,1013,1,1940611084,1893488472,222113247,146583347,146599731,2,1,6449667268,73389,73389,4,4,4,146583347,26,3,361705,24040309,3646220,55381,14809,1940611084,7685372,31475379,11342
30166.93,21,262144,64,104725,6900469144,125,2,603,7854023,21,25759,66,78,11215,130097010,1208,1,77,15845,1281877,3,23825,603,63324,190443832,38858072,41707013,2076442464,603,1635,2,1,4,4,1013,1,2067750924,2020651306,256300664,156476236,156492620,2,1,6884954384,73389,73389,4,4,4,156476236,26,3,369129,26717783,3775105,58948,15778,2067750924,7795075,35088322,11342
35182.66,21,262144,64,114030,7513732500,127,2,603,8004330,21,28415,66,78,11215,130362462,1208,1,77,17213,1350195,3,23825,603,68792,193029432,43573468,47969659,2256393599,603,1635,2,1,4,4,1013,1,2246926348,2199951330,300081167,170423721,170423721,2,1,7498643724,73389,73389,4,4,4,170423721,26,3,382164,29192588,3956549,63646,17145,2246926348,7940684,39620819,11342
40206.69,21,262144,64,130857,8622346716,130,2,603,8276078,21,33162,66,78,11215,130627914,1208,1,77,19684,1433957,3,23825,603,78676,197571512,51777057,54004554,2581612246,603,1635,2,1,4,4,1013,1,2570805260,2524069908,443551588,195607583,195623967,2,1,8606733652,73389,73389,4,4,4,195607583,26,3,407039,31119973,4250700,69366,19616,2570805260,8206712,47528732,11342
45235.44,21,262144,64,139121,9166856192,131,2,603,8411363,21,35477,66,78,11215,130893366,1208,1,77,20899,1574106,3,23825,603,83536,199864184,54943395,59744379,2741563045,603,1635,2,1,4,4,1013,1,2730057740,2683239435,469952667,207978330,207994714,2,1,9151046520,73389,73389,4,4,4,207978330,26,3,412216,33822087,4384019,73661,20831,2730057740,8337702,50561836,11342
50266.65,21,262144,64,145022,9555973196,132,2,603,8500826,21,37143,66,78,11215,131158818,1208,1,77,21766,1728638,3,23825,603,87004,201500792,58239188,66409002,2855722451,603,1635,2,1,4,4,1013,1,2843697164,2796993178,506181523,216839027,216855411,2,1,9540917188,73389,73389,4,4,4,216839027,26,3,423050,36495474,4537173,76793,21698,2843697164,8424033,53704393,11342
