timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.54,33,262144,64,31229,2057820992,113,0,603,659915,19,5058,1,69,73,317,128250912,1208,1,68,5048,789609,3,94630,603,20086,77863840,9654348,15281014,655168663,603,1532,2,1,4,4,1248,1,652304396,604943832,46184670,46415306,46431690,2,1,2042273464,73389,73389,4,4,4,46415306,44,1,3,334307,10365361,2615696,34477,4980,652304396,625438,7038162,12614
10032.65,33,262144,64,43620,2874124800,115,0,603,842386,19,8521,1,69,73,317,128516364,1208,1,68,6868,858714,3,94630,603,27370,81290656,15315814,21457876,894852341,603,1532,2,1,4,4,1248,1,890986508,843583399,88750699,64968410,64984794,2,1,2858610040,73389,73389,4,4,4,64968410,44,1,3,356778,12507051,2894689,40401,6800,890986508,801985,12420813,12614
15038.09,33,262144,64,72386,4769686004,120,0,603,1155631,19,16676,1,69,73,317,129300654,1208,1,68,11096,861801,3,94630,603,44286,105955264,25666494,21759796,1451205587,603,1532,2,1,4,4,1248,1,1445158924,1397794085,123389889,108056049,108072433,2,1,4754466156,73389,73389,4,4,4,108056049,44,1,3,385603,13169421,3146531,48868,11028,1445158924,1106763,22519599,12614
20054.94,33,262144,64,85318,5621710240,122,0,603,1356838,19,20300,1,69,73,317,129566106,1208,1,68,12994,909818,3,94630,603,51882,109503808,31830156,27179057,1701149145,603,1532,2,1,4,4,1248,1,1694064652,1646838795,192869626,127418002,127434386,2,1,5606392088,73389,73389,4,4,4,127418002,44,1,3,398821,15220964,3403435,57518,12927,1694064652,1299320,28427619,12614
25076.67,33,262144,64,92248,6078263788,123,0,603,1471849,19,22250,1,69,73,317,129566106,1208,1,68,14015,988115,3,94630,603,55958,111423360,35034482,32836122,1835312106,603,1532,2,1,4,4,1248,1,1827627020,1780300157,219972943,137802411,137802411,2,1,6063306084,73389,73389,4,4,4,137802411,44,1,3,410992,17950363,3543353,61725,13947,1827627020,1410124,31492212,12614
30105.57,33,262144,64,98321,6478387532,124,0,603,1579434,19,23962,1,69,73,317,129831558,1208,1,68,14907,1081358,3,94630,603,59530,113111168,38011134,38730962,1952898710,603,1532,2,1,4,4,1248,1,1944674316,1897337059,248057265,146878259,146894643,2,1,6462643396,73389,73389,4,4,4,146878259,44,1,3,417179,20711171,3668752,65443,14839,1944674316,1513991,34343365,12614
35135.66,33,262144,64,107095,7056585820,126,0,603,1727199,19,26465,1,69,73,317,130097010,1208,1,68,16194,1152192,3,94630,603,64678,115545152,42612730,45475648,2122329511,603,1532,2,1,4,4,1248,1,2113363980,2066301615,306338921,160025087,160041471,2,1,7041103828,73389,73389,4,4,4,160025087,44,1,3,435489,23140523,3872823,70271,16126,2113363980,1656928,38741635,12614
40161.36,33,262144,64,122999,8104444856,128,0,603,1951404,19,30919,1,69,73,317,130362462,1208,1,68,18530,1215029,3,94630,603,74026,137028760,50373224,52184738,2429788731,603,1532,2,1,4,4,1248,1,2419548172,2372618237,383626676,183851236,183851236,2,1,8089454384,73389,73389,4,4,4,183851236,44,1,3,456043,24943955,4099858,76041,18462,2419548172,1875363,46275166,12614
45185.84,33,262144,64,130313,8586429680,130,0,603,2071466,19,33022,1,69,73,317,130627914,1208,1,68,19604,1310119,3,94630,603,78322,139057816,53892451,57535710,2571186096,603,1532,2,1,4,4,1248,1,2560319500,2513608849,406977915,194798734,194798734,2,1,8571144296,73389,73389,4,4,4,194798734,44,1,3,464472,27156819,4270598,80269,19536,2560319500,1991197,49624409,12614
50202.85,33,262144,64,136925,9022142780,131,0,603,2174791,19,34876,1,69,73,317,130893366,1208,1,68,20575,1455475,3,94630,603,82206,140889624,57427308,63325933,2699036003,603,1532,2,1,4,4,1248,1,2687590412,2640897085,454320455,204699815,204716199,2,1,9006791860,73389,73389,4,4,4,204699815,44,1,3,473778,29824000,4396832,84162,20507,2687590412,2090629,53033359,12614
56325.09,33,262144,64,143586,9461332596,132,1,603,2285649,19,36748,1,69,73,317,131158818,1208,1,68,21556,1608211,3,94630,603,86134,142747864,60397589,70315359,2828341515,603,1532,2,1,4,4,1248,1,2816303116,2769244396,492966496,214680657,214697041,2,1,9445948908,73389,73389,4,4,4,214680657,44,1,3,478828,33298436,4532489,92406,21489,2816303116,2193243,55867498,12614
61419.47,33,262144,64,148699,9798022942,133,2,603,2365877,19,38199,1,69,73,317,131158818,1208,1,68,22305,1788094,3,94630,603,89126,144164696,62849605,77552556,2926833304,603,1532,2,1,4,4,1248,1,2914344972,2867711608,559321199,222327223,222343607,2,1,9782397812,73389,73389,4,4,4,222327223,44,1,3,491500,36300576,4656151,95123,22238,2914344972,2270754,58194829,12614
66568.32,33,262144,64,153982,10146107794,134,2,603,2451663,19,39693,1,69,73,317,131424270,1208,1,68,23082,1875260,3,94630,603,92238,145638744,65862110,84559209,3029154822,603,1532,2,1,4,4,1248,1,3016318988,2969491409,600518793,230233774,230250158,2,1,10130286056,73389,73389,4,4,4,230233774,44,1,3,495487,39176880,4773601,98392,23015,3016318988,2353271,61089885,12614
71646.91,33,262144,64,158825,10465356806,134,2,603,2531833,19,41012,1,69,73,317,131424270,1208,1,68,23794,2017751,3,94630,603,95082,146992152,68974813,91903920,3122916414,603,1532,2,1,4,4,1248,1,3109511180,3062796760,757749260,237501349,237517733,2,1,10450059356,73389,73389,4,4,4,237501349,44,1,3,502889,42042921,4894125,101421,23726,3109511180,2430412,64082457,12614
76668.81,33,262144,64,164042,10808850830,135,2,603,2630377,19,42494,1,69,73,317,131424270,1208,1,68,24562,2145788,3,94630,603,98154,148442520,71321450,98270194,3224050438,603,1532,2,1,4,4,1248,1,3210174476,3163198155,781459083,245311755,245311755,2,1,10793717220,73389,73389,4,4,4,245311755,44,1,3,508007,44523819,5000935,107117,24494,3210174476,2523260,66322732,12614
81903.16,33,262144,64,169617,11176337646,136,2,603,2733465,19,44069,1,69,73,317,131689722,1208,1,68,25379,2293266,3,94630,603,101422,149984920,73754101,104220770,3331635521,603,1532,2,1,4,4,1248,1,3317260300,3270578948,825262343,253666707,253666707,2,1,11161335108,73389,73389,4,4,4,253666707,44,1,3,510249,47568871,5104091,110946,25311,3317260300,2622519,68652096,12614
