timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5588.30,28,262144,64,24877,1639147252,112,0,603,1618199,15,3280,60,69,98497,127985460,1208,1,68,4114,2989909,4,172278,603,16356,113831688,5527721,26014747,532446352,603,1922,2,1,4,4,694,1,530014220,482565925,43884375,36907441,36907441,2,1,1623927404,73389,73389,4,4,4,36907441,16,1,3,67288,21804163,1041698,40102,4046,530014220,1578097,4487897,18186
10601.91,28,262144,64,29969,1974714728,113,0,603,1696333,15,4723,60,69,98497,128250912,1208,1,68,4860,3202859,4,172278,603,19344,132208272,8071904,32308791,630685070,603,1922,2,1,4,4,694,1,627793932,580670320,79654403,44535464,44535464,2,1,1959560416,73389,73389,4,4,4,44535464,16,1,3,74113,24759086,1161069,43002,4792,627793932,1653331,6912785,18186
15627.27,28,262144,64,35027,2307788528,114,0,603,1782036,15,6158,60,69,98497,128250912,1208,1,68,5604,3363822,4,172278,603,22324,133617424,10002364,37784863,728790257,603,1922,2,1,4,4,694,1,725442572,677987352,111593509,52100110,52116494,2,1,2292404840,73389,73389,4,4,4,52100110,16,1,3,80736,27754210,1287834,45921,5537,725442572,1736115,8716504,18186
20663.08,28,262144,64,40463,2666165840,115,0,603,1868315,15,7686,60,69,98497,128516364,1208,1,68,6405,3426401,4,172278,603,25528,135135376,13039568,44258456,834266565,603,1922,2,1,4,4,694,1,830431244,782779760,161723917,60242070,60258454,2,1,2650651080,73389,73389,4,4,4,60242070,16,1,3,90220,30426787,1436742,49019,6338,830431244,1819296,11604794,18186
25690.25,28,262144,64,44881,2957296600,115,0,603,1945876,15,8897,60,69,98497,128516364,1208,1,68,7054,3583723,4,172278,603,28120,136364176,14854502,50029959,919606491,603,1922,2,1,4,4,694,1,915365900,867954048,179091424,66864636,66864636,2,1,2942043984,73389,73389,4,4,4,66864636,16,1,3,101240,33266344,1558935,51681,6986,915365900,1894195,13296675,18186
30723.74,28,262144,64,49441,3257468020,116,0,603,2019844,15,10191,60,69,98497,128516364,1208,1,68,7722,3712744,4,172278,603,30792,137632272,17183539,55804558,1007575917,603,1922,2,1,4,4,694,1,1002921996,955691895,219042859,73685969,73702353,2,1,3242182636,73389,73389,4,4,4,73685969,16,1,3,112091,36559039,1699395,54610,7655,1002921996,1965234,15484965,18186
35762.48,28,262144,64,53478,3523629564,117,0,603,2080484,15,11354,60,69,98497,128769750,1208,1,68,8317,3823948,4,172278,603,33172,138758416,19427016,63375310,1085938538,603,1922,2,1,4,4,694,1,1080909836,1033483570,285246348,79735095,79751479,2,1,3508344180,73389,73389,4,4,4,79735095,16,1,3,120307,39796152,1793535,56861,8249,1080909836,2023623,17634460,18186
40802.17,28,262144,64,57813,3809320836,118,0,603,2161689,15,12566,60,69,98497,128769750,1208,1,68,8955,3966704,4,172278,603,35724,139970832,21996869,71080256,1169959656,603,1922,2,1,4,4,694,1,1164533772,1117071734,313850817,86234781,86234781,2,1,3794330364,73389,73389,4,4,4,86234781,16,1,3,125683,42847136,1878758,71425,8887,1164533772,2090264,20119131,18186
45854.49,28,262144,64,62970,4149148152,118,0,603,2258705,15,13997,60,69,98497,129035202,1208,1,68,9712,4077432,4,172278,603,38756,141410192,23408440,76125931,1269775433,603,1922,2,1,4,4,694,1,1263886348,1216435901,327586669,93944724,93961108,2,1,4133567856,73389,73389,4,4,4,93944724,16,1,3,132262,45840613,1967681,74212,9645,1263886348,2184493,21442047,18186
52077.56,28,262144,64,68155,4490810476,119,0,603,2348981,15,15467,60,69,98497,129035202,1208,1,68,10473,4205519,4,172278,603,41800,142857424,27024458,85706462,1369986894,603,1922,2,1,4,4,694,1,1363632140,1316289292,458935437,101712011,101728395,2,1,4475328484,73389,73389,4,4,4,101712011,16,1,3,149409,49327965,2140607,82380,10406,1363632140,2266601,24886220,18186
