timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5380.97,24,262144,64,23572,1553091868,112,0,603,3748957,13,2922,59,68,76062,127985460,1208,1,67,3921,1713917,3,130730,603,15584,99916918,6331588,27864542,507209778,603,1686,2,1,4,4,776,1,504848396,457348875,49919124,34945679,34962063,2,1,1537609876,73389,73389,4,4,4,34945679,14,3,242537,23481735,1822799,57556,3854,504848396,3691401,4511898,32185
10421.21,24,262144,64,28033,1847040676,113,0,603,3830438,13,4173,59,68,76062,127985460,1208,1,67,4579,1806269,3,130730,603,18216,101167094,7629529,33035482,593866103,603,1686,2,1,4,4,776,1,591093772,543354618,69708034,41633781,41633781,2,1,1831886364,73389,73389,4,4,4,41633781,14,3,252998,26539368,1924457,64714,4512,591093772,3765724,5707860,32185
15460.29,24,262144,64,32016,2109663276,113,0,603,3893609,13,5279,59,68,76062,128250912,1208,1,67,5163,2004193,3,130730,603,20548,102278454,8957401,38504292,670644783,603,1686,2,1,4,4,776,1,667508748,620129784,93084775,47584603,47600987,2,1,2093722532,73389,73389,4,4,4,47584603,14,3,259165,29823262,2000764,66908,5095,667508748,3826701,6959126,32185
20497.48,24,262144,64,36666,2415732936,114,0,603,3973191,13,6603,59,68,76062,128250912,1208,1,67,5845,2197589,3,130730,603,23280,103570358,11544176,45034235,760592552,603,1686,2,1,4,4,776,1,757030924,709535223,133965363,54553392,54569776,2,1,2400349248,73389,73389,4,4,4,54553392,14,3,270098,32981132,2122730,69484,5778,757030924,3903707,9424499,32185
25542.17,24,262144,64,41767,2752155688,115,0,603,4053408,13,8038,59,68,76062,128516364,1208,1,67,6596,2314612,3,130730,603,26280,104997878,12920103,49991624,859356974,603,1686,2,1,4,4,776,1,855334924,807951946,223172170,62203832,62203832,2,1,2736968608,73389,73389,4,4,4,62203832,14,3,279403,35940878,2222339,72102,6528,855334924,3981306,10700791,32185
31440.40,24,262144,64,46923,3091652016,116,0,603,4135138,13,9512,59,68,76062,128516364,1208,1,67,7353,2559527,3,130730,603,29308,106436790,16413057,59984906,959048833,603,1686,2,1,4,4,776,1,954556428,907228824,273713134,69915934,69932318,2,1,3076301096,73389,73389,4,4,4,69915934,14,3,292827,39476583,2368075,74928,7285,954556428,4060210,14046892,32185
36480.20,24,262144,64,51461,3390647096,116,0,603,4216367,13,10750,59,68,76062,128516364,1208,1,67,8020,2788608,3,130730,603,31976,107706550,18779079,67307163,1046883620,603,1686,2,1,4,4,776,1,1041981452,994701134,337245124,76718724,76718724,2,1,3375623856,73389,73389,4,4,4,76718724,14,3,306697,42775471,2512882,77442,7952,1041981452,4138925,16269617,32185
42005.62,24,262144,64,55200,3637278912,117,0,603,4281408,13,11824,59,68,76062,128769750,1208,1,67,8570,3011654,3,130730,603,34180,108753270,21005473,76489669,1119452126,603,1686,2,1,4,4,776,1,1114202124,1066746701,376931737,82325482,82325482,2,1,3622321208,73389,73389,4,4,4,82325482,14,3,316860,46394844,2609951,79591,8503,1114202124,4201817,18399203,32185
47025.48,24,262144,64,59324,3908936966,118,0,603,4348448,13,13000,59,68,76062,129035202,1208,1,67,9174,3344758,3,130730,603,36596,109903030,24065324,87952522,1198996004,603,1686,2,1,4,4,776,1,1193369612,1146193728,448453414,88491455,88513872,2,1,3893624020,73389,73389,4,4,4,88491455,14,3,325043,49696188,2702872,81891,9107,1193369612,4266557,21365015,32185
52096.44,24,262144,64,63675,4195616484,118,0,603,4418620,13,14187,59,68,76062,129035202,1208,1,67,9815,3529920,3,130730,603,39160,111117750,25630916,93125704,1283410501,603,1686,2,1,4,4,776,1,1277386764,1230019180,469694557,94999333,95015717,2,1,4179970652,73389,73389,4,4,4,94999333,14,3,330563,52800009,2788167,84150,9748,1277386764,4334470,22846610,32185
