timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.08,26,262144,64,51779,3411752996,117,5,603,709071,36,30,10829,70,172,128516364,1208,1,69,8068,48434,4,902,603,32188,151502456,12763492,579176,1052449014,567,1024,36,23,1,2,1,4,4,917,1,1048272908,1000836742,23726394,77199893,77199893,2,1,3396795292,73389,73389,4,4,4,77199893,45,1,3,210503,1874626,1105109,16389,8000,1048272908,692682,11659333,6756
10027.60,26,262144,64,82166,5414078960,122,5,603,1090448,36,30,19425,70,172,129566106,1208,1,69,12532,55177,4,902,603,50048,176752960,21240638,1073031,1639946286,567,1024,36,23,1,2,1,4,4,917,1,1633378316,1586164456,44900948,122708046,122708046,2,1,5398433128,73389,73389,4,4,4,122691662,45,1,3,228743,2792542,1345725,26976,12464,1633378316,1063472,19895780,6756
15038.56,26,262144,64,93690,6173297604,124,5,603,1269712,36,30,22673,70,172,129566106,1208,1,69,14226,85104,4,902,603,56824,179952960,26165517,6659835,1862921656,567,1024,36,23,1,2,1,4,4,917,1,1855414284,1808133496,97616625,139944397,139960781,2,1,6157553468,73389,73389,4,4,4,139944397,45,1,3,240482,5177524,1576860,32986,14158,1855414284,1236726,24590420,6756
20056.02,26,262144,64,100296,6608629554,125,5,603,1388592,36,30,24562,70,172,130097010,1208,1,69,15196,216445,4,902,603,60704,181783744,29803432,13172543,1990638999,567,1024,36,23,1,2,1,4,4,917,1,1982554124,1935361718,138153659,149853670,149853670,2,1,6593561480,73389,73389,4,4,4,149853670,45,1,3,257340,7815706,1750555,37377,15128,1982554124,1351215,28054366,6756
25070.56,26,262144,64,107039,7052915804,126,6,603,1515791,36,30,26456,70,172,130097010,1208,1,69,16185,310579,4,902,603,64660,183657024,32990562,19033326,2120852622,567,1024,36,23,1,2,1,4,4,917,1,2112184332,2065188740,206388108,159943167,159959551,2,1,7037499348,73389,73389,4,4,4,159943167,45,1,3,276027,10371076,1925145,55628,16117,2112184332,1460163,31066551,6756
30075.89,26,262144,64,121734,8021276364,128,6,603,1742829,36,30,30544,70,172,130362462,1208,1,69,18343,339546,4,902,603,73292,187715776,40744140,27365702,2404873477,567,1024,36,23,1,2,1,4,4,917,1,2395037708,2348310151,292190684,181961043,181961043,2,1,8005564996,73389,73389,4,4,4,181944659,45,1,3,306422,12456303,2261223,64069,18275,2395037708,1678760,38485352,6756
35089.89,26,262144,64,153838,10136670610,134,6,603,2108575,36,30,39610,70,172,131424270,1208,1,69,23062,351831,4,902,603,92184,264421768,48950396,28238731,3025923551,567,1024,36,23,1,2,1,4,4,917,1,3013566476,2966694041,316835410,230020782,230037166,2,1,10120914408,73389,73389,4,4,4,230020782,45,1,3,318890,13470656,2453134,70926,22994,3013566476,2037649,46499985,6756
40109.72,26,262144,64,165090,10878063462,135,6,603,2289773,36,30,42768,70,172,131424270,1208,1,69,24716,421669,4,902,603,98800,267540488,55311264,35409911,3243633461,567,1024,36,23,1,2,1,4,4,917,1,3230359564,3183409451,417989738,246880301,246896685,2,1,10862733244,73389,73389,4,4,4,246880301,45,1,3,346410,15633531,2804398,78470,24648,3230359564,2211303,52510084,6756
45115.37,26,262144,64,177739,11711016722,138,6,603,2503863,36,30,46388,70,172,131955174,1208,1,69,26572,462281,4,902,603,106224,271051720,61612327,41924209,3487329014,567,1024,36,23,1,2,1,4,4,917,1,3473036830,3426848218,466891216,265808078,265824462,2,1,11695555432,73389,73389,4,4,4,265808078,45,1,3,373575,17826734,3114640,84641,26504,3473036830,2419222,58501551,6756
50121.46,26,262144,64,209960,13834066614,144,8,603,2886732,36,30,55465,70,172,132751530,1208,1,69,31305,463816,4,902,603,125164,313100792,71769587,43413889,4110197254,567,1024,36,23,1,2,1,4,4,917,1,4093400606,4047512985,515555662,314056233,314072617,2,1,13818474252,73389,73389,4,4,4,314056233,45,1,3,402055,18586518,3342103,93047,31237,4093400606,2793685,68431897,6756
