timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5045.23,38,262144,64,25691,1692759008,112,0,603,11529801,20,3497,60,68,249643,127985460,1208,1,67,4234,856884,3,302328,603,16832,97652392,7026298,23695960,548189390,603,2343,2,1,4,4,887,1,545742860,498272916,56804429,38125890,38142274,2,1,1677539160,73389,73389,4,4,4,38125890,22,1,3,185206,25464842,2928031,16872,4166,545742860,11512929,4100067,11032
10185.54,38,262144,64,30299,1996341608,113,0,603,11606286,20,4773,60,68,249643,128250912,1208,1,67,4912,979231,3,302328,603,19544,98935720,10006013,31682191,637462281,603,2343,2,1,4,4,887,1,634609676,587009888,95990009,45010600,45026984,2,1,1980466400,73389,73389,4,4,4,45010600,22,1,3,199018,28119718,3084446,19586,4844,634609676,11586700,6923418,11032
15615.15,38,262144,64,35081,2311327472,114,0,603,11701440,20,6173,60,68,249643,128250912,1208,1,67,5611,1159116,3,302328,603,22344,100257704,11373467,37135884,729640255,603,2343,2,1,4,4,887,1,726360076,678993270,116593330,52182030,52198414,2,1,2296009320,73389,73389,4,4,4,52182030,22,1,3,201710,31570782,3169646,33160,5544,726360076,11668280,8205838,11032
20680.39,38,262144,64,40639,2677700176,115,0,603,11796008,20,7742,60,68,249643,128516364,1208,1,67,6430,1335257,3,302328,603,25620,101803496,15382187,47834173,837489924,603,2343,2,1,4,4,887,1,833708044,786154612,193134600,60504214,60520598,2,1,2662185416,73389,73389,4,4,4,60504214,22,1,3,215448,34584917,3346796,36457,6363,833708044,11759551,12037275,11032
25713.41,38,262144,64,45315,2985739224,115,0,603,11879724,20,9017,60,68,249643,128516364,1208,1,67,7118,1426240,3,302328,603,28368,103105448,16611500,53285318,927953511,603,2343,2,1,4,4,887,1,923754508,876230394,224298477,67503612,67519996,2,1,2970158928,73389,73389,4,4,4,67503612,22,1,3,220142,37194933,3427548,38984,7050,923754508,11840740,13186368,11032
30726.46,38,262144,64,50893,3353157196,116,0,603,11978542,20,10593,60,68,249643,128516364,1208,1,67,7938,1550983,3,302328,603,31648,104655336,19672100,60253042,1035934405,603,2343,2,1,4,4,887,1,1031233548,983669214,277683807,75860723,75877107,2,1,3337871812,73389,73389,4,4,4,75860723,22,1,3,232220,39921804,3579926,42215,7871,1031233548,11936327,16095223,11032
35751.43,38,262144,64,55837,3679025344,117,0,603,12113128,20,11996,60,68,249643,128769750,1208,1,67,8663,1658768,3,302328,603,34548,106027880,21441095,65807059,1131405641,603,2343,2,1,4,4,887,1,1126260748,1078951042,306673888,83275754,83275754,2,1,3663412280,73389,73389,4,4,4,83259370,22,1,3,235632,42916757,3696578,91647,8595,1126260748,12021481,17747678,11032
40784.92,38,262144,64,59737,3936208456,118,0,603,12184584,20,13115,60,68,249643,129035202,1208,1,67,9235,1716007,3,302328,603,36840,124842768,23017428,71181287,1206743332,603,2343,2,1,4,4,887,1,1201233932,1154191980,365446655,89103696,89120080,2,1,3920562624,73389,73389,4,4,4,89103696,22,1,3,239963,45685709,3770761,94127,9167,1201233932,12090457,19250160,11032
45903.89,38,262144,64,64527,4251718608,119,0,603,12258089,20,14477,60,68,249643,129035202,1208,1,67,9940,1770768,3,302328,603,39664,126187024,25703451,81401373,1299715309,603,2343,2,1,4,4,887,1,1293770764,1246419179,529129551,96275126,96291510,2,1,4236105544,73389,73389,4,4,4,96275126,22,1,3,246143,48860480,3885138,96764,9873,1293770764,12161325,21821590,11032
50976.80,38,262144,64,69222,4561002840,119,0,603,12339935,20,15758,60,68,249643,129035202,1208,1,67,10630,1907961,3,302328,603,42420,127491216,26904941,86040652,1390449016,603,2343,2,1,4,4,887,1,1384079372,1336828820,589148973,103307292,103323676,2,1,4545520848,73389,73389,4,4,4,103307292,22,1,3,248864,52233978,3963508,101127,10562,1384079372,12238808,22944736,11032
56041.81,38,262144,64,73625,4851416012,120,0,603,12419151,20,17008,60,68,249643,129300654,1208,1,67,11276,2106222,3,302328,603,45004,128717776,29367947,94083252,1475526849,603,2343,2,1,4,4,887,1,1468751884,1421691055,616510337,109903123,109919507,2,1,4835737412,73389,73389,4,4,4,109903123,22,1,3,251105,55436312,4045795,103666,11208,1468751884,12315485,25326177,11032
61682.23,38,262144,64,78771,5190256980,121,0,603,12508496,20,18473,60,68,249643,129300654,1208,1,67,12033,2249702,3,302328,603,48036,130154640,31637571,100668799,1575347820,603,2343,2,1,4,4,887,1,1568104460,1520766610,696132811,117615225,117631609,2,1,5175069900,73389,73389,4,4,4,117615225,22,1,3,254374,58935707,4143043,114205,11966,1568104460,12394291,27499056,11032
66718.66,38,262144,64,82298,5422729712,122,0,603,12567226,20,19481,60,68,249643,129566106,1208,1,67,12550,2520908,3,302328,603,50104,131136400,33089575,106426933,1643441835,603,2343,2,1,4,4,887,1,1635868684,1588695053,726418236,122904654,122904654,2,1,5407804776,73389,73389,4,4,4,122904654,22,1,3,257682,62299915,4220230,116135,12483,1635868684,12451091,28874104,11032
71768.10,38,262144,64,85624,5642029708,122,0,603,12623805,20,20396,60,68,249643,129566106,1208,1,67,13041,2664418,3,302328,603,52064,132065744,35758638,114709194,1707979044,603,2343,2,1,4,4,887,1,1700093964,1652813378,914134158,127882787,127899171,2,1,5626842628,73389,73389,4,4,4,127882787,22,1,3,260007,65353799,4309718,118337,12973,1700093964,12505468,31453995,11032
76809.53,38,262144,64,88715,5845397840,123,1,603,12674654,20,21293,60,68,249643,129566106,1208,1,67,13493,2989552,3,302328,603,53872,132924112,37008068,121545140,1767513030,603,2343,2,1,4,4,887,1,1759338508,1712270111,1002219079,132496598,132512982,2,1,5829850312,73389,73389,4,4,4,132496598,22,1,3,262712,68663933,4373743,120226,13425,1759338508,12554428,32639883,11032
81871.75,38,262144,64,92743,6110824768,123,1,603,12736947,20,22383,60,68,249643,129566106,1208,1,67,14087,3073896,3,302328,603,56248,134051344,39126480,128065708,1845746133,603,2343,2,1,4,4,887,1,1837195276,1789795997,1055126453,138523307,138545724,2,1,6095025508,73389,73389,4,4,4,138523307,22,1,3,267918,71655882,4434999,122500,14019,1837195276,12614447,34697473,11032
87468.32,38,262144,64,96945,6387944544,124,1,603,12812494,20,23545,60,68,249643,129831558,1208,1,67,14704,3190262,3,302328,603,58720,135228880,42484292,138397998,1927130236,603,2343,2,1,4,4,887,1,1918197772,1870875210,1199709956,144824226,144840610,2,1,6372265944,73389,73389,4,4,4,144824226,22,1,3,288079,74754169,4648128,132389,14637,1918197772,12680105,37841415,11032
92591.14,38,262144,64,101522,6689495528,125,2,603,12882134,20,24896,60,68,249643,130097010,1208,1,67,15374,3315690,3,302328,603,61396,136498000,44678072,146281660,2015232459,603,2343,2,1,4,4,887,1,2005884940,1958960720,1246427248,151684360,151700744,2,1,6674111840,73389,73389,4,4,4,151684360,22,1,3,295713,77947258,4756740,134917,15306,2005884940,12747217,39926740,11032
98567.47,38,262144,64,106169,6995634032,126,2,603,12964257,20,26219,60,68,249643,130097010,1208,1,67,16057,3503376,3,302328,603,64128,137791632,46890295,153936670,2105188023,603,2343,2,1,4,4,887,1,2095407116,2048432920,1279948193,158642798,158659182,2,1,6980283112,73389,73389,4,4,4,158642798,22,1,3,301323,81417774,4871538,137925,15990,2095407116,12826332,42023856,11032
103626.80,38,262144,64,110351,7271032844,126,2,603,13034218,20,27359,60,68,249643,130097010,1208,1,67,16674,3822291,3,302328,603,66596,138962000,47983630,159000774,2186447327,603,2343,2,1,4,4,887,1,2176278540,2128997265,1323312026,164898883,164915267,2,1,7255550852,73389,73389,4,4,4,164898883,22,1,3,304427,84781078,4926427,140946,16606,2176278540,12893272,43062089,11032
108693.46,38,262144,64,114169,7522842004,127,2,603,13094797,20,28454,60,68,249643,130362462,1208,1,67,17234,3980518,3,302328,603,68840,140030864,50054098,166211673,2260333296,603,2343,2,1,4,4,887,1,2249809932,2202610198,1421725480,170620329,170636713,2,1,7507294476,73389,73389,4,4,4,170620329,22,1,3,315014,88127866,5042814,143198,17167,2249809932,12951599,45015723,11032
113730.43,38,262144,64,118827,7829701404,128,2,603,13168956,20,29766,60,68,249643,130362462,1208,1,67,17915,4082829,3,302328,603,71564,141328208,53787017,178373177,2350020814,603,2343,2,1,4,4,887,1,2339069964,2292312645,1499286469,177595151,177611535,2,1,7814186644,73389,73389,4,4,4,177595151,22,1,3,328422,91117812,5202024,145686,17848,2339069964,13023270,48589406,11032
118789.88,38,262144,64,123559,8141410468,129,2,603,13246362,20,31082,60,68,249643,130362462,1208,1,67,18614,4205073,3,302328,603,74356,142655056,56911864,187360110,2441943114,603,2343,2,1,4,4,887,1,2430558220,2383430477,1565036430,184692853,184692853,2,1,8126485532,73389,73389,4,4,4,184692853,22,1,3,336726,93790652,5346751,148677,18546,2430558220,13097685,51570441,11032
123831.80,38,262144,64,129613,8540289028,130,2,603,13352904,20,32777,60,68,249643,130627914,1208,1,67,19500,4313983,3,302328,603,77904,144340752,60145852,195372278,2558742196,603,2343,2,1,4,4,887,1,2546819084,2500044655,1668102710,193744125,193760509,2,1,8524741500,73389,73389,4,4,4,193744125,22,1,3,354346,96776059,5516815,160567,19433,2546819084,13192337,54633842,11032
128845.59,38,262144,64,144428,9516779360,132,3,603,13573792,20,36934,60,68,249643,131158818,1208,1,67,21680,4353684,3,302328,603,86620,148374352,67187069,201057073,2845545529,603,2343,2,1,4,4,887,1,2832424972,2785501606,1738069279,215948258,215948258,2,1,9501002456,73389,73389,4,4,4,215931874,22,1,3,376830,98604376,5793097,174808,21612,2832424972,13398984,61399747,11032
133859.07,38,262144,64,167055,11007638058,136,5,603,13882996,20,43319,60,68,249643,131689722,1208,1,67,25001,4362642,3,302328,603,99908,171449560,77828316,202271422,3282643696,603,2343,2,1,4,4,887,1,3267715084,3221285005,1763229232,249831136,249831136,2,1,10991849088,73389,73389,4,4,4,249814752,22,1,3,392381,99493829,6148531,182637,24933,3267715084,13700359,71686024,11032
138868.72,38,262144,64,190239,12534729406,140,5,603,14208281,20,49859,60,68,249643,132220626,1208,1,67,28406,4368278,3,302328,603,113540,229545080,88343541,203115185,3730224483,603,2343,2,1,4,4,887,1,3713422878,3667653709,1794386938,284522863,284539247,2,1,12519005972,73389,73389,4,4,4,284522863,22,1,3,410587,100362371,6545255,191374,28338,3713422878,14016907,81805003,11032
143876.12,38,262144,64,213527,14069160786,144,5,603,14538543,20,56449,60,68,249643,132751530,1208,1,67,31826,4373217,3,302328,603,127220,235753400,98184324,203625618,4180287737,603,2343,2,1,4,4,887,1,4161689118,4116229287,1817474402,319411198,319411198,2,1,14053371816,73389,73389,4,4,4,319394814,22,1,3,431555,101156194,6865361,199927,31758,4161689118,14338616,91326744,11032
148885.42,38,262144,64,238317,15702823594,148,5,603,14896544,20,63432,60,68,249643,133547886,1208,1,67,35471,4379010,3,302328,603,141804,259279984,108884375,204007805,4660057501,603,2343,2,1,4,4,887,1,4639446558,4593706327,1854226738,356529472,356545856,2,1,15687296768,73389,73389,4,4,4,356529472,22,1,3,453984,101985652,7194282,208792,35403,4639446558,14687752,101699900,11032
153894.30,38,262144,64,262970,17326977066,152,6,603,15243691,20,70378,60,68,249643,134078790,1208,1,67,39092,4382709,3,302328,603,156292,283462536,119059186,204361182,5136613533,603,2343,2,1,4,4,887,1,5114058270,5068533496,1882635381,393455456,393455456,2,1,17311319168,73389,73389,4,4,4,393439072,22,1,3,468927,102801608,7519578,217555,39024,5114058270,15026136,111550810,11032
158901.75,38,262144,64,287571,18948012250,157,8,603,15614140,20,77340,60,68,249643,134633826,1208,1,67,42707,4388421,3,302328,603,170756,306907368,130465978,204827423,5612393935,603,2343,2,1,4,4,887,1,5587883550,5542450174,1921210575,430280977,430297361,2,1,18932362988,73389,73389,4,4,4,430280977,22,1,3,485982,103644500,7860207,226685,42639,5587883550,15387455,122617185,11032
163909.75,38,262144,64,313701,20669758750,161,9,603,15964479,20,84735,60,68,249643,135406050,1208,1,67,46546,4392022,3,302328,603,186112,313825064,141185903,204974743,6117625580,603,2343,2,1,4,4,887,1,6091068958,6045727601,1951403441,469412324,469428708,2,1,20654142256,73389,73389,4,4,4,469412324,22,1,3,511719,104421154,8168886,235384,46478,6091068958,15729095,133028425,11032
168916.95,38,262144,64,339988,22401535566,166,9,603,16304261,20,92126,60,68,249643,136202406,1208,1,67,50402,4395401,3,302328,603,201540,337529896,152140972,205064474,6624492175,603,2343,2,1,4,4,887,1,6595880748,6551893393,1977769836,508787272,508787272,2,1,22385919072,73389,73389,4,4,4,508770888,22,1,3,529235,105163575,8409443,244203,50334,6595880748,16060058,143743595,11032
173925.65,38,262144,64,366400,24142040736,170,10,603,16649742,20,99589,60,68,249643,136998762,1208,1,67,54283,4398923,3,302328,603,217064,344500008,161601527,205113459,7135231550,603,2343,2,1,4,4,887,1,7104571180,7060719146,2000617153,548342444,548342444,2,1,24126346640,73389,73389,4,4,4,548326060,22,1,3,537777,105909460,8621715,253852,54215,7104571180,16395890,152991470,11032
178932.40,38,262144,64,393259,25911804300,175,10,603,17015223,20,107149,60,68,249643,137770986,1208,1,67,58229,4401962,3,302328,603,232852,368556616,172673578,205164027,7654534568,603,2343,2,1,4,4,887,1,7621781292,7578024891,2026901186,588561168,588577552,2,1,25896691392,73389,73389,4,4,4,588561168,22,1,3,561154,106675421,8874389,262252,58161,7621781292,16752971,163810281,11032
