timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5516.29,29,262144,64,25256,1663985396,112,1,603,4134795,29,3371,62,68,156544,127985460,1208,1,67,4170,1086188,3,179090,603,16584,116083824,5657821,18527830,539743819,603,1775,2,1,4,4,796,1,537354252,489804835,47120356,37464497,37480881,2,1,1648437868,73389,73389,4,4,4,37464497,21,3,77156,21014698,1023422,16479,4102,537354252,4118316,4634864,32844
10771.12,29,262144,64,30594,2015940180,113,1,603,4216521,29,4884,62,68,156544,128250912,1208,1,67,4955,1329284,3,179090,603,19724,117571376,8197149,25742504,643115491,603,1775,2,1,4,4,796,1,640245772,592756175,78770443,45459001,45475385,2,1,2000196044,73389,73389,4,4,4,45459001,21,3,87975,24286676,1144121,19407,4887,640245772,4197114,7054434,32844
16010.63,29,262144,64,35831,2360744924,114,1,603,4309498,29,6377,62,68,156544,128250912,1208,1,67,5722,1525142,3,179090,603,22796,135989976,10850776,32652443,744122285,603,1775,2,1,4,4,796,1,740777996,693482361,118224427,53302175,53318559,2,1,2345295700,73389,73389,4,4,4,53302175,21,3,93120,27437562,1245430,25067,5654,740777996,4284431,9606991,32844
21064.07,29,262144,64,40661,2679141968,115,1,603,4394573,29,7748,62,68,156544,128516364,1208,1,67,6433,1684003,3,179090,603,25640,137337624,13537255,40098692,837754225,603,1775,2,1,4,4,796,1,833970188,786565199,154060578,60536982,60553366,2,1,2663627208,73389,73389,4,4,4,60536982,21,3,94995,30342307,1327132,29051,6365,833970188,4365522,12211914,32844
26160.94,29,262144,64,46185,3043020996,116,1,603,4499644,29,9309,62,68,156544,128516364,1208,1,67,7246,1850947,3,179090,603,28892,138869784,16709699,47131574,944812068,603,1775,2,1,4,4,796,1,940531724,892980583,202201204,68812173,68828557,2,1,3027735612,73389,73389,4,4,4,68812173,21,3,100608,33074253,1478847,32494,7178,940531724,4467150,15233287,32844
31194.51,29,262144,64,51765,3410835492,116,1,603,4591359,29,10832,62,68,156544,128516364,1208,1,67,8066,1998950,3,179090,603,32172,140416024,18934202,52415752,1052786338,603,1775,2,1,4,4,796,1,1048010764,1000574649,230422728,77167125,77183509,2,1,3395353500,73389,73389,4,4,4,77167125,21,3,103388,36085056,1565655,36194,7998,1048010764,4555165,17369075,32844
36567.66,29,262144,64,55816,3677649088,117,1,603,4657973,29,11992,62,68,156544,128769750,1208,1,67,8660,2159056,3,179090,603,34548,141537304,20169020,57422403,1131022855,603,1775,2,1,4,4,796,1,1125867532,1078558705,249894279,83242986,83242986,2,1,3662691384,73389,73389,4,4,4,83242986,21,3,108473,39176671,1656138,38841,8592,1125867532,4619132,18514152,32844
41904.31,29,262144,64,60826,4008108064,118,1,603,4739566,29,13414,62,68,156544,129035202,1208,1,67,9397,2381262,3,179090,603,37496,142936536,23963503,65982209,1228080956,603,1775,2,1,4,4,796,1,1222467596,1175163094,354178927,90754162,90754162,2,1,3993183128,73389,73389,4,4,4,90754162,21,3,112043,42167208,1770941,41730,9329,1222467596,4697836,22194633,32844
46940.93,29,262144,64,65373,4307427516,119,1,603,4814044,29,14708,62,68,156544,129035202,1208,1,67,10064,2555123,3,179090,603,40168,144200408,25926932,72095944,1316049394,603,1775,2,1,4,4,796,1,1310023692,1262717979,383464295,97542727,97559111,2,1,4291879988,73389,73389,4,4,4,97542727,21,3,115205,45430420,1839473,49364,9997,1310023692,4764680,24089893,32844
51982.87,29,262144,64,69969,4610489136,120,1,603,4888902,29,16002,62,68,156544,129300654,1208,1,67,10742,2646043,3,179090,603,42876,145481560,29296692,80462588,1405210530,603,1775,2,1,4,4,796,1,1398759436,1351234371,450707015,104433470,104449854,2,1,4595072680,73389,73389,4,4,4,104433470,21,3,118659,48197720,1954542,52245,10674,1398759436,4836657,27344686,32844
