event,value,description
RecomputeWeight,23,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,77571,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,68,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,146,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,146,"Same as Query, but only for SELECT queries."
InitialQuery,146,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,166,Count queries with all subqueries
SelectQueriesWithSubqueries,166,Count SELECT queries with all subqueries
QueryTimeMicroseconds,33626929,Total time of all queries.
SelectQueryTimeMicroseconds,33626929,Total time of SELECT queries.
FileOpen,1743,Number of files opened.
Seek,43280,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,317308,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,149263940376,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,145581696783,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,4371053,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,296767733308,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,26285,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1631,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,18294,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,57683,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,6853187168,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,32016,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,91118612480,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,2786086,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,27522,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,69,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,231,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,273,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,27936,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,69246700,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,6394,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,54013,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,61893,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,56613698,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,881,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,360615,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,241800,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,12586,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,3216249,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,11852,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,11804,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,928136,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,680039,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,11867,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,1638714823,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,2941830,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,108,Total time spent analyzing index of patch parts
JoinBuildTableRowCount,1641277540,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,5057281700,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,3542510840,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,351,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,53085,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,821523,Total time spent executing query plan optimizations.
SelectedParts,372,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,372,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,372,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,1471986,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,1471986,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
