timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.71,0,0,0,0,0,0,0,116,0,0,0,0,17,0,5,1,2097278,2,1,4,4,0,4,19,0,30,19197470,0,0,1832,0,0,0,2,1,4,4,431,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
10017.18,0,0,0,0,0,0,0,116,0,0,0,0,17,0,5,1,2097278,2,1,4,4,0,4,19,0,30,19197470,0,0,1832,0,0,0,2,1,4,4,431,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
15023.81,0,0,0,0,0,0,0,116,0,0,0,0,17,0,5,1,2097278,2,1,4,4,0,4,19,0,30,19197470,0,0,1832,0,0,0,2,1,4,4,431,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
20029.31,14,262144,64,22853,1505706032,16,0,117,0,603,259991,4,17,2672,21,22,127985460,1208,1,20,3769,1231,4,152,603,15088,146122350,3114059,121,492968616,599,1161,4,2,1,4,4,431,1,491085836,443551775,4454470,33874686,33874686,2,1,1490486184,73389,73389,4,4,4,33874686,11,3,171139,513428,1086527,4747,3749,491085836,255244,2027770,2680
25037.54,14,262144,64,54276,3576192744,16,0,122,0,603,570468,4,17,11517,21,22,128769750,1208,1,20,8387,2117,4,152,603,33568,188316094,11907468,824,1100788964,599,1161,4,2,1,4,4,431,1,1096376332,1048893910,19847992,80937160,80937160,2,1,3561235040,73389,73389,4,4,4,80937160,11,3,173469,1168935,1202455,12023,8367,1096376332,558445,10706198,2680
30043.21,14,262144,64,86296,5686069900,16,28410698,127,0,603,938239,4,17,20525,21,22,129566106,1208,1,20,13092,3019,4,152,603,52388,214176686,21799579,5123,1719834339,599,1161,4,2,1,4,4,431,1,1712939020,1665633804,52390545,128882211,128898595,2,1,5670817284,73389,73389,4,4,4,128882211,11,3,182679,1884618,1386770,18605,13072,1712939020,919634,20413698,2680
35048.75,14,262144,64,120576,7944854772,16,28410698,133,0,603,1313116,4,17,30255,21,22,130362462,1208,1,20,18126,3436,4,152,603,72536,257578798,30750420,6064,2382498050,599,1161,4,2,1,4,4,431,1,2372886540,2325952710,82749181,180212273,180228657,2,1,7929340012,73389,73389,4,4,4,180212273,11,3,190298,2611400,1559969,24896,18106,2372886540,1288220,29192444,2680
40054.35,14,262144,64,153400,10107965842,16,28410698,139,1,603,1666945,4,17,39482,21,22,131424270,1208,1,20,22950,3852,4,152,603,91832,266223406,41491726,6671,3017320370,599,1161,4,2,1,4,4,431,1,3005177868,2958295533,104426795,229381806,229381806,2,1,10092799464,73389,73389,4,4,4,229381806,11,3,203447,3317246,1705804,31977,22930,3005177868,1634968,39788603,2680
45060.17,14,262144,64,184306,12143780702,16,28410698,144,2,603,2019996,4,17,48185,21,22,132220626,1208,1,20,27486,4327,4,152,603,109980,291597862,51178379,9084,3613622222,599,1161,4,2,1,4,4,431,1,3599128094,3553400880,138245611,275635431,275651815,2,1,12127958964,73389,73389,4,4,4,275635431,11,3,212731,3994942,1889965,37953,27466,3599128094,1982043,49290821,2680
50067.73,14,262144,64,221237,14577097866,16,28410698,150,2,603,2410120,4,17,58586,21,22,133016982,1208,1,20,32913,4827,4,152,603,131700,352777302,60121275,10638,4327847529,599,1161,4,2,1,4,4,431,1,4310455838,4264687295,162900957,330956712,330956712,2,1,14562095328,73389,73389,4,4,4,330956712,11,3,219318,4764700,2015942,44536,32893,4310455838,2365584,58107544,2680
55074.58,14,262144,64,259657,17108794490,16,28410698,157,2,603,2834864,4,17,69451,21,22,134078790,1208,1,20,38560,5244,4,152,603,154296,414074102,68878601,11978,5070919886,599,1161,4,2,1,4,4,431,1,5050488350,5004711654,178443517,388499740,388499740,2,1,17093988560,73389,73389,4,4,4,388499740,11,3,223028,5578041,2162003,51511,38540,5050488350,2783353,66719676,2680
60081.71,14,262144,64,297027,19571147410,16,28410698,163,2,603,3247930,4,17,79970,21,22,134875146,1208,1,20,44048,5810,4,152,603,176272,509323022,77552934,13452,5793343143,599,1161,4,2,1,4,4,431,1,5769942558,5724619760,200992092,444457838,444457838,2,1,19556144872,73389,73389,4,4,4,444457838,11,3,225474,6380476,2299379,58339,44028,5769942558,3189591,75257101,2680
65089.27,14,262144,64,330868,21800661822,16,28410698,169,2,603,3615266,4,17,89582,21,22,135936954,1208,1,20,49016,6208,4,152,603,196156,569477350,86081203,15149,6446532656,599,1161,4,2,1,4,4,431,1,6420506412,6376195167,222805923,495124348,495140732,2,1,21785471312,73389,73389,4,4,4,495124348,11,3,236543,7105942,2437847,65417,48996,6420506412,3549849,83646931,2680
70098.83,14,262144,64,366247,24132013728,16,28410698,175,2,603,3948843,4,17,99503,21,22,136998762,1208,1,20,54211,6660,4,152,603,216944,613110230,95701482,16810,7130233384,599,1161,4,2,1,4,4,431,1,7101425452,7057796540,242028945,548113068,548113068,2,1,24116254096,73389,73389,4,4,4,548096684,11,3,244285,7793612,2585457,72050,54191,7101425452,3876793,93119533,2680
