timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.66,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,26,0,30,19197470,0,0,1820,0,0,2,1,4,4,375,1,0,0,79,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10021.13,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,26,0,30,19197470,0,0,1820,0,0,2,1,4,4,375,1,0,0,79,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15027.95,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,26,0,30,19197470,0,0,1820,0,0,2,1,4,4,375,1,0,0,79,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20035.73,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,26,0,30,19197470,0,0,1820,0,0,2,1,4,4,375,1,0,0,79,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25043.78,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,26,0,30,19197470,0,0,1820,0,0,2,1,4,4,375,1,0,0,79,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30051.89,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,26,0,30,19197470,0,0,1820,0,0,2,1,4,4,375,1,0,0,79,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
35060.63,37,262144,64,21739,1432433476,5,116,0,603,346510,7,2337,10,127985460,1208,1,9,3594,4155,4,182,603,14406,127015574,3960022,11334,471468108,603,1155,2,1,4,4,375,1,469631188,422131493,5042035,32205677,32222061,2,1,1417049788,73389,73389,4,4,4,32205677,10,3,106861,695472,952657,8375,3585,469631188,338135,3007328,4537
40067.92,37,262144,64,50187,3306623328,9,121,0,603,724308,7,10403,14,128516364,1208,1,13,7777,5634,4,1039,603,31134,151764230,13098475,22047,1021423044,603,1155,2,1,4,4,375,1,1017339916,970101771,25929383,74806114,74822498,2,1,3291469016,73389,73389,4,4,4,74806114,10,3,144777,1449849,1228046,16519,7764,1017339916,707789,11870018,4537
45075.67,37,262144,64,82474,5434264048,9,127,1,603,1135058,7,19481,14,129566106,1208,1,13,12521,6301,4,1039,603,50110,160265478,23313860,25069,1645733461,603,1155,2,1,4,4,375,1,1639145484,1592067978,54967779,123166798,123166798,2,1,5419339112,73389,73389,4,4,4,123166798,10,3,161989,2209262,1417066,24135,12508,1639145484,1110923,21896287,4537
50082.61,37,262144,64,114206,7525266836,9,132,1,603,1493979,7,28409,14,130362462,1208,1,13,17185,6969,4,1039,603,68766,168623366,32898940,27325,2259540051,603,1155,2,1,4,4,375,1,2250465292,2203326645,84578718,170685865,170685865,2,1,7510178060,73389,73389,4,4,4,170685865,10,3,173323,2916862,1586613,31214,17172,2250465292,1462765,31312495,4537
