timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.58,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
10015.66,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
15020.65,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
20025.84,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
25030.95,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
30036.36,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
35042.51,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
40051.52,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
45058.13,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
50067.11,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
55075.33,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
60083.34,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
65090.75,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
70097.93,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
75105.64,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
80113.46,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
85122.31,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
90131.97,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
95139.72,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
100147.58,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
105155.32,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
110164.85,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
115172.00,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
120181.32,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
125189.13,0,0,0,0,0,0,81,0,0,0,0,9,0,5,0,2097278,2,1,0,409,0,11,0,4,4,0,4,18,0,30,16822080,0,0,1830,0,0,0,3,1,4,4,970,3,0,0,73,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
