timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.80,0,0,0,0,0,0,116,0,0,0,0,7,0,5,2097278,2,1,4,4,0,4,15,0,32,16830496,0,0,1831,0,0,0,2,1,4,4,317,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10022.28,0,0,0,0,0,0,116,0,0,0,0,7,0,5,2097278,2,1,4,4,0,4,15,0,32,16830496,0,0,1831,0,0,0,2,1,4,4,317,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15030.59,0,0,0,0,0,0,116,0,0,0,0,7,0,5,2097278,2,1,4,4,0,4,15,0,32,16830496,0,0,1831,0,0,0,2,1,4,4,317,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20045.76,0,0,0,0,0,0,116,0,0,0,0,7,0,5,2097278,2,1,4,4,0,4,15,0,32,16830496,0,0,1831,0,0,0,2,1,4,4,317,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25052.53,0,0,0,0,0,0,116,0,0,0,0,7,0,5,2097278,2,1,4,4,0,4,15,0,32,16830496,0,0,1831,0,0,0,2,1,4,4,317,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30059.59,3,0,0,3602,237387932,1,116,0,108,59188,0,7,336,6,24457950,218,1,5,605,822,4,32,108,2440,34683608,475924,59,78725542,108,123,0,2,1,4,4,317,1,78422428,69975581,651741,5322197,5338581,2,1,234176668,73389,73389,4,4,4,5322197,10,3,39118,113470,234588,853,600,78422428,58335,241579,603
35066.37,30,262144,64,33889,2232943108,9,119,0,603,494909,4,7,5786,14,128250912,1208,1,13,5384,4681,4,97,603,21540,43238552,6243605,16352,706409991,599,797,4,2,1,4,4,317,1,703684620,656148989,9524178,50406525,50406525,2,1,2217887100,73389,73389,4,4,4,50406525,10,3,86813,1008704,900813,10112,5371,703684620,484797,5343976,3596
40072.40,30,262144,64,63905,4210689764,9,124,0,603,878797,4,7,14255,14,129035202,1208,1,13,9795,5984,4,97,603,39184,51143256,16733247,20443,1286855392,599,797,4,2,1,4,4,317,1,1281843212,1234418117,38749184,95351589,95367973,2,1,4195469916,73389,73389,4,4,4,95351589,10,3,111069,1748215,1095751,16721,9782,1281843212,862076,15639309,3596
45078.93,30,262144,64,98597,6496740920,9,129,0,603,1309926,4,7,24041,14,129831558,1208,1,13,14893,6637,4,97,603,59592,127816080,25722444,22661,1957799675,599,797,4,2,1,4,4,317,1,1950048268,1902659943,58843358,147310276,147310276,2,1,6480931248,73389,73389,4,4,4,147293892,10,3,126048,2547662,1282629,23444,14880,1950048268,1286482,24441685,3596
50084.78,30,262144,64,133468,8794257568,9,135,2,603,1722228,4,7,33827,14,130627914,1208,1,13,20011,7460,4,97,603,80076,187938432,35294383,25577,2631397430,599,797,4,2,1,4,4,317,1,2620874764,2574320220,79872223,199525074,199525074,2,1,8778382360,73389,73389,4,4,4,199508690,10,3,148781,3335639,1482252,30185,19998,2620874764,1692043,33813931,3596
