timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.94,0,0,0,0,0,0,0,116,0,0,5,0,5,0,2097278,2,1,4,4,0,4,17,0,30,16828672,0,0,1781,0,0,2,1,4,4,394,1,0,0,65,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10017.52,5,0,0,8907,586419870,2,0,116,271,113845,5,832,7,57,57833819,543,1,6,1491,635,4,92,271,5972,19488576,1186231,89,195033359,271,274,2,1,4,4,394,1,194290076,172916672,1531158,13167530,13183914,2,1,579371320,73389,73389,4,4,4,13167530,10,3,116963,214466,652411,1833,1485,194290076,112012,534039,1240
15023.82,9,262144,64,44730,2947400664,16,0,120,603,481837,5,8858,21,101,128516364,1208,1,20,6983,1698,4,197,603,27948,168118080,9343728,1057,915889995,603,524,2,1,4,4,394,1,912351244,864971188,17136587,66635260,66651644,2,1,2931951440,73389,73389,4,4,4,66635260,10,3,154550,975107,1045244,9405,6963,912351244,472432,8299680,2479
20028.85,9,262144,64,75887,5000189348,16,19058929,126,603,813042,5,17630,21,101,129300654,1208,1,20,11561,2241,4,197,603,46268,209982008,19448239,7369,1518369841,603,524,2,1,4,4,394,1,1512398860,1465217787,43431685,113298485,113298485,2,1,4985133340,73389,73389,4,4,4,113298485,10,3,177948,1650688,1219553,15986,11541,1512398860,797056,18230786,2479
25034.39,9,262144,64,113734,7494068392,16,19058929,132,603,1200234,5,28280,21,101,130362462,1208,1,20,17125,2622,4,197,603,68540,305112960,28043592,9684,2250543695,603,524,2,1,4,4,394,1,2241552396,2194248532,58931778,169958936,169975320,2,1,7478193184,73389,73389,4,4,4,169958936,10,3,182132,2420905,1378519,22796,17105,2241552396,1177438,26667825,2479
30039.89,9,262144,64,151863,10006440654,16,19058929,138,603,1589332,5,39008,21,101,131158818,1208,1,20,22723,3483,4,197,603,90956,401427008,36690753,10566,2987447956,603,524,2,1,4,4,394,1,2975424524,2928696320,74431199,227069947,227069947,2,1,9991077668,73389,73389,4,4,4,227069947,10,3,191821,3206415,1552126,29786,22703,2975424524,1559546,35142392,2479
35044.93,9,262144,64,189807,12506152402,16,19058929,145,603,2009071,5,49742,21,101,132220626,1208,1,20,28294,4125,4,197,603,113248,445758360,45346463,11858,3720072487,603,524,2,1,4,4,394,1,3705034270,3659273974,102047094,283877854,283894238,2,1,12490625576,73389,73389,4,4,4,283877854,10,3,195606,4018790,1715160,36483,28274,3705034270,1972588,43635174,2479
40049.47,9,262144,64,227678,15001604310,16,19058929,151,603,2405943,5,60452,21,101,133282434,1208,1,20,33859,4635,4,197,603,135516,489651712,54042783,12593,4452492696,603,524,2,1,4,4,394,1,4434449950,4388776528,125220263,340603841,340603841,2,1,14985848108,73389,73389,4,4,4,340587457,10,3,209700,4803920,1883394,43189,33839,4434449950,2362754,52164121,2479
45055.46,9,262144,64,261807,17250493246,16,19058929,157,603,2793730,5,70091,21,101,134078790,1208,1,20,38871,4866,4,197,603,155568,515696712,63452277,14007,5112088862,603,524,2,1,4,4,394,1,5091382814,5046081672,144623880,391712719,391729103,2,1,17235359636,73389,73389,4,4,4,391712719,10,3,222668,5537215,2052234,50041,38852,5091382814,2743690,61405185,2479
50061.78,9,262144,64,297907,19629084542,16,19058929,163,603,3159423,5,80210,21,101,134875146,1208,1,20,44178,5450,4,197,603,176804,559870864,74040089,15119,5810558649,603,524,2,1,4,4,394,1,5786981918,5741559178,195406289,445774591,445774591,2,1,19614082004,73389,73389,4,4,4,445774591,10,3,232600,6279186,2215726,56570,44158,5786981918,3102853,71829494,2479
