timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.90,7,262144,64,54297,3577569000,64,52,122,603,742293,36,23,11576,69,198,128769750,1208,1,68,8438,19029,4,597,603,33678,188018464,17066364,669706,1101249585,567,737,36,16,1,2,1,4,4,389,1,1096769548,1049284937,29288969,80969928,80969928,2,1,3561955936,73389,73389,4,4,4,80953544,21,3,402794,1774730,6801437,13683,8370,1096769548,728610,10265641,14614
10019.33,7,262144,64,85263,5618105760,64,52,127,603,1078746,36,23,20297,69,198,129566106,1208,1,68,12986,19464,4,597,603,51870,196174624,26260048,826419,1699746096,567,737,36,16,1,2,1,4,4,389,1,1692885004,1645766105,71094699,127336082,127352466,2,1,5602787608,73389,73389,4,4,4,127336082,21,3,440980,2479507,7031491,20038,12918,1692885004,1058708,19229825,14614
15025.25,7,262144,64,118884,7833436956,64,52,133,603,1423177,36,23,29777,69,198,130362462,1208,1,68,17924,19888,4,597,603,71630,238966712,36063337,828874,2349606729,567,737,36,16,1,2,1,4,4,389,1,2340118540,2293376829,89255110,177693455,177693455,2,1,7817791124,73389,73389,4,4,4,177677071,21,3,458083,3154317,7202778,26240,17856,2340118540,1396937,28861345,14614
20030.78,7,262144,64,157702,10391228974,64,52,139,603,1764697,36,23,40655,69,198,131424270,1208,1,68,23627,20396,4,597,603,94454,300328632,45661022,830540,3100141775,567,737,36,16,1,2,1,4,4,389,1,3087622156,3041131599,105075393,235818115,235818115,2,1,10375997060,73389,73389,4,4,4,235818115,21,3,465891,3857853,7354566,32661,23559,3087622156,1732036,38307222,14614
25036.64,7,262144,64,196719,12961791754,64,52,146,603,2139631,36,23,51680,69,198,132486078,1208,1,68,29361,20714,4,597,603,117394,327381232,54514366,830833,3854203842,567,737,36,16,1,2,1,4,4,389,1,3838596638,3792508718,120539001,294243720,294243720,2,1,12946002784,73389,73389,4,4,4,294227336,21,3,470610,4617843,7512440,39619,29293,3838596638,2100012,47003337,14614
30043.18,7,262144,64,233902,15411889442,64,52,153,603,2484240,36,23,62207,69,198,133547886,1208,1,68,34824,21036,4,597,603,139262,405341120,63384773,831406,4573193841,567,737,36,16,1,2,1,4,4,389,1,4554642974,4508669750,135953340,349923290,349939674,2,1,15396624760,73389,73389,4,4,4,349923290,21,3,471813,5313803,7618802,46438,34756,4554642974,2437802,55767355,14614
35048.74,7,262144,64,270701,17836555854,64,52,159,603,2817201,36,23,72572,69,198,134344242,1208,1,68,40228,21420,4,597,603,160898,500733568,72161942,831927,5284420895,567,737,36,16,1,2,1,4,4,389,1,5262956062,5217440148,173110274,405039771,405039771,2,1,17821749924,73389,73389,4,4,4,405039771,21,3,473881,5983204,7759912,52816,40161,5262956062,2764386,64404418,14614
40054.01,7,262144,64,306878,20220458874,64,52,165,603,3149391,36,23,82766,69,198,135406050,1208,1,68,45542,21861,4,597,603,182186,647675128,80969027,832654,5983799678,567,737,36,16,1,2,1,4,4,389,1,5959472670,5914382813,188539202,459214172,459214172,2,1,20205423568,73389,73389,4,4,4,459214172,21,3,475425,6646482,7887965,59683,45474,5959472670,3089708,73082761,14614
45059.48,7,262144,64,343058,22603792894,64,52,171,603,3484494,36,23,92960,69,198,136202406,1208,1,68,50856,22217,4,597,603,203466,759539884,89820839,833444,6682576594,567,737,36,16,1,2,1,4,4,389,1,6655387436,6611041815,215192432,513382540,513382540,2,1,22588110864,73389,73389,4,4,4,513366156,21,3,484990,7314838,8047087,66804,50788,6655387436,3417690,81775848,14614
50065.10,7,262144,64,376811,24828052360,64,52,177,603,3804491,36,23,102494,69,198,137264214,1208,1,68,55814,22596,4,597,603,223302,785447212,98525364,833822,7335102976,567,737,36,16,1,2,1,4,4,389,1,7305242412,7261251870,230245539,563917978,563934362,2,1,24812391032,73389,73389,4,4,4,563917978,21,3,487944,7955233,8180927,74070,55746,7305242412,3730421,90346457,14614
