timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.24,0,0,0,3485,229454768,5,116,0,126,55065,0,7,328,10,39,27734862,254,1,9,606,1144,4,136,126,2420,17894976,759475,4978,78075576,126,163,0,2,1,4,4,357,1,77767068,67765018,940801,5103172,5168708,2,1,224539568,73389,73389,4,4,4,5103172,10,3,62192,109975,469314,877,597,77767068,54188,290371,810
10019.02,20,262144,64,45822,3019231428,11,121,2,603,608383,2,7,9141,16,39,128516364,1208,1,15,7140,5654,4,206,603,28592,201600856,10765301,11610,937302659,601,834,2,2,1,4,4,357,1,933584908,886066729,21780932,68271501,68271501,2,1,3003946044,73389,73389,4,4,4,68271501,10,3,237568,1209700,2118870,11901,7125,933584908,596482,8646943,3564
15025.36,20,262144,64,75464,4972467620,11,125,4,603,968536,2,7,17513,16,39,129300654,1208,1,15,11495,8039,4,206,603,46016,226706280,21370345,15906,1510424456,601,834,2,2,1,4,4,357,1,1504403468,1457109903,43200019,112667701,112667701,2,1,4956657948,73389,73389,4,4,4,112651317,10,3,257321,1968481,2372601,21076,11480,1504403468,947460,18999053,3564
20033.28,20,262144,64,103560,6823854252,11,130,5,603,1311174,2,7,25397,16,39,130097010,1208,1,15,15622,9857,4,206,603,62532,268417568,31543104,17353,2053541994,601,834,2,2,1,4,4,357,1,2045337612,1998263592,75944182,154733499,154749883,2,1,6808273956,73389,73389,4,4,4,154733499,10,3,278686,2678236,2587043,27785,15607,2045337612,1283389,28958293,3564
25040.44,20,262144,64,133496,8796092576,11,135,5,603,1698866,2,7,33836,16,39,130627914,1208,1,15,20017,11686,4,206,603,80112,293552080,40714126,19424,2631900172,601,834,2,2,1,4,4,357,1,2621267980,2574838934,96250700,199557842,199574226,2,1,8780545048,73389,73389,4,4,4,199557842,10,3,281398,3444061,2749257,34763,20002,2621267980,1664103,37967859,3564
30048.27,20,262144,64,161555,10645066442,11,140,7,603,2045586,2,7,41808,16,39,131424270,1208,1,15,24143,13056,4,206,603,96620,300948432,49544270,22239,3175004371,601,834,2,2,1,4,4,357,1,3162202124,3115302269,125268893,241574488,241590872,2,1,10629277472,73389,73389,4,4,4,241574488,10,3,289347,4167457,2902698,43542,24128,3162202124,2002044,46645097,3564
35060.11,20,262144,64,192153,12660961666,11,146,7,603,2419138,2,7,50435,16,39,132486078,1208,1,15,28636,14780,4,206,603,114604,360298592,59774987,24000,3765735183,601,834,2,2,1,4,4,357,1,3750516254,3704536072,146360320,287408162,287408162,2,1,12645238232,73389,73389,4,4,4,287391778,10,3,303748,4921293,3094031,51477,28621,3750516254,2367661,56686186,3564
40068.25,20,262144,64,222695,14673445710,11,151,7,603,2814446,2,7,59041,16,39,133282434,1208,1,15,33123,16722,4,206,603,132560,402499848,69246481,26986,4356309026,601,834,2,2,1,4,4,357,1,4338636318,4292823871,167789504,333145691,333145691,2,1,14658410404,73389,73389,4,4,4,333145691,10,3,314638,5706503,3295656,58301,33108,4338636318,2756145,65955008,3564
45077.53,20,262144,64,254299,16755528986,11,156,7,603,3208944,2,7,67934,16,39,133813338,1208,1,15,37764,18565,4,206,603,151124,410816520,79438004,27983,4967065501,601,834,2,2,1,4,4,357,1,4946941470,4901427462,199869243,380472468,380472468,2,1,16740788592,73389,73389,4,4,4,380472468,10,3,324131,6492963,3473735,65530,37749,4946941470,3143414,75967818,3564
50086.31,20,262144,64,286736,18893000106,11,161,8,603,3622088,2,7,77054,16,39,134609694,1208,1,15,42533,20381,4,206,603,170200,436165168,89102886,30117,5594561978,601,834,2,2,1,4,4,357,1,5571892766,5526362854,224361543,429029760,429046144,2,1,18877309440,73389,73389,4,4,4,429029760,10,3,334231,7293031,3652070,73100,42518,5571892766,3548988,85455068,3564
55091.68,20,262144,64,317091,20893253050,11,166,8,603,4027604,2,7,85609,16,39,135406050,1208,1,15,46989,22235,4,206,603,188036,478109712,98646990,31937,6181208323,601,834,2,2,1,4,4,357,1,6156080670,6111098195,255128088,474505145,474505145,2,1,20878226380,73389,73389,4,4,4,474505145,10,3,342532,8090145,3821373,80220,46974,6156080670,3947384,94830348,3564
60106.40,20,262144,64,346488,22829908634,11,172,8,603,4418402,2,7,94004,16,39,136467858,1208,1,15,51305,24007,4,206,603,205312,537084296,107463918,35094,6748641496,601,834,2,2,1,4,4,357,1,6721185580,6677121708,273637726,518508129,518524513,2,1,22814357676,73389,73389,4,4,4,518508129,10,3,348537,8863519,3998534,88662,51290,6721185580,4329740,103470118,3564
