timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.49,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
10020.96,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
15028.71,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
20034.84,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
25040.95,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
30048.08,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
35055.04,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
40062.14,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
45069.76,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
50077.38,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
55083.66,0,0,0,0,0,0,0,116,0,0,0,29,0,5,2097278,2,1,4,4,0,4,41,0,30,16812096,0,0,1799,0,0,2,1,4,4,660,1,0,0,148,0,0,2,1,0,73389,73389,4,4,4,0,14,3,0,0,0,0,0,0,0,0,0
60090.69,18,0,0,13765,906651922,1,0,116,0,414,216822,29,1284,6,87858600,830,1,5,2296,1847,4,77,414,9202,37696728,1768940,1864,301170000,414,741,2,1,4,4,660,1,300024020,267316000,2427800,20369569,20385953,2,1,896261036,73389,73389,4,4,4,20369569,14,3,52873,426481,684766,4801,2291,300024020,212021,1084401,3161
65097.86,30,262144,64,42740,2816187668,10,0,120,0,603,609014,29,8261,15,128516364,1208,1,14,6685,5013,4,147,603,26744,62329168,9922387,20446,877526781,603,1068,2,1,4,4,660,1,874078220,826640673,18309545,63651657,63668041,2,1,2800672908,73389,73389,4,4,4,63651657,14,3,140291,1229339,1223269,13099,6671,874078220,595915,8699463,4334
70104.42,30,262144,64,70786,4664297500,10,0,125,0,603,989006,29,16184,15,129300654,1208,1,14,10807,5875,4,147,603,43232,86620304,19329940,29009,1419855975,603,1068,2,1,4,4,660,1,1414225932,1366980729,42486570,105651919,105668303,2,1,4648684436,73389,73389,4,4,4,105651919,14,3,161148,1937706,1427890,20493,10793,1414225932,968513,17902355,4334
75110.32,30,262144,64,102775,6772143040,10,0,130,0,603,1391948,29,25238,15,130097010,1208,1,14,15506,6360,4,147,603,62036,129056504,27827212,29350,2038291993,603,1068,2,1,4,4,660,1,2030133260,1983112852,61567572,153564202,153580586,2,1,6756824888,73389,73389,4,4,4,153564202,14,3,169237,2684583,1579558,27279,15492,2030133260,1364669,26247364,4334
80116.44,30,262144,64,121474,8003971552,10,0,133,0,603,1621728,29,30503,15,130362462,1208,1,14,18251,6694,4,147,603,73016,133975544,34916428,30926,2399578342,603,1068,2,1,4,4,660,1,2389925900,2343183621,82185646,181561794,181578178,2,1,7988718936,73389,73389,4,4,4,181561794,14,3,182635,3149837,1736672,40899,18237,2390056972,1580892,33178962,4334
85121.75,30,262144,64,146715,9667456548,10,0,137,0,603,1885508,29,37604,15,131158818,1208,1,14,21962,7099,4,147,603,87860,140625656,43992404,31486,2887991764,603,1068,2,1,4,4,660,1,2876334092,2829543510,106398800,219357845,219374229,2,1,9651745180,73389,73389,4,4,4,219357845,14,3,200877,3691010,1937174,52119,21948,2876334092,1833389,42054742,4334
