timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.90,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
10020.08,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
15028.89,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
20035.44,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
25043.78,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
30055.81,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
35062.24,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
40069.31,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
45077.09,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
50084.37,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
55091.08,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
60098.04,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
65104.13,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
70110.27,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
75116.28,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
80123.25,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
85131.64,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
90139.12,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
95146.05,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
100151.97,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
105158.76,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
110165.37,0,0,0,0,0,0,81,0,0,0,13,0,5,2097278,2,1,0,536,0,15,0,4,4,0,4,19,0,28,16820352,0,0,1836,0,0,3,1,4,4,1162,3,0,0,91,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
115187.03,94,262144,64,12881,849840236,8,134,1,576,284235,13,5054,13,102699406,1154,1,4,536,15890057,15,63495608,12,2577,371082,4,4308,576,11196,4188365424,16435561,18403253,304811659,576,1487,3,1,4,4,1162,3,303185671,270536374,35918251,16148530,16164914,3,1,839723592,73389,73389,4,4,4,16148534,11,3,106777,7302887,589188,12157,2565,303185671,272078,15847178,24319
