timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.50,4,262144,64,53715,3539427048,64,62,122,603,720513,11,11363,69,166,128769750,1208,1,68,8351,29920,4,2625,603,33314,117205840,15046885,855114,1089791538,603,1380,2,1,4,4,351,1,1085366284,1038157781,24436645,80101576,80101576,2,1,3523748448,73389,73389,4,4,4,80085192,8,3,346967,1933926,4207814,13000,8283,1085366284,707513,10839506,7497
10020.11,4,262144,64,84436,5563642036,64,62,127,603,1022318,11,20072,69,166,129566106,1208,1,68,12866,30202,4,2625,603,51374,125296720,23291677,855778,1683991644,603,1380,2,1,4,4,351,1,1677156364,1629902600,44338947,126101249,126117633,2,1,5548454956,73389,73389,4,4,4,126101249,8,3,360556,2537232,4381075,19106,12798,1677156364,1003212,18911002,7497
15025.59,4,262144,64,114900,7571014272,64,62,132,603,1335079,11,28598,69,166,130362462,1208,1,68,17340,30570,4,2625,603,69274,150285512,33929053,856149,2272782978,603,1380,2,1,4,4,351,1,2263572492,2216727097,67392353,171724090,171724090,2,1,7555139064,73389,73389,4,4,4,171707706,8,3,371348,3156656,4528572,25380,17272,2263572492,1309699,29401469,7497
20031.81,4,262144,64,148265,9769314866,64,62,138,603,1684549,11,38029,69,166,131158818,1208,1,68,22243,30803,4,2625,603,88890,193000344,43878708,856999,2917904930,603,1380,2,1,4,4,351,1,2906087436,2859371062,89107624,221682214,221682214,2,1,9754017416,73389,73389,4,4,4,221682214,8,3,386682,3831740,4728791,32040,22175,2906087436,1652509,39151495,7497
25038.23,4,262144,64,182953,12054579590,64,62,144,603,2021145,11,47816,69,166,132220626,1208,1,68,27337,31122,4,2625,603,109294,305327368,53035342,857630,3587833170,603,1380,2,1,4,4,351,1,3573306910,3527301965,106496465,273624517,273624517,2,1,12039478748,73389,73389,4,4,4,273624517,8,3,396804,4493741,4859710,38740,27269,3573306910,1982405,48178057,7497
30043.79,4,262144,64,217354,14321294318,64,62,150,603,2356387,11,57527,69,166,133016982,1208,1,68,32390,31588,4,2625,603,129526,400436536,62074147,858030,4252837550,603,1380,2,1,4,4,351,1,4235613726,4189932511,128278175,325126611,325142995,2,1,14305570884,73389,73389,4,4,4,325126611,8,3,405256,5146120,5029710,45063,32322,4235613726,2311324,57047443,7497
35049.21,4,262144,64,255619,16842567410,64,62,156,603,2702825,11,68294,69,166,133813338,1208,1,68,38011,32132,4,2625,603,152030,495501104,70884823,859250,4992629083,603,1380,2,1,4,4,351,1,4972369438,4926864572,143746860,382450614,382450614,2,1,16827827016,73389,73389,4,4,4,382450614,8,3,406256,5842367,5150231,51725,37943,4972369438,2651100,65738075,7497
40054.90,4,262144,64,293540,19341296118,64,62,163,603,3065316,11,79019,69,166,134875146,1208,1,68,43583,32421,4,2625,603,174350,642338472,79675724,861318,5725976462,603,1380,2,1,4,4,351,1,5702702622,5657423133,166185925,439233945,439233945,2,1,19326293580,73389,73389,4,4,4,439233945,8,3,406805,6563175,5277382,58497,43515,5702702622,3006819,74402381,7497
45060.62,4,262144,64,332538,21910637846,64,62,170,603,3443868,11,90035,69,166,135936954,1208,1,68,49311,32801,4,2625,603,197286,755283072,88513042,861470,6479241137,603,1380,2,1,4,4,351,1,6452881196,6408446230,181629627,497626782,497626782,2,1,21895578408,73389,73389,4,4,4,497626782,8,3,408033,7289700,5406117,65303,49243,6452881196,3378565,83111859,7497
50066.86,4,262144,64,366268,24133389984,64,62,175,603,3766295,11,99509,69,166,136998762,1208,1,68,54264,33969,4,2625,603,217106,798377688,97714296,862698,7131136340,603,1380,2,1,4,4,351,1,7102080812,7058187580,211661199,548145836,548145836,2,1,24118416784,73389,73389,4,4,4,548145836,8,3,428882,7959865,5580193,72264,54196,7102080812,3694031,92139694,7497
