timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.13,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
10017.52,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
15024.66,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
20030.10,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
25037.77,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
30043.41,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
35048.56,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
40058.93,0,0,0,0,0,0,81,0,0,0,0,13,0,5,2097278,2,1,0,349,0,8,0,4,4,0,4,12,0,30,16838784,0,0,1836,0,0,0,3,1,4,4,789,3,0,0,86,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
45063.94,2,118784,29,458,30051686,1,81,0,270,11874,11,13,179,6,46632512,542,1,4,349,484607,8,1938428,5,281,106,4,19,270,1218,384408032,355353,10,27682553,259,167,11,3,1,4,4,789,3,27539448,10852023,409637,491520,491520,3,1,25559072,73389,73389,4,4,4,491524,8,3,22742,31416,41366,307,276,27539448,11567,314039,833
50069.84,8,262144,64,7288,480184360,1,81,0,576,76427,20,13,2828,6,99586378,1154,1,4,349,8908235,8,35632940,5,1538,376,4,19,576,6330,775609296,5166047,52,183653940,556,297,20,3,1,4,4,789,3,182798420,154356864,5500056,9034888,9034888,3,1,469814208,73389,73389,4,4,4,9034892,8,3,51687,185535,124436,2202,1533,182798420,74225,5041580,1728
55073.99,24,262144,64,13769,907710422,1,145,0,576,145005,20,13,5402,6,102373624,1154,1,4,349,16983416,8,67933664,5,2721,650,4,19,576,11094,932943656,9983817,3934,321254752,556,297,20,3,1,4,4,789,3,319721640,288948722,10592471,17240225,17240225,3,1,896491732,73389,73389,4,4,4,17240229,8,3,51704,349663,155103,5032,2716,319721640,139973,9828745,1728
60078.82,25,262144,64,20793,1370545014,1,208,0,576,205889,20,13,8186,6,104883352,1154,1,4,349,25753897,8,102950928,5,3946,769,4,19,576,16022,1071093240,14825706,4392,465875120,556,297,20,3,1,4,4,789,3,463647559,434774120,15683388,26152233,26152233,3,1,1359916148,73389,73389,4,4,4,26152237,8,3,51729,496291,175625,6793,3941,463647559,199096,14650298,1728
