timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.57,9,0,0,0,0,0,116,0,0,0,16,0,5,2097278,2,1,4,4,0,4,26,0,28,19195742,0,0,1834,0,0,2,1,4,4,350,1,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10017.75,36,262144,64,41862,2758381608,11,120,0,603,550995,16,8021,16,128516364,1208,1,15,6556,6012,4,695,603,26240,134546694,10247399,17091,860481725,603,862,2,1,4,4,350,1,1,857038860,809790320,18021814,62334904,62351288,2,1,2742735776,73389,73389,4,4,4,62334904,7,3,270907,1104769,2536486,10072,6541,857038860,540923,7710151,4098
15024.81,36,262144,64,71129,4686776348,11,125,0,603,928915,16,16293,16,129300654,1208,1,15,10857,8161,4,695,603,43452,176903934,19911312,21499,1426508313,603,862,2,1,4,4,350,1,1,1420779532,1373589163,39218739,106176207,106176207,2,1,4671032212,73389,73389,4,4,4,106159823,7,3,281032,1874443,2728577,17601,10842,1420779532,911314,17181904,4098
20031.37,36,262144,64,99921,6584041488,11,130,0,603,1298604,16,24458,16,130097010,1208,1,15,15088,9973,4,695,603,60376,184486078,29301124,24183,1983355881,603,862,2,1,4,4,350,1,1,1975345164,1928164784,70946126,149296614,149296614,2,1,6568330120,73389,73389,4,4,4,149280230,7,3,299039,2630258,2968170,26382,15073,1975345164,1272222,26333083,4098
25037.28,36,262144,64,128526,8468785944,11,134,0,603,1669973,16,32480,16,130627914,1208,1,15,19289,11789,4,695,603,77180,192014846,38816639,33676,2536207881,603,862,2,1,4,4,350,1,1,2525978636,2479095412,95268295,192124268,192140652,2,1,8453467792,73389,73389,4,4,4,192124268,7,3,315878,3385608,3213128,35998,19274,2525978636,1633975,35604156,4098
30043.70,36,262144,64,157115,10352759342,11,139,1,603,2026937,16,40496,16,131424270,1208,1,15,23489,13654,4,695,603,93984,216741758,49111212,36991,3088974625,603,862,2,1,4,4,350,1,1,3076481036,3029855078,117156889,234933379,234949763,2,1,10337068676,73389,73389,4,4,4,234933379,7,3,328992,4119550,3422172,44592,23474,3076481036,1982345,45689982,4098
35049.28,36,262144,64,187512,12354950926,11,145,1,603,2384573,16,49115,16,132220626,1208,1,15,27951,15994,4,695,603,111848,292810158,58518536,39497,3675638243,603,862,2,1,4,4,350,1,1,3660731934,3615100608,144554503,280451883,280451883,2,1,12339882852,73389,73389,4,4,4,280451883,7,3,336710,4858365,3615750,52267,27936,3660731934,2332306,54904817,4098
40055.61,36,262144,64,215579,14204171562,11,149,1,603,2742793,16,57042,16,132751530,1208,1,15,32077,17675,4,695,603,128348,300202158,67189492,40994,4218468138,603,862,2,1,4,4,350,1,1,4201403934,4155680154,160956073,322470688,322487072,2,1,14188710272,73389,73389,4,4,4,322470688,7,3,342140,5586553,3773963,62052,32062,4201403934,2680741,63418045,4098
45061.44,36,262144,64,246210,16222753762,11,155,1,603,3157124,16,65672,16,133813338,1208,1,15,36577,19528,4,695,603,146356,325046190,78329780,45199,4810804083,603,862,2,1,4,4,350,1,1,4791359006,4745708487,198274402,368361706,368361706,2,1,16207915064,73389,73389,4,4,4,368361706,7,3,353457,6389054,3946973,69478,36562,4791359006,3087646,74386484,4098
50068.19,36,262144,64,273882,18046087678,11,159,1,603,3507788,16,73496,16,134344242,1208,1,15,40642,20868,4,695,603,162624,366276926,87622925,47687,5345785892,603,862,2,1,4,4,350,1,1,5324166686,5278677985,219154718,409798879,409815263,2,1,18031150676,73389,73389,4,4,4,409798879,7,3,366653,7092654,4142266,77266,40627,5324166686,3430522,83484768,4098
