timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.04,0,0,0,0,0,0,116,0,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,15,0,28,16826944,0,0,1822,0,0,0,2,1,4,4,334,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
10017.51,0,0,0,0,0,0,116,0,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,15,0,28,16826944,0,0,1822,0,0,0,2,1,4,4,334,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
15024.05,0,0,0,0,0,0,116,0,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,15,0,28,16826944,0,0,1822,0,0,0,2,1,4,4,334,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
20029.64,0,0,0,0,0,0,116,0,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,15,0,28,16826944,0,0,1822,0,0,0,2,1,4,4,334,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
25035.68,0,0,0,0,0,0,116,0,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,15,0,28,16826944,0,0,1822,0,0,0,2,1,4,4,334,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
30043.19,29,262144,64,29447,1940239484,12,118,1,603,407363,2,8,4580,17,125,128250912,1208,1,16,4733,4152,4,218,603,18942,127023456,8239976,14221,620443424,601,1138,2,2,1,4,4,334,1,617963532,570581941,11822995,43742999,43759383,2,1,1924691956,73389,73389,4,4,4,43742999,9,3,361467,817277,3474679,11412,4717,617963532,395951,4765158,10473
35049.97,29,262144,64,57289,3774714520,12,122,1,603,789946,2,8,12392,17,125,128769750,1208,1,16,8824,6176,4,218,603,35306,134355296,18034976,19129,1158803618,601,1138,2,2,1,4,4,334,1,1154179084,1106922140,37380672,85450508,85450508,2,1,3759101456,73389,73389,4,4,4,85434124,9,3,395617,1573101,3777165,20385,8808,1154179084,769561,14257948,10473
40056.28,29,262144,64,84444,5564166324,12,127,1,603,1154758,2,8,20072,17,125,129566106,1208,1,16,12816,8026,4,218,603,51282,175648680,27211815,23409,1684202436,601,1138,2,2,1,4,4,334,1,1677418508,1630065369,57397327,126117633,126117633,2,1,5549175852,73389,73389,4,4,4,126117633,9,3,412214,2316978,3970026,28943,12800,1677418508,1125815,23241678,10473
45063.62,29,262144,64,110673,7292400888,12,131,1,603,1472076,2,8,27392,17,125,130097010,1208,1,16,16668,9568,4,218,603,66694,199746240,36938461,27510,2191163189,601,1138,2,2,1,4,4,334,1,2182307852,2135209356,89582009,165396436,165396436,2,1,7276722288,73389,73389,4,4,4,165380052,9,3,436787,2991658,4191973,37721,16652,2182307852,1434355,32746116,10473
50070.41,29,262144,64,141086,9296430788,12,136,1,603,1856230,2,8,35960,17,125,130893366,1208,1,16,21136,11475,4,218,603,84566,207753088,46768216,29885,2779134079,601,1138,2,2,1,4,4,334,1,2767937548,2721067606,115577080,210929165,210945549,2,1,9280883260,73389,73389,4,4,4,210929165,9,3,458645,3775829,4408077,45284,21120,2767937548,1810946,42359939,10473
