event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,91420,105927,14507,Total time spent analyzing index of patch parts
ArenaAllocBytes,235134976,259366912,24231936,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,57170,63086,5916,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,167,167,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,24925,26147,1222,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,158,159,1,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,113117,113117,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,532892828,606924108,74031280,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,35109094762697,39986599157055,4877504394358,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,63977,67785,3808,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,146331395260,151669424648,5338029388,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,3440605,3685604,244999,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,63978,67786,3808,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,2,2,0,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,2,2,0,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlUpscales,63977,67785,3808,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,54611220977,58839682941,4228461964,Total time a query was waiting on resource requests for CPU slots.
ContextLock,2217561,2516121,298560,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,99697,103796,4099,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1068771,1212420,143649,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,6117996324,6776603542,658607218,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,32440,32440,0,Total time spent waiting for write syscall. This include writes to page cache.
FileOpen,4775,5408,633,Number of files opened.
FileSync,768,768,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,877009,877009,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,2517314,2517314,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,41164,41164,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,39602,42574,2972,Time spent filtering parts by PK.
FunctionExecute,182404246,207749662,25345416,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1171,1171,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,41164408,42671641,1507233,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,47978,52576,4598,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1943040,2025084,82044,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,902270,902270,0,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1188,1241,53,Number of created server HTTP connections
HTTPServerConnectionsExpired,1075,1117,42,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,1210,1378,168,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,781,782,1,Number of reset server HTTP connections. Server closes connection
