event,value,description
Query,2170,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1402,"Same as Query, but only for SELECT queries."
InitialQuery,2170,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,4298,Count queries with all subqueries
SelectQueriesWithSubqueries,3530,Count SELECT queries with all subqueries
QueryTimeMicroseconds,82592687830,Total time of all queries.
SelectQueryTimeMicroseconds,82590243176,Total time of SELECT queries.
OtherQueryTimeMicroseconds,2444654,Total time of queries that are not SELECT or INSERT.
FileOpen,5408,Number of files opened.
Seek,142344,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,1115096,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,12463366326465,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,769,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,43752,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,768,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,877009,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,12228259323029,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,606924108,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,39986599157055,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,1207948,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,4452,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,1807986,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,2440064,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,250024856910,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,63086,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,259366912,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,207749662,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,4,Number of table function calls.
