event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,1273259,9894450,8621191,Total time spent analyzing index of patch parts
ArenaAllocBytes,235929600,471859200,235929600,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,57600,115200,57600,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,3687841,3687841,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,369636,691657,322021,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,595,950,355,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,57824,57824,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,393846365,787496818,393650453,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,25951425867940,51889758901848,25938333033908,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,60844,60844,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,50990753960,50990753960,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,1350748,1350748,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,60844,60844,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,60844,60844,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,34200189500,34200189500,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1588156,3161726,1573570,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,215535,4529128,4313593,Context lock wait time in microseconds
CreatedReadBufferOrdinary,538499,1074935,536436,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,7874709879,20719621518,12844911639,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,24,24,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,25948663,25948663,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1928,3167,1239,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,7157,25812,18655,Time spent filtering parts by PK.
FunctionExecute,133333650,266667300,133333650,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1184,5528,4344,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,16142528,233361237,217218709,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
