event,value,description
Query,1,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1,"Same as Query, but only for SELECT queries."
InitialQuery,1,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1,Count queries with all subqueries
SelectQueriesWithSubqueries,1,Count SELECT queries with all subqueries
FileOpen,236,Number of files opened.
Seek,219,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,2411,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,6631870,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,599687,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,90,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4224850,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheMisses,161,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,25,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,265,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,21415635,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
CreatedReadBufferOrdinary,187,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,125798,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,24,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,10,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,249,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,662,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,98343,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,766,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,708,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,6066315,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,121,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,65,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,5276,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,18,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,169,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,15595529,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,8826,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
QueryPlanOptimizeMicroseconds,41,Total time spent executing query plan optimizations.
LoadedDataParts,17,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,4013554,Microseconds spent by MergeTree tables for loading data parts during initialization.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,336,Time spent in executeStep() for Common executor tasks.
ContextLock,1004,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,3,Context lock wait time in microseconds
RWLockAcquiredReadLocks,135,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,4005480,Total time spent holding data parts lock in MergeTree tables
PartsLocks,61,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,511,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLocks,619,Number of times shared data parts lock has been acquired for MergeTree tables
MemoryAllocatorPurge,1,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,2378,Total time spent for memory allocator purge
ThreadPoolReaderPageCacheHitElapsedMicroseconds,74,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,56,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,254901,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,399,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,2249,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,3911,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,2053,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,70,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,412,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,114,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,177,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,3687841,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,3,Number of log messages with level Warning
LoggerElapsedNanoseconds,2778268,Cumulative time spend in logging
