event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,1273259,1273259,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,235929600,235929600,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,57600,57600,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,3687841,3687841,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,336,369636,369300,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,0,595,595,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,57824,57824,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,90,393846365,393846275,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4224850,25951425867940,25951421643090,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,60844,60844,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,50990753960,50990753960,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,1350748,1350748,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,60844,60844,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,60844,60844,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,34200189500,34200189500,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1004,1588109,1587105,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,3,215535,215532,Context lock wait time in microseconds
CreatedReadBufferOrdinary,187,538499,538312,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,125798,7874709864,7874584066,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,24,24,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,25948663,25948663,Number of dequeues invoked at all FairPolicyNodes
FileOpen,236,1928,1692,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,7157,7157,Time spent filtering parts by PK.
FunctionExecute,0,133333650,133333650,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,662,1184,522,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,6066315,16142458,10076143,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,708,55291,54583,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,766,1096903,1096137,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,98343,420821,322478,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,320,319,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,4,4,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,899,899,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,896,896,Number of reused server HTTP connections
IOBufferAllocBytes,21415635,123738232600,123716816965,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,265,1086329,1086064,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,902,901,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,249,989443,989194,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,1016350,1016350,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,0,1800,1800,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,0,932132,932132,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,0,266219707050,266219707050,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,0,5889,5889,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,0,1064878828200,1064878828200,Total number of rows in the result of a JOIN operation.
LoadedDataParts,17,17,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,4013554,4013554,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,0,807301,807301,Number of marks loaded (total across columns).
LoadedMarksFiles,0,22,22,Number of mark files loaded.
LoadedMarksMemoryBytes,0,3652160,3652160,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,15595529,1183370442774,1183354847245,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,121,53801,53680,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,8826,1932716223,1932707397,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,169,64106141,64105972,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,18,1343061365,1343061347,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,65,53646,53581,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,5276,10833731,10828455,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,48,48,0,Number of log messages with level Info
LogWarning,3,3,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,2778268,2778268,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,0,538268,538268,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,0,22,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryAllocatorPurge,1,1,0,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,2378,2378,0,Total time spent for memory allocator purge
MemoryWorkerRun,219,133936,133717,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,83359,516779153,516695794,Total time spent by MemoryWorker for background work
MergerMutatorPartsInRangesForMergeCount,177,873,696,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,70,2011,1941,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,114,564,450,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,412,5397,4985,Time spent to select parts from ranges which can be merged.
MergerMutatorsGetPartsForMergeElapsedMicroseconds,2053,33060,31007,Time spent to take data parts snapshot to build ranges from them.
MergingSortedMilliseconds,0,350890,350890,Total time spent while merging sorted columns
NetworkReceiveBytes,249,989443,989194,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,10,56414,56404,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,0,1016350,1016350,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
