timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5164.86,24,262144,64,21845,1439645744,111,9,585,1522384,32,2502,53,67,3,135108,124484256,1172,1,66,3659,3411617,2,338568,585,5402113,31087299,472931384,585,1668,7,1,2,1,2,2,1315,1,470720924,424136710,48053217,32359166,32375550,2,1,1423803304,73389,73389,2,2,2,32359166,17,3,120359,27172346,1264369,74335,3593,470720924,1448049,4140832,19514
10208.83,24,262144,64,24731,1629844448,111,9,585,1588024,32,3291,53,67,3,135108,124484256,1172,1,66,4081,3747867,2,338568,585,6399742,35477635,528522815,585,1668,7,1,2,1,2,2,1315,1,526033308,479656694,59027309,36692290,36708674,2,1,1614460760,73389,73389,2,2,2,36692290,17,3,122137,29924416,1323777,77350,4015,526033308,1510674,5078814,19514
15242.65,24,262144,64,27840,1834404294,112,9,585,1661949,32,4194,53,67,3,135108,124484256,1172,1,66,4537,4110928,2,338568,585,8009851,39993351,588589373,585,1668,7,1,2,1,2,2,1315,1,585802140,539463207,93818749,41338869,41355253,2,1,1818910236,73389,73389,2,2,2,41338869,17,3,127770,32812746,1423659,80374,4471,585802140,1581575,6588755,19514
20277.12,24,262144,64,31130,2051332928,113,9,585,1742423,32,5143,53,67,3,135108,124484256,1172,1,66,5022,4341295,2,338568,585,9390539,44575149,652479128,585,1668,7,1,2,1,2,2,1315,1,649372060,602909071,128586544,46267850,46284234,2,1,2035785400,73389,73389,2,2,2,46267850,17,3,134345,35588552,1507979,83195,4956,649372060,1659228,7884392,19514
25298.03,24,262144,64,34519,2274761692,113,9,585,1828220,32,6069,53,67,3,135108,124749708,1172,1,66,5519,4423095,2,338568,585,10920344,49469558,717951790,585,1668,7,1,2,1,2,2,1315,1,714514844,668238417,178990419,51344287,51360671,2,1,2259148628,73389,73389,2,2,2,51344287,17,3,139579,38118929,1631803,85861,5453,714514844,1742359,9290911,19514
30344.14,24,262144,64,38298,2523484044,114,9,585,1922111,32,7155,53,67,3,135108,124749708,1172,1,66,6071,4622445,2,338568,585,12230217,53947402,790666659,585,1668,7,1,2,1,2,2,1315,1,786866588,740955933,219257029,56996323,57012707,2,1,2507838212,73389,73389,2,2,2,56996323,17,3,144723,40555103,1744631,89041,6005,786866588,1833070,10487562,19514
35375.49,24,262144,64,44510,2932982744,115,9,585,2054243,32,8904,53,67,3,135108,125015160,1172,1,66,6983,4793053,2,338568,585,14675534,58181739,910891547,585,1668,7,1,2,1,2,2,1315,1,906535324,860634104,295906903,66307580,66323964,2,1,2917533520,73389,73389,2,2,2,66307580,17,3,154549,42772464,1931619,93984,6918,906535324,1960259,12745918,19514
40427.44,24,262144,64,50193,3307547448,116,9,585,2198579,32,10507,53,67,3,135108,125280612,1172,1,66,7820,4912922,2,338568,585,17794739,62966437,1020979206,585,1668,7,1,2,1,2,2,1315,1,1016111516,970237845,379321049,74818180,74834564,2,1,3291999920,73389,73389,2,2,2,74818180,17,3,163757,44810345,2101214,98600,7754,1016111516,2099979,15695570,19514
45457.97,24,262144,64,58157,3832142738,117,9,585,2408496,32,12737,53,67,3,135108,125280612,1172,1,66,8989,4962840,2,338568,585,21300514,67073652,1174896141,585,1668,7,1,2,1,2,2,1315,1,1169334684,1123597201,459019274,86748718,86765102,2,1,3816943592,73389,73389,2,2,2,86748718,17,3,170348,46701714,2317323,106655,8923,1169334684,2301841,18983977,19514
50463.46,24,262144,64,74554,4912841926,120,9,585,2636041,32,17356,53,67,3,135108,125811516,1172,1,66,11398,4974674,2,338568,585,26163754,70330755,1491924501,585,1668,7,1,2,1,2,2,1315,1,1485087132,1439489537,534938466,111307829,111307829,2,1,4896823580,73389,73389,2,2,2,111291445,17,3,184834,48307998,2558476,112929,11332,1485087132,2523112,23607176,19514
55470.35,24,262144,64,120426,7935543210,127,9,585,2985009,32,30265,53,67,3,135108,127102578,1172,1,66,18139,4978262,2,338568,585,37649948,71068438,2378822470,585,1668,7,1,2,1,2,2,1315,1,2368643484,2323003405,580954571,180003155,180019539,2,1,7920138820,73389,73389,2,2,2,180003155,17,3,213599,49119253,2878156,121467,18073,2368643484,2863542,34774575,19514
60476.13,24,262144,64,167114,11011746002,135,9,585,3322871,32,43440,53,67,3,135108,128152320,1172,1,66,24998,4981707,2,338568,585,48392382,71287940,3281243749,585,1668,7,1,2,1,2,2,1315,1,3267666332,3222288475,612234966,249919089,249935473,2,1,10996439916,73389,73389,2,2,2,249919089,17,3,238415,49886736,3130367,129988,24932,3267666332,3192883,45265586,19514
65481.19,24,262144,64,212240,13985316110,143,9,585,3647166,32,56184,53,67,3,135108,129479580,1172,1,66,31626,4985261,2,338568,585,60364336,71452711,4153265213,585,1668,7,1,2,1,2,2,1315,1,4136411548,4091504651,642443647,317494270,317510654,2,1,13969747880,73389,73389,2,2,2,317494270,17,3,266644,50609456,3372039,137949,31560,4136411548,3509217,56996181,19514
70485.78,24,262144,64,257868,16991857686,151,9,585,3974322,32,69022,53,67,3,135108,130541388,1172,1,66,38331,4987259,2,338568,585,71439941,71532610,5035286615,585,1668,7,1,2,1,2,2,1315,1,5015118236,4970406750,668032049,385831307,385831307,2,1,16976577508,73389,73389,2,2,2,385831307,17,3,287431,51321345,3560135,145961,38265,5015118236,3828361,67884550,19514
75490.88,24,262144,64,309607,20401206430,159,9,585,4339450,32,83616,53,67,3,135108,131868648,1172,1,66,45931,4989847,2,338568,585,82905278,71565737,6035305182,585,1668,7,1,2,1,2,2,1315,1,6011396508,5967117204,706753933,463323953,463323953,2,1,20385533036,73389,73389,2,2,2,463307569,17,3,309638,52091558,3773843,154905,45865,6011396508,4184545,79136179,19514
80495.64,24,262144,64,361849,23843519782,168,9,585,4712581,32,98358,53,67,3,135108,133195908,1172,1,66,53605,4992323,2,338568,585,93772252,71635456,7044934331,585,1668,7,1,2,1,2,2,1315,1,7017243036,6973349288,735858571,541545687,541562071,2,1,23828010228,73389,73389,2,2,2,541545687,17,3,330069,52863463,3969037,163741,53539,7017243036,4548840,89808226,19514
85522.54,24,262144,64,386836,25489839796,172,9,585,4983098,32,105393,53,67,3,135108,133726812,1172,1,66,57273,5029298,2,338568,585,100459380,73941590,7527599527,585,1668,7,1,2,1,2,2,1315,1,7498015132,7454624680,763133590,578961032,578977416,2,1,25474285408,73389,73389,2,2,2,578961032,17,3,338414,54313313,4175015,170988,57207,7498015132,4812110,96288779,19514
90552.11,24,262144,64,395500,26060563672,174,9,585,5185257,32,107863,53,67,3,135108,133992264,1172,1,66,58545,5089626,2,338568,585,104760134,77789680,7695067683,585,1668,7,1,2,1,2,2,1315,1,7664738716,7621523232,942190982,591929795,591946179,2,1,26044910980,73389,73389,2,2,2,591929795,17,3,345703,56277513,4398379,177220,58479,7664738716,5008037,100365068,19514
