timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5395.90,36,262144,64,21564,1421230128,111,7,585,1375843,19,2427,41,67,4,302099,124484256,1172,1,66,3614,1744352,2,546839,585,6059291,37365363,467103404,585,2227,2,1,2,2,871,1,464822684,418682158,49872972,31949566,31965950,2,1,1405780904,73389,73389,2,2,2,31949566,18,3,122081,29751435,1230645,66836,3548,464822684,1309007,4826250,25426
10441.40,36,262144,64,24320,1602643700,111,7,585,1453681,19,3179,41,67,4,302099,124484256,1172,1,66,4021,2023875,2,546839,585,7235112,42118757,520718515,585,2227,2,1,2,2,871,1,518168988,471769520,71002694,36080049,36080049,2,1,1587522156,73389,73389,2,2,2,36080049,18,3,123410,32823436,1297183,69533,3955,518168988,1384148,5934599,25426
15503.97,36,262144,64,26767,1763806648,112,7,585,1514247,19,3900,41,67,4,302099,124484256,1172,1,66,4376,2478076,2,546839,585,8190374,46746416,567484293,585,2227,2,1,2,2,871,1,564699548,518861862,99842810,39743588,39743588,2,1,1747996976,73389,73389,2,2,2,39727204,18,3,124744,35952176,1354207,71886,4310,564699548,1442361,6832339,25426
20609.30,36,262144,64,29689,1956364648,112,7,585,1582486,19,4698,41,67,4,302099,124484256,1172,1,66,4810,2875240,2,546839,585,9672486,51850588,624650837,585,2227,2,1,2,2,871,1,621584796,575135433,134920836,44109480,44125864,2,1,1940817120,73389,73389,2,2,2,44109480,18,3,125117,39385506,1420650,75253,4744,621584796,1507233,8248439,25426
25975.85,36,262144,64,32303,2128737560,113,7,585,1641085,19,5465,41,67,4,302099,124749708,1172,1,66,5192,3390041,2,546839,585,10828551,56836526,675102883,585,2227,2,1,2,2,871,1,671785372,625589869,194548070,48033004,48033004,2,1,2113452176,73389,73389,2,2,2,48033004,18,3,130816,42639606,1510580,78764,5127,671785372,1562321,9314702,25426
31145.03,36,262144,64,35378,2331322568,113,7,585,1709074,19,6303,41,67,4,302099,124749708,1172,1,66,5644,3879623,2,546839,585,12205670,61538650,734508865,585,2227,2,1,2,2,871,1,730898844,684782040,242902023,52628272,52644656,2,1,2315643968,73389,73389,2,2,2,52628272,18,3,132332,45871834,1594237,82207,5578,730898844,1626867,10608292,25426
36195.96,36,262144,64,37911,2498121612,114,9,585,1766986,19,7050,41,67,4,302099,124749708,1172,1,66,6015,4204984,2,546839,585,13269231,66555168,783386501,585,2227,2,1,2,2,871,1,779526556,733526880,258181806,56422883,56439267,2,1,2482606852,73389,73389,2,2,2,56422883,18,3,132385,48770092,1664984,85656,5949,779526556,1681330,11601049,25426
41238.18,36,262144,64,41578,2739769384,114,9,585,1855337,19,8049,41,67,4,302099,124749708,1172,1,66,6554,4370165,2,546839,585,15257970,71827869,854383806,585,2227,2,1,2,2,871,1,850174364,804171017,357263383,61925304,61925304,2,1,2724713376,73389,73389,2,2,2,61925304,18,3,133776,51338571,1755859,96873,6488,850174364,1758464,13497189,25426
47154.79,36,262144,64,44999,2965295300,115,10,585,1935262,19,9036,41,67,4,302099,125015160,1172,1,66,7056,4663646,2,546839,585,17098926,77303289,920640637,585,2227,2,1,2,2,871,1,916103580,870125772,427506606,67034509,67050893,2,1,2949518396,73389,73389,2,2,2,67034509,18,3,137014,54678590,1857023,100493,6991,916103580,1834769,15235310,25426
52401.52,36,262144,64,47674,3141400456,115,10,585,1995674,19,9763,41,67,4,302099,125015160,1172,1,66,7450,4913782,2,546839,585,18158821,82368850,972409500,585,2227,2,1,2,2,871,1,967614876,921641840,438006105,71050304,71050304,2,1,3125492480,73389,73389,2,2,2,71033920,18,3,137050,57628712,1923094,103352,7384,967614876,1892322,16229026,25426
57451.55,36,262144,64,50670,3339073572,116,11,585,2065377,19,10638,41,67,4,302099,125280612,1172,1,66,7891,5421199,2,546839,585,19982231,87719888,1030499192,585,2227,2,1,2,2,871,1,1025417628,979461182,506210208,75528725,75545109,2,1,3323263900,73389,73389,2,2,2,75528725,18,3,138860,60626304,2014759,106807,7825,1025417628,1958570,17960763,25426
62527.75,36,262144,64,53851,3548605396,116,11,585,2137572,19,11505,41,67,4,302099,125280612,1172,1,66,8360,5712422,2,546839,585,21313169,92282356,1092284920,585,2227,2,1,2,2,871,1,1086890396,1040715885,539200168,80287833,80304217,2,1,3532664652,73389,73389,2,2,2,80287833,18,3,141564,63143335,2122544,110353,8294,1086890396,2027219,19182976,25426
67582.14,36,262144,64,57166,3766931110,117,12,585,2211253,19,12465,41,67,4,302099,125280612,1172,1,66,8845,5973005,2,546839,585,22528900,96885081,1156310259,585,2227,2,1,2,2,871,1,1150591388,1104499363,569262416,85251741,85268125,2,1,3751076604,73389,73389,2,2,2,85251741,18,3,146637,65729511,2223141,114006,8780,1150591388,2097247,20298148,25426
72607.20,36,262144,64,60825,4008054594,117,12,585,2293194,19,13464,41,67,4,302099,125280612,1172,1,66,9382,6293668,2,546839,585,24345391,101673137,1226913069,585,2227,2,1,2,2,871,1,1220845980,1174970714,658639473,90737778,90754162,2,1,3992462232,73389,73389,2,2,2,90737778,18,3,153263,68569746,2324876,117312,9316,1220845980,2175882,22012747,25426
77658.83,36,262144,64,64189,4229844958,118,12,585,2367708,19,14433,41,67,4,302099,125546064,1172,1,66,9876,6491341,2,546839,585,26222851,106929466,1291987331,585,2227,2,1,2,2,871,1,1285595548,1239767976,768933300,95781447,95797831,2,1,4214383668,73389,73389,2,2,2,95781447,18,3,160031,71108408,2437030,120755,9811,1285595548,2246953,23777512,25426
82723.63,36,262144,64,67842,4470309774,119,13,585,2447549,19,15486,41,67,4,302099,125546064,1172,1,66,10412,6833554,2,546839,585,27672059,111511117,1362590245,585,2227,2,1,2,2,871,1,1355850140,1310195413,795510133,101236875,101253259,2,1,4454422500,73389,73389,2,2,2,101236875,18,3,163381,73726981,2526801,124293,10346,1355850140,2323256,25136177,25426
87730.19,36,262144,64,107193,7063792638,125,13,585,2782461,19,26547,41,67,4,302099,126837126,1172,1,66,16195,6846442,2,546839,585,36929669,113062160,2123467921,585,2227,2,1,2,2,871,1,2113839516,2068193152,871745588,160198834,160198834,2,1,7048027800,73389,73389,2,2,2,160182450,18,3,190983,74777925,2814754,132314,16129,2113839516,2650147,34106526,25426
92737.78,36,262144,64,148554,9789026994,132,13,585,3139661,19,38211,41,67,4,302099,127886868,1172,1,66,22271,6853369,2,546839,585,47894375,113963521,2922891482,585,2227,2,1,2,2,871,1,2910232988,2864885396,903992434,222134489,222134489,2,1,9773917516,73389,73389,2,2,2,222134489,18,3,227394,75700145,3152554,140517,22205,2910232988,2999144,44733054,25426
97744.63,36,262144,64,190894,12578951998,139,13,585,3486434,19,50142,41,67,4,302099,128948676,1172,1,66,28493,6857684,2,546839,585,58197486,114807431,3741529123,585,2227,2,1,2,2,871,1,3725762972,3680403375,937446655,285540386,285540386,2,1,12563776984,73389,73389,2,2,2,285540386,18,3,258467,76554506,3466121,149382,28427,3725762972,3337052,54721748,25426
102750.38,36,262144,64,233585,15391880138,146,13,585,3820117,19,62169,41,67,4,302099,130010484,1172,1,66,34762,6861193,2,546839,585,69672002,115371988,4566340969,585,2227,2,1,2,2,871,1,4547453340,4502735847,970467645,349470571,349470571,2,1,15375984228,73389,73389,2,2,2,349454187,18,3,276389,77347087,3732593,157813,34696,4547453340,3662304,65930425,25426
107757.23,36,262144,64,274583,18093131870,153,13,585,4129324,19,73737,41,67,4,302099,130806840,1172,1,66,40786,6865120,2,546839,585,79962938,115729578,5358925447,585,2227,2,1,2,2,871,1,5337031068,5292312410,995894117,410859521,410875905,2,1,18077818924,73389,73389,2,2,2,410859521,18,3,290666,78104297,3948686,165791,40721,5337031068,3963533,76005567,25426
112803.81,36,262144,64,296266,19522112518,157,13,585,4373832,19,79869,41,67,4,302099,131603196,1172,1,66,43974,6905520,2,546839,585,87549974,118054150,5778441660,585,2227,2,1,2,2,871,1,5754888604,5710146943,1136961430,443333375,443349759,2,1,19506668500,73389,73389,2,2,2,443333375,18,3,306613,79545624,4188930,172549,43908,5754888604,4201283,83352022,25426
117843.57,36,262144,64,303475,19996950610,158,14,585,4558066,19,81891,41,67,4,302099,131603196,1172,1,66,45031,6971344,2,546839,585,90573037,122000867,5917622540,585,2227,2,1,2,2,871,1,5893431708,5848942031,1282489710,454127384,454143768,2,1,19981604896,73389,73389,2,2,2,454127384,18,3,312521,81397478,4393273,178615,44965,5893431708,4379451,86168924,25426
122849.09,36,262144,64,319739,21068668058,161,14,585,4786332,19,86450,41,67,4,302099,132134100,1172,1,66,47420,7037186,2,546839,585,95364608,125165009,6232025711,585,2227,2,1,2,2,871,1,6206562716,6162247985,1362877298,478483854,478500238,2,1,21053289576,73389,73389,2,2,2,478483854,18,3,326704,83145181,4620006,185220,47354,6206562716,4601112,90733339,25426
127853.61,36,262144,64,364934,24046760150,168,14,585,5104343,19,99201,41,67,4,302099,133195908,1172,1,66,54057,7040271,2,546839,585,106808659,125415715,7105247114,585,2227,2,1,2,2,871,1,7076487580,7032764026,1416329915,546173723,546190107,2,1,24031643812,73389,73389,2,2,2,546173723,18,3,344557,83854095,4839037,193327,53991,7076487580,4911016,101957895,25426
