timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.46,20,262144,64,47216,3111384968,115,585,886575,8,9588,67,12683,125015160,1172,1,66,7383,353189,2,138758,585,11242798,11827575,962718114,585,1174,2,1,2,2,1046,1,958701980,912799212,40122289,70362176,70378560,2,1,3095935744,73389,73389,2,2,2,70362176,19,1,3,266787,9138445,2190107,20549,7317,958701980,866026,9051596,12180
10053.57,20,262144,64,57317,3776827046,117,585,1154056,8,12507,67,12683,125280612,1172,1,66,8866,391083,2,138758,585,15938154,15132093,1158213135,585,1174,2,1,2,2,1046,1,1153343900,1107379610,85336145,85481117,85497501,2,1,3761169148,73389,73389,2,2,2,85481117,19,1,3,277257,10901311,2472977,29099,8801,1153343900,1124957,13463186,12180
15108.85,20,262144,64,62029,4087490842,118,585,1296473,8,13845,67,12683,125546064,1172,1,66,9558,509514,2,138758,585,18202991,19233502,1249222047,585,1174,2,1,2,2,1046,1,1243914652,1198230219,115926337,92552084,92552084,2,1,4071570800,73389,73389,2,2,2,92535700,19,1,3,282432,13057945,2621329,34312,9492,1243914652,1262161,15578703,12180
20130.53,20,262144,64,67087,4420564642,119,585,1454913,8,15279,67,12683,125546064,1172,1,66,10301,600764,2,138758,585,20753225,23230391,1347082066,585,1174,2,1,2,2,1046,1,1341301148,1295636564,149784519,100116730,100116730,2,1,4405136120,73389,73389,2,2,2,100116730,19,1,3,288108,15155492,2773438,39333,10235,1341301148,1415580,17976887,12180
25133.55,20,262144,64,77955,5136791670,120,585,1763580,8,18275,67,12683,125811516,1172,1,66,11898,636752,2,138758,585,26107158,26357862,1557313138,585,1174,2,1,2,2,1046,1,1550623132,1504992391,214299543,116394617,116394617,2,1,5121363148,73389,73389,2,2,2,116394617,19,1,3,299095,16718599,3120778,48094,11832,1550623132,1715486,22982553,12180
30190.23,20,262144,64,104698,6899218510,125,585,2038759,8,25869,67,12683,126837126,1172,1,66,15826,696020,2,138758,585,32876666,28572126,2074161327,585,1174,2,1,2,2,1046,1,2065473948,2020071973,256513832,156455534,156471918,2,1,6884043496,73389,73389,2,2,2,156455534,19,1,3,325414,18130670,3308214,54608,15760,2065473948,1984151,29564062,12180
35250.46,20,262144,64,109575,7220430294,126,585,2188608,8,27252,67,12683,126837126,1172,1,66,16543,809353,2,138758,585,35388675,32879559,2168598808,585,1174,2,1,2,2,1046,1,2159452572,2113985677,286192861,163758036,163758036,2,1,7204632688,73389,73389,2,2,2,163741652,19,1,3,331734,20307500,3465119,59613,16477,2159452572,2128995,31919275,12180
40306.63,20,262144,64,113623,7487312734,126,585,2313337,8,28356,67,12683,126837126,1172,1,66,17140,937491,2,138758,585,37273982,37011991,2247234773,585,1174,2,1,2,2,1046,1,2237702556,2191997367,303990474,169823546,169823546,2,1,7472236024,73389,73389,2,2,2,169823546,19,1,3,333200,22591060,3566525,65692,17074,2237702556,2247645,33701753,12180
45365.85,20,262144,64,117181,7721817082,127,585,2417688,8,29382,67,12683,127102578,1172,1,66,17663,1028225,2,138758,585,38837799,41501814,2316133656,585,1174,2,1,2,2,1046,1,2306253212,2260532892,358381447,175145743,175162127,2,1,7706412692,73389,73389,2,2,2,175145743,19,1,3,339184,24805502,3694465,69319,17597,2306253212,2348369,35138078,12180
50400.39,20,262144,64,120792,7959529386,128,585,2524897,8,30413,67,12683,127102578,1172,1,66,18191,1150220,2,138758,585,40747666,45879972,2385824981,585,1174,2,1,2,2,1046,1,2375590300,2329979963,372725906,180552019,180568403,2,1,7944288836,73389,73389,2,2,2,180552019,19,1,3,340412,26893838,3794781,73188,18126,2375590300,2451709,36947143,12180
