timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5075.71,27,262144,64,22462,1480346908,111,0,585,3916351,18,2670,65,67,218635,124484256,1172,1,66,3748,1081340,2,194515,585,6961403,22228475,484637154,585,1707,2,1,2,2,709,1,482386332,436033280,43263667,33299087,33299087,2,1,1465159828,73389,73389,2,2,2,33299087,17,3,166838,19152906,2114829,56658,3682,482386332,3859693,4849944,39951
10121.31,27,262144,64,25685,1692631244,112,0,585,4013007,18,3606,65,67,218635,124484256,1172,1,66,4219,1201116,2,194515,585,8828911,26916461,546818228,585,1707,2,1,2,2,709,1,544252316,498030214,68232613,38115539,38131923,2,1,1677083716,73389,73389,2,2,2,38115539,17,3,174493,21759061,2246667,60076,4154,544252316,3952931,6584862,39951
15260.28,27,262144,64,28547,1880991632,112,0,585,4092522,18,4386,65,67,218635,124484256,1172,1,66,4640,1346832,2,194515,585,10143032,31602030,602150787,585,1707,2,1,2,2,709,1,599302556,553131476,89916187,42393478,42409862,2,1,1865313032,73389,73389,2,2,2,42393478,17,3,179261,24141004,2358401,63117,4574,599302556,4029405,7785887,39951
20397.17,27,262144,64,31214,2056837952,113,0,585,4167442,18,5166,65,67,218635,124484256,1172,1,66,5033,1720032,2,194515,585,11377151,36361826,653922498,585,1707,2,1,2,2,709,1,650813852,604594576,119239479,46398922,46398922,2,1,2041552568,73389,73389,2,2,2,46398922,17,3,182621,27016098,2431059,65810,4967,650813852,4101632,8946513,39951
25480.55,27,262144,64,34357,2264144860,113,0,585,4247784,18,6024,65,67,218635,124749708,1172,1,66,5495,2009157,2,194515,585,12782366,41532983,714907483,585,1707,2,1,2,2,709,1,711500188,665193894,146789763,51098527,51114911,2,1,2248335188,73389,73389,2,2,2,51098527,17,3,189899,30342970,2538729,68664,5430,711500188,4179120,10244506,39951
30533.48,27,262144,64,37794,2490453900,114,1,585,4332485,18,7019,65,67,218635,124749708,1172,1,66,5999,2414561,2,194515,585,14781198,47137131,781292712,585,1707,2,1,2,2,709,1,777560476,731279103,233343437,56259043,56259043,2,1,2475397892,73389,73389,2,2,2,56259043,17,3,202052,33420401,2684955,77209,5934,777560476,4255276,12097317,39951
35637.96,27,262144,64,41044,2704507708,114,1,585,4409506,18,7905,65,67,218635,124749708,1172,1,66,6475,2883872,2,194515,585,16264711,52679315,843856862,585,1707,2,1,2,2,709,1,839819676,793818604,254722184,61116455,61132839,2,1,2689124020,73389,73389,2,2,2,61116455,17,3,209080,36789208,2792987,80503,6409,839819676,4329003,13473143,39951
40743.49,27,262144,64,44175,2911028184,115,1,585,4482382,18,8811,65,67,218635,125015160,1172,1,66,6936,3102483,2,194515,585,17474695,57468713,904582049,585,1707,2,1,2,2,709,1,900243868,854272917,308553741,65816060,65816060,2,1,2895906640,73389,73389,2,2,2,65816060,17,3,211958,39863073,2887310,83426,6870,900243868,4398956,14588642,39951
45774.67,27,262144,64,47573,3134781320,115,1,585,4566039,18,9740,65,67,218635,125015160,1172,1,66,7435,3337245,2,194515,585,18804611,62252529,970312407,585,1707,2,1,2,2,709,1,965648796,919666440,359204235,70902848,70902848,2,1,3119725312,73389,73389,2,2,2,70902848,17,3,214945,42565424,2974216,86156,7369,965648796,4479883,15831640,39951
50809.37,27,262144,64,51674,3405137168,116,1,585,4675847,18,10913,65,67,218635,125280612,1172,1,66,8039,3414505,2,194515,585,21195069,67672235,1049868256,585,1707,2,1,2,2,709,1,1044816284,998759617,431412263,77042086,77042086,2,1,3389851784,73389,73389,2,2,2,77042086,17,3,226278,45057174,3134607,89757,7974,1044816284,4586090,18061311,39951
