timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5463.46,34,262144,64,21999,1449738288,111,0,585,8956873,19,2544,56,67,1238,249741,124484256,1172,1,66,3681,1539747,2,320813,585,6755114,32568666,475878669,585,1924,2,1,2,2,1061,1,473604508,427077394,62268744,32604926,32604926,2,1,1434616744,73389,73389,2,2,2,32604926,20,3,110227,32030097,1920710,34165,3615,473604508,8922708,4834963,19299
10554.90,34,262144,64,24815,1635349472,111,0,585,9028999,19,3314,56,67,1238,249741,124484256,1172,1,66,4093,1858711,2,320813,585,7919790,37206908,530151721,585,1924,2,1,2,2,1061,1,527606172,481342878,79983317,36823362,36839746,2,1,1620227928,73389,73389,2,2,2,36823362,20,3,113984,35030999,2012777,36818,4027,527606172,8992181,5907263,19299
15793.21,34,262144,64,28121,1853073296,112,0,585,9107553,19,4269,56,67,1238,249741,124484256,1172,1,66,4578,2248683,2,320813,585,9249024,42278283,594039362,585,1924,2,1,2,2,1061,1,591176092,544985341,116852071,41770886,41770886,2,1,1837918984,73389,73389,2,2,2,41770886,20,3,124003,38245792,2141340,39845,4512,591176092,9067708,7108762,19299
20855.24,34,262144,64,31428,2071128108,113,0,585,9184942,19,5226,56,67,1238,249741,124749708,1172,1,66,5065,2502050,2,320813,585,11324183,47792253,658316181,585,1924,2,1,2,2,1061,1,655139228,608718170,145300500,46716251,46732635,2,1,2055515044,73389,73389,2,2,2,46716251,20,3,134321,41320530,2274710,43755,5000,655139228,9141187,9049851,19299
25894.03,34,262144,64,34260,2257787868,113,0,585,9252104,19,5999,56,67,1238,249741,124749708,1172,1,66,5481,2822167,2,320813,585,12434039,52393432,712983848,585,1924,2,1,2,2,1061,1,709534108,663296541,166740246,50967455,50967455,2,1,2242568020,73389,73389,2,2,2,50967455,20,3,139124,44206512,2374872,46525,5416,709534108,9205579,10058999,19299
30963.84,34,262144,64,37222,2452701856,114,0,585,9323360,19,6863,56,67,1238,249741,124749708,1172,1,66,5915,3078626,2,320813,585,13964797,57519727,770156823,585,1924,2,1,2,2,1061,1,766419356,720246167,202664892,55401042,55401042,2,1,2437645848,73389,73389,2,2,2,55401042,20,3,145148,46834568,2472853,49100,5849,766419356,9274260,11491939,19299
35979.96,34,262144,64,40836,2690876220,114,0,585,9420981,19,7848,56,67,1238,249741,124749708,1172,1,66,6444,3209961,2,320813,585,15411763,62256625,839840500,585,1924,2,1,2,2,1061,1,835756444,789861316,271713953,60805159,60821543,2,1,2675426996,73389,73389,2,2,2,60805159,20,3,154424,49243532,2590785,51914,6378,835756444,9369067,12819062,19299
41046.21,34,262144,64,44425,2927412184,115,0,585,9518228,19,8880,56,67,1238,249741,125015160,1172,1,66,6971,3396649,2,320813,585,17624159,66915393,909386709,585,1924,2,1,2,2,1061,1,904962460,859050951,343458720,66176508,66192892,2,1,2911766352,73389,73389,2,2,2,66176508,20,3,163426,51802804,2722368,54904,6906,904962460,9463324,14899753,19299
46073.15,34,262144,64,50090,3300797240,116,0,585,9638078,19,10479,56,67,1238,249741,125280612,1172,1,66,7805,3537726,2,320813,585,19745395,71628265,1019076690,585,1924,2,1,2,2,1061,1,1014145436,968259019,431173425,74670724,74670724,2,1,3284790960,73389,73389,2,2,2,74654340,20,3,179827,54115715,2943655,59585,7739,1014145436,9578493,16800534,19299
51123.28,34,262144,64,56600,3729572282,117,0,585,9789626,19,12312,56,67,1238,249741,125280612,1172,1,66,8758,3609034,2,320813,585,22762142,75841461,1144696512,585,1924,2,1,2,2,1061,1,1139188124,1093551343,549439198,84410124,84426508,2,1,3714045456,73389,73389,2,2,2,84410124,20,3,187789,56232648,3106363,64155,8693,1139188124,9725471,19653169,19299
