timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5112.54,240,262144,64,49392,3254558406,360,42,576,2106311,0,32,19225,67,813,114455466,1154,1,4,36353,60877354,27,242733828,66,8877,2533165,2,346565,576,58913586,215621168,1063718292,576,5627,0,3,1,2,2,38787,3,1058403441,1027523676,288231497,62269368,62465976,3,1,3238007168,73389,73389,2,2,2,62269372,37,3,319171,49550747,2720944,127651,8814,1058403441,1978660,56189036,17271
10174.60,439,262144,64,89714,5911531934,623,79,576,3466804,0,32,35135,67,813,117218580,1154,1,4,36353,111217678,27,444159856,66,15794,7861764,2,346565,576,110515462,472755842,1902564496,576,5627,0,3,1,2,2,38787,3,1892800188,1863932374,611288160,113345478,113607622,3,1,5893112920,73389,73389,2,2,2,113329098,37,3,526358,98600561,4769224,293282,15732,1892800188,3173522,105738719,17271
15216.55,616,262144,64,128800,8487659824,870,104,576,4672626,0,32,50529,67,813,117508164,1154,1,4,36353,160031571,27,639479868,66,22475,15643663,2,346565,576,157948865,736461679,2714595935,576,5627,0,3,1,2,2,38787,3,2700620582,2674986625,940379445,162897876,163092325,3,1,8469837616,73389,73389,2,2,2,162881496,37,3,665282,154068823,6296056,408296,22413,2700751654,4264483,151645360,17271
20293.66,800,262144,64,168264,11087607108,1129,146,576,5687232,0,32,66129,67,813,117508164,1154,1,4,36353,209550184,27,836971916,66,29268,22294997,2,346565,576,199021746,997330260,3537185355,576,5627,0,3,1,2,2,38787,3,3518946340,3493542661,1268694408,212913344,213191872,3,1,11071493920,73389,73389,2,2,2,212913348,37,3,792897,210555416,7602385,486250,29203,3518946340,5200982,191411708,17271
25387.89,980,262144,64,207348,13662517986,1382,190,576,6718358,0,32,81473,67,813,117508164,1154,1,4,36353,258113301,27,1031331392,66,36036,30061534,2,346565,576,236064067,1249104644,4357701169,576,5627,0,3,1,2,2,38787,3,4335194334,4303949427,1598546091,262398491,262644251,3,1,13644721564,73389,73389,2,2,2,262398495,37,3,942742,269132262,9057648,636878,35973,4335194334,6081480,226994624,17271
30435.17,1179,262144,64,250815,16527786180,1660,239,576,7926358,0,32,98590,67,813,117508164,1154,1,4,36353,312255505,27,1248052716,66,43493,40124995,2,346565,576,276211412,1490098937,5262960804,576,5627,0,3,1,2,2,38787,3,5235715900,5206052860,1918058810,317563680,317711136,3,1,16511607456,73389,73389,2,2,2,317530916,37,3,1121408,332558003,10797430,854692,43432,5235715900,7071666,265403586,17271
35536.03,1386,262144,64,297380,19596579608,1962,301,576,9152630,0,32,116977,67,813,117508164,1154,1,4,36353,370679787,27,1481298212,66,51479,51491287,2,346565,576,322649584,1738762614,6231848118,576,5627,0,3,1,2,2,38787,3,6199832306,6172158468,2248955284,376535990,376730439,3,1,19579019544,73389,73389,2,2,2,376519610,37,3,1279109,396837987,12541257,1018821,51420,6199832306,8133809,310096998,17271
40587.81,1687,262144,64,357816,23578489134,2353,369,576,10788355,0,32,140802,67,813,117508164,1154,1,4,36353,446106977,27,1783393264,66,61871,60770460,2,346565,576,378627676,1987290477,7492641525,576,5627,0,3,1,2,2,38787,3,7453829053,7425880184,2575544885,453148218,453344826,3,1,23563707368,73389,73389,2,2,2,453148222,37,3,1428481,468187974,14413855,1320720,61810,7453829053,9467635,364201670,17271
45650.98,1980,262144,64,426157,28079594944,2786,436,576,12482901,0,32,167727,67,813,117508164,1154,1,4,36353,531462365,27,2124815996,66,73623,65894200,2,346565,576,443488401,2222784974,8919817665,576,5627,0,3,1,2,2,38787,3,8873640138,8843102206,2903453053,539748209,539830129,3,1,28066054932,73389,73389,2,2,2,539731829,37,3,1605406,532605087,16550785,1497733,73565,8873771210,10985292,426923883,17271
51041.71,2187,262144,64,473893,31225980968,3143,13913,594,13888357,2,32,186839,67,813,120472368,1190,1,4,36353,591494425,27,2365848264,66,82186,71350339,2,346565,594,489850039,2475994461,9958086782,592,5727,2,3,1,2,2,38787,3,9906531345,9838066906,3230690431,600005134,600021518,3,1,31200267000,73389,73389,2,2,2,600005138,37,3,1750226,594262329,18279734,1760073,82120,9906531345,12128284,471556858,17736
