timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5128.06,40,262144,64,8192,183564,1,22097,1456160816,111,10,585,27923035,16,2573,60,67,1,183943,124484256,1172,1,66,3695,534742,2,228123,585,6846723,18951890,477593847,585,1964,2,1,1,3,4880,1,475439516,428927806,95596750,32752382,32752382,2,1,1441104808,73389,73389,2,2,2,32752382,34,2,3,57122,39586682,1651158,28791,3630,475439516,27894244,5207869,33638
10163.40,40,262144,64,8192,183564,1,26503,1746505144,112,11,585,28057783,16,3826,60,67,1,183943,124484256,1172,1,66,4339,615944,2,228123,585,9513406,23310492,562543705,585,1964,2,1,1,3,4880,1,559980956,513796435,120350431,39350372,39350372,2,1,1731416368,73389,73389,2,2,2,39350372,34,2,3,63308,41785680,1851384,33904,4274,559980956,28023879,7672657,33638
15191.00,40,262144,64,8192,183564,1,30866,2034031424,112,11,585,28198912,16,5019,60,67,1,183943,124484256,1172,1,66,4981,681017,2,228123,585,11702376,27295292,646966848,585,1964,2,1,1,3,4880,1,643998108,597843820,143692905,45874634,45891018,2,1,2018483896,73389,73389,2,2,2,45874634,34,2,3,68443,43755663,2016995,38800,4915,643998108,28160112,9695495,33638
20194.63,40,262144,64,8192,183564,1,69673,4591102546,119,11,585,28576038,16,15932,60,67,1,183943,125546064,1172,1,66,10682,693644,2,228123,585,19476862,29361755,1397088505,585,1964,2,1,1,3,4880,1,1391239580,1345506708,176601255,103991102,104007486,2,1,4575608488,73389,73389,2,2,2,103991102,34,2,3,76425,45073283,2264108,48161,10616,1391239580,28527877,17223966,33638
25198.61,40,262144,64,8192,183564,1,133210,8777868118,130,11,585,29063681,16,33918,60,67,1,183943,127368030,1172,1,66,20017,693751,2,228123,585,29325569,29478051,2625142672,585,1964,2,1,1,3,4880,1,2614665628,2569290625,221292468,199143924,199160308,2,1,8762332656,73389,73389,2,2,2,199143924,34,2,3,93242,45930145,2439539,57674,19951,2614665628,29006007,26897166,33638
30202.75,40,262144,64,8192,183564,1,188346,12410904462,139,11,585,29488572,16,49449,60,67,1,183943,128948676,1172,1,66,28119,695133,2,228123,585,38382309,29597223,3691208876,585,1964,2,1,1,3,4880,1,3676742044,3631209200,254774332,281715166,281731550,2,1,12395467304,73389,73389,2,2,2,281715166,34,2,3,102988,46716897,2605822,66270,28053,3676742044,29422302,35787290,33638
35206.59,40,262144,64,8192,183564,1,239274,15766645002,147,11,585,29874735,16,63777,60,67,1,183943,130010484,1172,1,66,35598,695300,2,228123,585,48690276,29612753,4675163995,585,1964,2,1,1,3,4880,1,4657029532,4612270929,286862327,357975138,357991522,2,1,15750906072,73389,73389,2,2,2,357975138,34,2,3,125966,47406139,2780818,73921,35532,4657029532,29800814,45920457,33638
40210.33,40,262144,64,8192,183564,1,297257,19587324146,157,11,585,30290730,16,80085,60,67,1,183943,131603196,1172,1,66,44118,696082,2,228123,585,58784314,29643489,5796150929,585,1964,2,1,1,3,4880,1,5773762972,5729224353,314746091,444813968,444830352,2,1,19571814592,73389,73389,2,2,2,444813968,34,2,3,137030,48183908,2941866,83123,44052,5773762972,30207607,55854089,33638
45229.19,40,262144,64,8192,183564,1,313559,20661381137,160,11,585,30552100,16,84750,60,67,1,183943,131868648,1172,1,66,46512,756954,2,228123,585,63330196,32295942,6111219328,585,1964,2,1,1,3,4880,1,6087549340,6043157712,413016984,469221749,469244166,2,1,20645756956,73389,73389,2,2,2,469221749,34,2,3,143161,49711093,3174564,91346,46446,6087549340,30460754,60165637,33638
50247.79,40,262144,64,8192,183564,1,322648,21260374090,161,11,585,30807046,16,87282,60,67,1,183943,132134100,1172,1,66,47848,809959,2,228123,585,66717000,35428075,6287101563,585,1964,2,1,1,3,4880,1,6262661532,6218300934,428103790,482849746,482849746,2,1,21245388824,73389,73389,2,2,2,482849746,34,2,3,147491,51542478,3441972,100194,47782,6262661532,30706852,63283001,33638
55261.68,40,262144,64,8192,183564,1,329848,21734887810,163,11,585,31001964,16,89358,60,67,1,183943,132399552,1172,1,66,48905,919033,2,228123,585,71458829,39407555,6426400769,585,1964,2,1,1,3,4880,1,6401335708,6356960560,518320626,493625212,493641596,2,1,21719509328,73389,73389,2,2,2,493625212,34,2,3,156046,53432501,3683506,106321,48840,6401335708,30895643,67781797,33638
60276.63,40,262144,64,8192,183564,1,339681,22382754174,164,11,585,31277124,16,92094,60,67,1,183943,132665004,1172,1,66,50347,952207,2,228123,585,76555363,42697322,6616234552,585,1964,2,1,1,3,4880,1,6590341532,6546326984,564406533,508350937,508367321,2,1,22367441228,73389,73389,2,2,2,508350937,34,2,3,164507,55037772,3976052,119465,50282,6590341532,31157659,72583851,33638
65298.69,40,262144,64,8192,183564,1,347746,22914221986,166,12,585,31504718,16,94401,60,67,1,183943,132930456,1172,1,66,51533,1014134,2,228123,585,81478062,46310615,6772248236,585,1964,2,1,1,3,4880,1,6745661852,6701727046,597964443,520418580,520434964,2,1,22898417520,73389,73389,2,2,2,520418580,34,2,3,173606,56766475,4240862,128147,51467,6745661852,31376571,77242093,33638
70315.37,40,262144,64,8192,183564,1,356330,23479702982,167,13,585,31756157,16,96798,60,67,1,183943,132930456,1172,1,66,52792,1051050,2,228123,585,86054367,49836103,6938002869,585,1964,2,1,1,3,4880,1,6910681500,6867022342,670868441,533289039,533289039,2,1,23464717716,73389,73389,2,2,2,533289039,34,2,3,186487,58515704,4538164,140018,52726,6910681500,31616139,81517924,33638
75319.56,40,262144,64,8192,183564,1,390320,25719494480,173,13,585,32085135,16,106344,60,67,1,183943,133992264,1172,1,66,57785,1070633,2,228123,585,93935744,52081511,7594977257,585,1964,2,1,1,3,4880,1,7565123996,7521757945,854710254,584184925,584201309,2,1,25704136700,73389,73389,2,2,2,584184925,34,2,3,204699,59751948,4825950,148580,57719,7565123996,31936555,89112472,33638
