timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5269.72,38,262144,64,21950,1446527024,111,2,585,1332520,7,2530,57,67,1,48196,124484256,1172,1,66,3673,1168977,2,75012,585,6267050,31742632,474819513,585,5661,2,1,2,2,1109,1,472555932,426114017,52944477,32523006,32539390,2,1,1431012264,73389,73389,2,2,2,32523006,24,1,3,83378,24343026,1316943,101007,3607,472555932,1231513,4947673,18223
10327.49,38,262144,64,24892,1640395744,111,2,585,1419086,7,3333,57,67,1,48196,124484256,1172,1,66,4104,1409809,2,75012,585,7735081,36446320,531598375,585,5661,2,1,2,2,1109,1,529047964,482800997,68883290,36938050,36938050,2,1,1624553304,73389,73389,2,2,2,36921666,24,1,3,89145,27022370,1412185,104006,4038,529047964,1315080,6319613,18223
15381.58,38,262144,64,27580,1817352868,112,2,585,1486624,7,4122,57,67,1,48196,124484256,1172,1,66,4498,1875537,2,75012,585,9190278,41475407,583634267,585,5661,2,1,2,2,1109,1,580821404,534532096,106216492,40945653,40962037,2,1,1801608732,73389,73389,2,2,2,40945653,24,1,3,95537,29947516,1518708,106965,4433,580821404,1379659,7666667,18223
20431.97,38,262144,64,30946,2039274304,112,2,585,1564302,7,5040,57,67,1,48196,124484256,1172,1,66,4993,2123071,2,75012,585,10570989,46431256,648704751,585,5661,2,1,2,2,1109,1,645570972,599384899,121806224,45989322,46005706,2,1,2023530168,73389,73389,2,2,2,45989322,24,1,3,99910,32815804,1606486,110364,4927,645570972,1453938,8959494,18223
25491.72,38,262144,64,34267,2258246620,113,2,585,1642392,7,5998,57,67,1,48196,124749708,1172,1,66,5482,2480582,2,75012,585,11626647,50769177,713113456,585,5661,2,1,2,2,1109,1,709665180,663424091,152440936,50967455,50983839,2,1,2242568020,73389,73389,2,2,2,50967455,24,1,3,102796,35789219,1700977,113745,5416,709665180,1528647,9920894,18223
30524.22,38,262144,64,37201,2451325600,114,2,585,1727691,7,6855,57,67,1,48196,124749708,1172,1,66,5912,2752454,2,75012,585,12997428,55959205,769759484,585,5661,2,1,2,2,1109,1,766026140,719854350,180061074,55368274,55368274,2,1,2436204056,73389,73389,2,2,2,55368274,24,1,3,108720,38977479,1795234,128981,5846,766026140,1598710,11199157,18223
35558.23,38,262144,64,40803,2688713532,114,2,585,1824187,7,7839,57,67,1,48196,124749708,1172,1,66,6439,3042864,2,75012,585,14752693,60773098,839312427,585,5661,2,1,2,2,1109,1,835232156,789206489,258347165,60756007,60772391,2,1,2673264308,73389,73389,2,2,2,60756007,24,1,3,111568,41514062,1881147,132187,6374,835232156,1692000,12867781,18223
40572.17,38,262144,64,44664,2943075288,115,2,585,1933895,7,8946,57,67,1,48196,125015160,1172,1,66,7006,3167186,2,75012,585,17367514,65900087,913865396,585,5661,2,1,2,2,1109,1,909418908,863598239,346175059,66536956,66553340,2,1,2927626064,73389,73389,2,2,2,66536956,24,1,3,116699,44029243,2024826,135627,6940,909418908,1798268,15338035,18223
45593.20,38,262144,64,49277,3247251020,116,2,585,2033439,7,10259,57,67,1,48196,125280612,1172,1,66,7688,3371348,2,75012,585,19042040,70303900,1003680893,585,5661,2,1,2,2,1109,1,998810012,952614920,440879050,73452275,73452275,2,1,3231900100,73389,73389,2,2,2,73452275,24,1,3,120463,46617990,2134833,140068,7622,998810012,1893371,16903199,18223
50649.85,38,262144,64,56034,3692213454,117,2,585,2180454,7,12156,57,67,1,48196,125280612,1172,1,66,8675,3461355,2,75012,585,22519604,75018519,1133642883,585,5661,2,1,2,2,1109,1,1128178076,1082681306,539803124,83568507,83568507,2,1,3676293412,73389,73389,2,2,2,83552123,24,1,3,129559,48593240,2330915,144623,8609,1128178076,2035831,20185168,18223
55683.59,38,262144,64,62986,4150474246,118,2,585,2356903,7,14108,57,67,1,48196,125546064,1172,1,66,9700,3558266,2,75012,585,25401038,79024685,1268606641,585,5661,2,1,2,2,1109,1,1262526876,1216632416,561707559,93983525,93983525,2,1,4135275100,73389,73389,2,2,2,93983525,24,1,3,133579,50659075,2523954,149762,9635,1262526876,2207141,22874147,18223
60720.67,38,262144,64,70103,4619283026,119,2,585,2551089,7,16104,57,67,1,48196,125546064,1172,1,66,10744,3608488,2,75012,585,28674822,83053455,1406079298,585,5661,2,1,2,2,1109,1,1399366044,1353723147,590416543,104630078,104646462,2,1,4603723432,73389,73389,2,2,2,104630078,24,1,3,140418,52475114,2710207,157013,10678,1399366044,2394076,25959353,18223
65725.65,38,262144,64,110994,7313956782,126,2,585,2879945,7,27599,57,67,1,48196,126837126,1172,1,66,16752,3617624,2,75012,585,38716589,84234628,2196553750,585,5661,2,1,2,2,1109,1,2186846620,2141340139,740783483,165883638,165883638,2,1,7298159176,73389,73389,2,2,2,165867254,24,1,3,176412,53493501,3017848,165245,16686,2186846620,2714700,35693224,18223
70730.79,38,262144,64,156741,10328490198,134,2,585,3223701,7,40508,57,67,1,48196,128152320,1172,1,66,23474,3621047,2,75012,585,49839712,84566917,3080950921,585,5661,2,1,2,2,1109,1,3067912604,3022545643,766162536,234382356,234398740,2,1,10312823664,73389,73389,2,2,2,234382356,24,1,3,199174,54275204,3275927,173638,23408,3067912604,3050063,46559016,18223
75735.61,38,262144,64,202885,13369041406,141,2,585,3561250,7,53523,57,67,1,48196,129214128,1172,1,66,30253,3624136,2,75012,585,60677306,84719653,3972834668,585,5661,2,1,2,2,1109,1,3956449692,3911314218,797304500,303487282,303503666,2,1,13353440408,73389,73389,2,2,2,303487282,24,1,3,221848,55022634,3506672,182064,30187,3956449692,3379186,57166215,18223
80740.59,38,262144,64,250280,16491915998,149,2,585,3904092,7,66888,57,67,1,48196,130275936,1172,1,66,37214,3627042,2,75012,585,71969479,84818444,4888670902,585,5661,2,1,2,2,1109,1,4868841884,4824311606,830843113,374457825,374474209,2,1,16476144300,73389,73389,2,2,2,374457825,24,1,3,259738,55771215,3748181,190689,37148,4868841884,3713403,68216645,18223
85744.90,38,262144,64,301757,19883828858,158,2,585,4267234,7,81369,57,67,1,48196,131603196,1172,1,66,44780,3629262,2,75012,585,83926952,84853240,5884154366,585,5661,2,1,2,2,1109,1,5860532636,5815908674,858218689,451559414,451575798,2,1,19868614216,73389,73389,2,2,2,451559414,24,1,3,278719,56549756,3995357,200059,44714,5860532636,4067175,79927550,18223
90749.17,38,262144,64,354909,23386045422,167,2,585,4647131,7,96377,57,67,1,48196,132930456,1172,1,66,52584,3631790,2,75012,585,94498400,84937866,6910800966,585,5661,2,1,2,2,1109,1,6883287452,6839607429,892491731,531163437,531163437,2,1,23371191228,73389,73389,2,2,2,531163437,24,1,3,293296,57351828,4182487,209143,52518,6883287452,4437988,90311707,18223
95777.29,38,262144,64,396811,26147012272,174,2,585,4990965,7,108222,57,67,1,48196,133992264,1172,1,66,58737,3644540,2,75012,585,102922995,85796426,7720525607,585,5661,2,1,2,2,1109,1,7689904540,7646770158,958530107,593891557,593907941,2,1,26131228508,73389,73389,2,2,2,593891557,24,1,3,314658,58392582,4395221,217664,58671,7689904540,4773301,98523940,18223
