timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5023.75,253,262144,64,57441,3785218962,411,50,576,1967742,0,6,22417,67,18728,116325696,1154,1,4,2972,71022863,27,283058084,66,10262,2987342,2,187627,576,72252460,212897757,1231875460,576,1587,0,3,1,2,2,11479,3,1225599930,1194492682,301134022,72471394,72651618,3,1,3767772820,73389,73389,2,2,2,72457173,20,3,346646,47310721,3414951,94722,10202,1225599930,1873032,68837061,17476
10052.21,481,262144,64,105325,6941190400,723,96,576,3520136,0,6,41303,67,18728,117218580,1154,1,4,2972,130801255,27,522235920,66,18481,8320704,2,187627,576,133587345,453753836,2228688997,576,1587,0,3,1,2,2,11479,3,2217282028,2188013068,619227512,133190315,133419691,3,1,6925044444,73389,73389,2,2,2,133173935,20,3,499411,98505839,5268734,185589,18422,2217413100,3334740,128315725,17476
15122.90,676,262144,64,150700,9930137824,1016,4161,576,4971777,0,6,59127,67,18728,117508164,1154,1,4,2972,187123136,27,748169812,66,26256,12397940,2,187627,576,190504063,698867414,3170905727,576,1587,0,3,1,2,2,11479,3,3154601953,3129405291,934355809,190725595,190788972,3,1,9917730972,73389,73389,2,2,2,190725599,20,3,644890,148540690,7035169,270758,26192,3154601953,4701019,183460925,17476
20166.61,894,262144,64,195659,12892377308,1305,4211,576,6475216,0,6,76924,67,18728,117508164,1154,1,4,2972,243631644,27,974009580,66,33988,15397822,2,187627,576,251536728,955798563,4109670102,576,1587,0,3,1,2,2,11479,3,4088502517,4061613499,1272019459,247599038,247877566,3,1,12875150008,73389,73389,2,2,2,247599042,20,3,790279,196643161,8862066,390164,33936,4088502517,6085052,242666486,17476
25206.64,1063,262144,64,232973,15350999882,1545,4237,576,7740183,0,6,91594,67,18728,117508164,1154,1,4,2972,290086783,27,1159701036,66,40453,20272477,2,187627,576,298685220,1213135782,4893951891,576,1587,0,3,1,2,2,11479,3,4868691394,4835775380,1594630034,294866312,295112072,3,1,15333048256,73389,73389,2,2,2,294866316,20,3,937067,248374035,10432770,527915,40393,4868691394,7212268,288245005,17476
30239.96,1273,262144,64,274647,18097483032,1812,4276,576,9070285,0,6,108024,67,18728,117508164,1154,1,4,2972,342191894,27,1368057240,66,47577,23948421,2,187627,576,351248257,1466026500,5759265688,576,1587,0,3,1,2,2,11479,3,5729517114,5700675953,1916235647,347729993,347893833,3,1,18081107700,73389,73389,2,2,2,347713613,20,3,1069472,297996410,12043977,615833,47515,5729517114,8454452,339195735,17476
35308.23,1505,262144,64,319431,21049399986,2101,4318,576,10564004,0,6,125694,67,18728,117508164,1154,1,4,2972,398253180,27,1592052224,66,55265,27333414,2,187627,576,409553652,1715199690,6692746568,576,1587,0,3,1,2,2,11479,3,6658162569,6629675102,2241819753,404474079,404670687,3,1,21031800172,73389,73389,2,2,2,404457699,20,3,1198261,347763350,13750716,748422,55206,6658162569,9815582,395792564,17476
40538.42,1714,262144,64,367101,24189814338,2411,4375,576,12068619,0,6,144460,67,18728,117508164,1154,1,4,2972,457669416,27,1829837228,66,63449,30801358,2,187627,576,468695135,1974128929,7685256559,576,1587,0,3,1,2,2,11479,3,7645537235,7618579943,2573822747,464925267,465023571,3,1,24174409980,73389,73389,2,2,2,464892503,20,3,1377874,399293248,15658082,844341,63387,7645537235,11224278,453026037,17476
45571.17,1889,262144,64,405639,26729232144,2662,4421,576,13286641,0,6,159624,67,18728,117508164,1154,1,4,2972,505597050,27,2021741340,66,70099,33977690,2,187627,576,518208351,2226760762,8491412016,576,1587,0,3,1,2,2,11479,3,8447513719,8418093392,2898576324,513761087,513908543,3,1,26715576556,73389,73389,2,2,2,513761091,20,3,1524547,442511638,17236011,904937,70035,8447513719,12381704,500957899,17476
50639.12,2103,262144,64,449337,29608432554,2942,4471,585,14700518,2,6,176876,67,18728,118949768,1172,1,4,2972,560247695,27,2240450344,66,77624,37266879,2,187627,585,575598042,2479391139,9403903546,583,1636,2,3,1,2,2,11479,3,9355263597,9324691986,3232413482,569156096,569188864,3,1,29595265056,73389,73389,2,2,2,569139716,20,3,1651062,490618384,18881745,990699,77560,9355263597,13709819,556697545,17724
