timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5029.30,3,262144,64,61518,4053736494,118,0,585,1136147,3,13707,60,67,4804,125546064,1172,1,66,9484,11827,2,5009,585,10342549,438902,1238768046,585,158,1,1,2,1,1,3,220,1,1234215324,1188330240,27617036,91776003,91792387,2,1,4038144132,73389,73389,2,2,2,91776003,3,3,183284,1853909,1321768,12686,9418,1234215324,1123461,9025698,4010
10045.20,3,262144,64,67093,4420957858,119,0,585,1317698,3,15282,60,67,4804,125546064,1172,1,66,10303,80671,2,5009,585,12804674,4035068,1346609180,585,158,1,1,2,1,1,3,220,1,1341563292,1295744537,59727369,100116730,100133114,2,1,4405136120,73389,73389,2,2,2,100116730,3,3,187439,3863081,1530853,19569,10237,1341563292,1298129,11278436,4010
15098.51,3,262144,64,71788,4730254156,119,0,585,1484352,3,16563,60,67,4804,125546064,1172,1,66,10992,188990,2,5009,585,16073009,8283821,1437348856,585,158,1,1,2,1,1,3,220,1,1431871900,1386136600,86403650,107148896,107165280,2,1,4714551424,73389,73389,2,2,2,107148896,3,3,193154,6093265,1740689,33162,10926,1431871900,1451190,14337656,4010
20177.62,3,262144,64,76176,5019672222,120,1,585,1633900,3,17814,60,67,4804,125811516,1172,1,66,11638,267903,2,5009,585,19008847,12751020,1522298870,585,158,1,1,2,1,1,3,220,1,1516413340,1470671431,138240711,113728343,113744727,2,1,5004047092,73389,73389,2,2,2,113728343,3,3,199489,8220699,1937614,38099,11572,1516413340,1595801,17077033,4010
25181.57,3,262144,64,84781,5586529474,122,2,585,1846447,3,20217,60,67,4804,125811516,1172,1,66,12901,297848,2,5009,585,22917266,16534211,1688552361,585,158,1,1,2,1,1,3,220,1,1681957276,1636364187,171071668,126615186,126631570,2,1,5571068184,73389,73389,2,2,2,126615186,3,3,210973,10110463,2173326,44635,12835,1681957276,1801812,20749079,4010
30185.19,3,262144,64,155067,10217986578,133,2,585,2367719,3,39990,60,67,4804,127886868,1172,1,66,23229,298003,2,5009,585,32983072,16582174,3047511464,585,158,1,1,2,1,1,3,220,1,3035799964,2990249625,199707499,231873889,231890273,2,1,10202451116,73389,73389,2,2,2,231873889,3,3,217192,11033543,2336058,55060,23163,3035799964,2312659,30652275,4010
35187.89,3,262144,64,222580,14666674678,145,2,585,2887350,3,59058,60,67,4804,129745032,1172,1,66,33144,298212,2,5009,585,42870031,16760872,4351987029,585,158,1,1,2,1,1,3,220,1,4335378844,4290697463,232545450,332987884,332987884,2,1,14650746000,73389,73389,2,2,2,332971500,3,3,227537,11976801,2533200,65270,33078,4335378844,2822080,40343425,4010
40192.03,3,262144,64,289084,19048778446,156,2,585,3369607,3,77802,60,67,4804,131337744,1172,1,66,42914,298475,2,5009,585,52800419,16798192,5637400188,585,158,1,1,2,1,1,3,220,1,5615952284,5571743390,263219247,432590677,432590677,2,1,19033989788,73389,73389,2,2,2,432590677,3,3,233771,12853897,2717331,75412,42848,5615952284,3294195,50089643,4010
45196.24,3,262144,64,351124,23136688534,166,2,585,3842538,3,95268,60,67,4804,132930456,1172,1,66,52028,298782,2,5009,585,62740722,16833741,6836492712,585,158,1,1,2,1,1,3,220,1,6810542492,6766795777,286569986,525488984,525488984,2,1,23121515296,73389,73389,2,2,2,525488984,3,3,244997,13707452,2878448,85054,51962,6810542492,3757484,59869359,4010
50210.07,3,262144,64,392254,25847037460,173,2,585,4219061,3,106923,60,67,4804,133992264,1172,1,66,58072,307799,2,5009,585,70555267,18170808,7631701495,585,158,1,1,2,1,1,3,220,1,7602741660,7559077613,358733944,587086608,587086608,2,1,25831810752,73389,73389,2,2,2,587086608,3,3,261610,14850786,3100590,94135,58006,7602741660,4124926,67462727,4010
