timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5031.19,5,262144,64,68368,4505047162,119,0,585,1198567,3,15630,59,67,1,34910,125546064,1172,1,66,10488,31586,2,35386,585,13008299,780454,1370970418,585,352,2,1,2,1,2,2,307,1,1365811612,1320297737,28876633,102029340,102045724,2,1,4489290960,73389,73389,2,2,2,102029340,5,3,193898,2178147,1628415,13885,10422,1365811612,1184682,11377929,4385
10047.77,5,262144,64,77135,5082786698,120,1,585,1463185,3,18075,59,67,1,34910,125811516,1172,1,66,11777,66890,2,35386,585,16688100,3729805,1540668464,585,352,2,1,2,1,2,2,307,1,1534763420,1489170212,59007017,115159784,115176168,2,1,5067030496,73389,73389,2,2,2,115159784,5,3,199390,3815465,1877035,23594,11711,1534763420,1439591,14809326,4385
15070.83,5,262144,64,85173,5612485038,122,1,585,1693261,3,20378,59,67,1,34910,126076968,1172,1,66,12959,124011,2,35386,585,21328198,7620923,1696284113,585,352,2,1,2,1,2,2,307,1,1689690524,1644025478,97222697,127211043,127211043,2,1,5597285892,73389,73389,2,2,2,127211043,5,3,209622,5656715,2155799,33253,12893,1689690524,1660008,19171055,4385
20093.50,5,262144,64,93197,6141241742,123,1,585,1931469,3,22620,59,67,1,34910,126318288,1172,1,66,14140,186373,2,35386,585,25002723,11012801,1851769918,585,352,2,1,2,1,2,2,307,1,1844486556,1798528480,112203278,139229534,139229534,2,1,6126099496,73389,73389,2,2,2,139229534,5,3,211040,7428881,2351643,40976,14074,1844486556,1890493,22650338,4385
25138.47,5,262144,64,103003,6787604086,125,3,585,2214906,3,25406,59,67,1,34910,126837126,1172,1,66,15580,212698,2,35386,585,29641804,14070666,2041339443,585,352,2,1,2,1,2,2,307,1,2033230236,1987493003,155964058,153920332,153920332,2,1,6772494608,73389,73389,2,2,2,153920332,5,3,214357,9031931,2624398,49164,15514,2033230236,2165742,27016012,4385
30155.38,5,262144,64,111467,7345220762,126,3,585,2472186,3,27770,59,67,1,34910,126837126,1172,1,66,16822,241667,2,35386,585,33863933,17614927,2204853113,585,352,2,1,2,1,2,2,307,1,2196021660,2150457664,209138287,166594183,166594183,2,1,7330144052,73389,73389,2,2,2,166594183,5,3,222349,10700510,2926849,56883,16756,2196021660,2415303,30935006,4385
35178.14,5,262144,64,119722,7889140414,127,3,585,2733815,3,30075,59,67,1,34910,127102578,1172,1,66,18035,273867,2,35386,585,39009398,21435798,2364554253,585,352,2,1,2,1,2,2,307,1,2355011996,2309445050,299531900,178948546,178964930,2,1,7873736024,73389,73389,2,2,2,178948546,5,3,231062,12429300,3251680,68737,17969,2355011996,2665078,35754095,4385
40182.21,5,262144,64,163317,10761578550,135,3,585,3101750,3,42348,59,67,1,34910,128152320,1172,1,66,24440,288450,2,35386,585,48090776,22664418,3207311041,585,352,2,1,2,1,2,2,307,1,3194528156,3149178741,438861195,244236444,244236444,2,1,10746403536,73389,73389,2,2,2,244236444,5,3,244576,13380219,3494747,77808,24374,3194528156,3023942,44593187,4385
45211.97,5,262144,64,202296,13330175250,141,3,585,3456476,3,53363,59,67,1,34910,129214128,1172,1,66,30166,297195,2,35386,585,56132254,23821478,3960832668,585,352,2,1,2,1,2,2,307,1,3945177500,3899991241,506524465,302612897,302612897,2,1,13314967468,73389,73389,2,2,2,302612897,5,3,257391,14450283,3726993,86308,30101,3945177500,3370168,52402240,4385
50324.04,5,262144,64,209766,13822287162,142,3,585,3658388,3,55455,59,67,1,34910,129214128,1172,1,66,31263,411784,2,35386,585,59772946,27519487,4105272482,585,352,2,1,2,1,2,2,307,1,4088963484,4043830462,523646083,313783738,313806155,2,1,13806484472,73389,73389,2,2,2,313783738,5,3,258766,16362799,3936535,92941,31198,4088963484,3565447,55833246,4385
55356.14,5,262144,64,213365,14059575014,143,3,585,3761361,3,56490,59,67,1,34910,129479580,1172,1,66,31791,536141,2,35386,585,61794040,31966309,4174693502,585,352,2,1,2,1,2,2,307,1,4158038428,4113201873,558385461,319193888,319193888,2,1,14043810176,73389,73389,2,2,2,319177504,5,3,260318,18662894,4041490,96517,31725,4158038428,3664844,57749772,4385
60524.81,5,262144,64,216561,14269824426,144,3,585,3854274,3,57417,59,67,1,34910,129479580,1172,1,66,32259,635165,2,35386,585,63598868,36810323,4236477839,585,352,2,1,2,1,2,2,307,1,4219511196,4174726118,591063583,323955155,323971539,2,1,14254026820,73389,73389,2,2,2,323955155,5,3,261062,21316761,4133949,99796,32194,4219511196,3754478,59461106,4385
66036.13,5,262144,64,219798,14483291718,144,3,585,3949179,3,58301,59,67,1,34910,129479580,1172,1,66,32736,840012,2,35386,585,64817218,41646145,4299185650,585,352,2,1,2,1,2,2,307,1,4281901468,4237121754,610685210,328818600,328818600,2,1,14468018400,73389,73389,2,2,2,328818600,5,3,261968,24059005,4213683,103446,32670,4281901468,3845733,60597950,4385
71142.58,5,262144,64,222555,14665036278,145,3,585,4026143,3,59106,59,67,1,34910,129745032,1172,1,66,33141,1085022,2,35386,585,65923426,45935400,4352539689,585,352,2,1,2,1,2,2,307,1,4334985628,4290226262,620198216,332938732,332955116,2,1,14649304208,73389,73389,2,2,2,332938732,5,3,262068,26482376,4267475,106168,33075,4334985628,3919975,61651369,4385
76270.05,5,262144,64,225745,14875157926,145,3,585,4104585,3,59976,59,67,1,34910,129745032,1172,1,66,33610,1441533,2,35386,585,67530798,50726482,4414317975,585,352,2,1,2,1,2,2,307,1,4396458396,4351641516,712158371,337714224,337730608,2,1,14859425856,73389,73389,2,2,2,337714224,5,3,262273,29151892,4334733,109406,33544,4396458396,3995179,63191504,4385
81342.64,5,262144,64,229063,15093933634,146,3,585,4190503,3,60938,59,67,1,34910,130010484,1172,1,66,34098,1754179,2,35386,585,69451823,55704789,4478595910,585,352,2,1,2,1,2,2,307,1,4460421532,4415597715,786106701,342700549,342700549,2,1,15078824156,73389,73389,2,2,2,342700549,5,3,263508,32011856,4418792,119833,34032,4460421532,4070670,65028677,4385
86422.50,5,262144,64,231726,15269517810,146,3,585,4248891,3,61664,59,67,1,34910,130010484,1172,1,66,34488,2105422,2,35386,585,70437321,60013180,4530102226,585,352,2,1,2,1,2,2,307,1,4511670684,4466933928,796343765,346689609,346689609,2,1,15254342796,73389,73389,2,2,2,346689609,5,3,263810,34814024,4479031,122492,34423,4511670684,4126399,65954382,4385
